,RN,PInA,NInA,PInB,NInB
0,RN001,0,2,2,2
1,RN002,0,3,1,3
2,RN003,0,2,0,2
3,RN004,0,3,1,1
4,RN005,1,2,1,1
5,RN006,3,2,2,1
6,RN007,3,1,0,2
7,RN008,0,2,2,2
8,RN009,2,3,2,3
9,RN010,3,3,0,4
10,RN011,5,2,3,4
11,RN012,1,4,2,3
12,RN013,3,1,3,3
13,RN014,1,3,2,1
14,RN015,1,3,1,3
15,RN016,2,2,1,4
16,RN017,1,3,1,3
17,RN018,1,3,3,3
18,RN019,0,4,0,4
19,RN020,0,4,1,2
20,RN021,2,2,2,2
21,RN022,2,2,0,1
22,RN023,1,2,3,3
23,RN024,1,3,1,3
24,RN025,1,2,1,2
25,RN026,0,2,1,3
26,RN027,2,2,1,2
27,RN028,1,2,1,4
28,RN029,1,1,1,3
29,RN030,0,1,2,1
30,RN031,2,3,2,3
31,RN032,1,2,1,2
32,RN033,1,3,1,6
33,RN034,3,2,2,4
34,RN035,5,2,2,4
35,RN036,1,1,1,3
36,RN037,0,5,2,2
37,RN038,0,1,2,1
38,RN039,3,2,1,1
39,RN040,0,2,2,3
40,RN041,2,5,1,2
41,RN042,1,4,0,2
42,RN043,1,2,3,4
43,RN044,1,1,3,3
44,RN045,1,3,2,2
45,RN046,4,3,2,2
46,RN047,1,2,5,1
47,RN048,4,2,0,4
48,RN049,3,1,2,1
49,RN050,3,2,0,3
50,RN051,2,4,2,1
51,RN052,1,2,1,3
52,RN053,1,4,3,3
53,RN054,1,3,1,2
54,RN055,2,1,1,4
55,RN056,2,2,1,2
56,RN057,1,3,2,5
57,RN058,1,1,3,2
58,RN059,1,3,2,2
59,RN060,3,2,1,3
60,RN061,0,1,2,2
61,RN062,1,3,1,3
62,RN063,2,3,1,3
63,RN064,2,2,1,2
64,RN065,1,3,3,4
65,RN066,2,2,2,2
66,RN067,3,2,1,1
67,RN068,1,6,2,3
68,RN069,2,3,3,1
69,RN070,0,3,1,2
70,RN071,2,2,1,2
71,RN072,1,1,1,3
72,RN073,0,1,3,2
73,RN074,0,2,1,2
74,RN075,2,4,2,3
75,RN076,3,2,4,3
76,RN077,1,1,0,2
77,RN078,3,2,4,1
78,RN079,2,2,3,1
79,RN080,3,3,1,4
80,RN081,1,1,2,3
81,RN082,4,2,2,3
82,RN083,1,3,1,3
83,RN084,2,4,2,3
84,RN085,0,3,2,3
85,RN086,3,3,2,1
86,RN087,2,3,2,1
87,RN088,0,5,0,2
88,RN089,4,2,1,2
89,RN090,0,3,2,4
90,RN091,2,3,1,1
91,RN092,0,2,1,4
92,RN093,1,4,1,2
93,RN094,0,2,3,2
94,RN095,1,2,3,4
95,RN096,3,4,2,1
96,RN097,1,3,2,1
97,RN098,3,1,3,2
98,RN099,0,1,1,3
99,RN100,0,4,1,3
