RN,ConPr,ConPrA,ConPrB
RN001,0.7559901874319086,0.6475725699662258,0.7117247590302794
RN002,0.7305791952408494,0.6982871914066319,0.7109966708281314
RN003,0.5214279056762047,0.5414040425994349,0.5661783603186842
RN004,0.7389825862763069,0.7479448634961394,0.7582314205079962
RN005,0.6917498466702163,0.6729629284277551,0.6797751343454896
RN006,0.7042934814978685,0.68844657783663,0.6863099652520269
RN007,0.5906453148791537,0.5774498966693901,0.5973547784352159
RN008,0.6537022055209853,0.6425155985771765,0.6334857860281589
RN009,0.7744305496782478,0.7551061397274665,0.783222330110365
RN010,0.6275431253170979,0.6251309974028341,0.572504903807433
RN011,0.8168736303871439,0.7899130054432348,0.8000439438443925
RN012,0.7982629751263258,0.8039332307572956,0.7596716167171181
RN013,0.6261695293953359,0.6228172085291962,0.6361614454923191
RN014,0.7468697149772695,0.7433248064737256,0.7714319745109133
RN015,0.5667053010431282,0.5548431596933737,0.5781976441929207
RN016,0.6957803011516658,0.7016726076227036,0.6757040322388345
RN017,0.6360106008978311,0.6142460684551342,0.5791324487129091
RN018,0.687321878428065,0.6500833004515761,0.6718876864099322
RN019,0.545443234429332,0.48866646657357987,0.5391744090321063
RN020,0.8520419414984262,0.7885464140081554,0.7778883583819398
RN021,0.7759742844022655,0.7263712047012733,0.71432057449627
RN022,0.5741494312494977,0.5686753160646746,0.5879897515617353
RN023,0.6624765501579779,0.6202690743994562,0.6658163841170229
RN024,0.6309521710251753,0.6080140465291277,0.5672650913789921
RN025,0.7675365613574576,0.7529696566946327,0.7644123039315542
RN026,0.4289559407125808,0.38524703666777443,0.4135402906208719
RN027,0.8522773431291172,0.8626130248563166,0.8680727656208805
RN028,0.8721389265491666,0.8369570474992745,0.8214148531768632
RN029,0.6419845945218866,0.6387316717969086,0.6432384729364595
RN030,0.7832510444360046,0.7427842108265359,0.7988917134956739
RN031,0.6463188964335964,0.6002665284667209,0.6196675119752043
RN032,0.6883964327302678,0.6807056165454914,0.693792796922094
RN033,0.5462607715031687,0.5390652077041145,0.5503580182812707
RN034,0.8011527377521613,0.7793131552624755,0.7681589974443133
RN035,0.7009053306747715,0.6753419696987396,0.646394992302701
RN036,0.6625377778439459,0.6813975781051314,0.6621722535678726
RN037,0.7885371130834106,0.7543594613259669,0.762181362306728
RN038,0.6949627735379124,0.6520748202991193,0.6846242237543396
RN039,0.7613438175227234,0.7290446849725849,0.7122768687244329
RN040,0.5932518712181615,0.5627780673786807,0.5788010790988823
RN041,0.5773009072122465,0.5545764539073578,0.5577222907406977
RN042,0.6659962376463062,0.5854155582102738,0.6097777609796659
RN043,0.663440184370417,0.675322156356451,0.6730031987888555
RN044,0.7485918629325928,0.7224126400267514,0.758133831884621
RN045,0.6622738174466642,0.7018982335881888,0.6978797878451858
RN046,0.6660283572359843,0.664918354987259,0.657285774391099
RN047,0.8078489270386267,0.7434832518605461,0.7510514720608853
RN048,0.5733646732336916,0.538939285170441,0.5221405541902464
RN049,0.7539128703708685,0.7265017950538516,0.7115814561714334
RN050,0.8300741458201129,0.7874752615210631,0.7440629202771488
RN051,0.7957539443285437,0.7738339216927583,0.7851376146788991
RN052,0.762182603997839,0.7223971841422749,0.7292560639595285
RN053,0.504239934388238,0.49155971703268303,0.4948942163795886
RN054,0.5972624026714718,0.5945985567917121,0.5895981399337104
RN055,0.7929536593615922,0.7975422462618283,0.78746169933369
RN056,0.2966278153386702,0.27245889726587336,0.26983909932084416
RN057,0.8416812733485597,0.772519696018964,0.795464518555667
RN058,0.5283758343316789,0.5208983359334374,0.5017744279582249
RN059,0.7015461400102441,0.6766287698277623,0.6711171630681884
RN060,0.779465291900364,0.7499558973997107,0.7268768305842455
RN061,0.8457839281100169,0.8534713053090551,0.8670603967015823
RN062,0.6649702059079245,0.6439534946454102,0.6370311296887031
RN063,0.5795507393358025,0.55470327853413,0.5423325948073738
RN064,0.7474834402545246,0.7392083929422986,0.706461412944296
RN065,0.771595745804421,0.7410013944570333,0.7666241287915971
RN066,0.8982524177321997,0.8757221270943686,0.8781956774051883
RN067,0.8169760544815465,0.7723144249029807,0.7916981417132497
RN068,0.8013156678070882,0.7852257372504771,0.8081694101252909
RN069,0.7980517658726275,0.7748030691843171,0.7774707945399036
RN070,0.7015266905175163,0.6093620176145006,0.6269212457119139
RN071,0.8263558769802695,0.8306792204269828,0.7977694479152205
RN072,0.7534850697013941,0.7395076674737692,0.731148353827846
RN073,0.5511538882204966,0.5369122950261959,0.5668370918811125
RN074,0.5140864480101619,0.5086529522538199,0.511251007729881
RN075,0.7026875820368816,0.6827589885842313,0.6628684807256235
RN076,0.6677109269122884,0.6347692831602247,0.6415056048324519
RN077,0.7398786045656128,0.6851703853158122,0.7009036369520301
RN078,0.7835940437078083,0.7436799793368417,0.7582852532387462
RN079,0.7162063079955767,0.6175833443577192,0.4902291439341335
RN080,0.6358414836685735,0.6660224006343543,0.6770189312245387
RN081,0.798149748386113,0.7679425837320574,0.7865699616983131
RN082,0.6390948949676034,0.5973618870266915,0.6206688174348678
