,RN,CC AB,STD AB
0,RN001,-0.685252203453255,0.005759891465870354
1,RN002,-0.803532941103987,0.004349472259605207
2,RN003,-0.556163251687345,0.016777923519674758
3,RN004,-0.810982766039666,0.00404573214730581
4,RN005,-0.8166921272949373,0.0020317271796813654
5,RN006,-0.4966894618988708,0.0013922399742764486
6,RN007,-0.5433589788672527,0.01345353433407463
7,RN008,-0.7178962452856091,0.003807370939372566
8,RN009,-0.832596818875095,0.0013650242643575485
9,RN010,-0.7340720243587154,0.0009533916289448708
10,RN011,-0.7964800945955984,0.003769017520308879
11,RN012,-0.44301344842669704,0.0049151523021697474
12,RN013,-0.8504534578002282,0.0034767371127674583
13,RN014,-0.7368748332760825,0.0033522213699233045
14,RN015,-0.8255675502507144,0.0024058227444439394
15,RN016,-0.8213368415123784,0.0005611036049126598
16,RN017,-0.8359842849591456,0.002879651284152286
17,RN018,-0.8304246564234509,0.005517328895493819
18,RN019,-0.45294680428651973,0.0007602614364405512
19,RN020,-0.781676978413917,0.005171101386149924
20,RN021,-0.7155072784903357,0.0012436981769758458
21,RN022,-0.7333634677562747,0.003177778075729691
22,RN023,-0.5161774957507481,0.004028587458470484
23,RN024,-0.8186575313466938,0.0012583803113933056
24,RN025,-0.8225321068482175,0.004251603656283327
25,RN026,-0.8194354060088148,0.004482800655473009
26,RN027,-0.17391933224142653,0.010572441709192724
27,RN028,-0.8051995569873567,0.004860461373309651
28,RN029,-0.727088497052832,0.008038941801369664
29,RN030,-0.8548460213393909,0.0010579371936270713
30,RN031,-0.7546611117959271,0.005483890098367003
31,RN032,-0.7998949420389113,0.0025021378537662133
32,RN033,-0.8210064513316923,0.0034500444292845283
33,RN034,-0.6884842231566594,0.009089805383401268
34,RN035,-0.8238669247614258,0.0016951526673464506
35,RN036,-0.7225064010538812,0.003656654420179426
36,RN037,-0.7372107047575512,0.0038027374941810043
37,RN038,-0.6815737076545344,0.0010523440189656524
38,RN039,-0.6453466688902547,0.011142917584106187
39,RN040,-0.5605366901882168,0.0017424303531241637
40,RN041,-0.8112982910947176,0.0025700013004766077
41,RN042,-0.6611359747829723,0.0032948528838462688
42,RN043,-0.7418289659949547,0.00560242247891816
43,RN044,-0.8252697346379495,0.002101613004599073
44,RN045,-0.8363332483480859,0.005228891961079185
45,RN046,-0.8325988549672901,0.0037931348290590537
46,RN047,-0.8481171586418655,0.0018939590299548086
47,RN048,-0.38712045732754513,0.004242656509366584
48,RN049,-0.8405360333696241,0.002095923526395992
49,RN050,-0.8021702438011102,0.0008101191635642369
50,RN051,-0.8337848101809088,0.0024771601501944337
51,RN052,-0.7741165898882648,0.004445465891177126
52,RN053,-0.7243115226199427,0.0006128770732690676
53,RN054,-0.22134535861948565,0.010160703938786406
54,RN055,-0.8380428844153195,0.004790387798551136
55,RN056,-0.5924801084990129,0.007435637718098061
56,RN057,-0.4195170939390014,0.010508051236573656
57,RN058,-0.5793412121084516,0.0051281212430933434
58,RN059,-0.848144927186205,0.0022895740023002546
59,RN060,-0.8066890162280599,0.006854383964088554
60,RN061,-0.8482323308192328,0.002833002409646993
61,RN062,-0.7745361628291243,0.0033787245081864196
62,RN063,-0.6655533814151813,0.0038556554917042814
63,RN064,-0.7218237963564776,0.00568612233378189
64,RN065,-0.713130334861301,0.0066676217249155454
65,RN066,-0.4431470051609779,0.007166511592506793
66,RN067,-0.7352589824642544,0.0014539305448377925
67,RN068,-0.6126508021855867,0.005323192427199753
68,RN069,-0.7279524864969851,0.007425060043754008
69,RN070,-0.8361951743905562,0.0027766803728014934
70,RN071,-0.7022295226763967,0.0061549979295695435
71,RN072,-0.8232145455598533,0.0027728951076569494
72,RN073,-0.6504501972634661,0.005596127654931764
73,RN074,-0.7159373662599083,0.004138207629112319
74,RN075,-0.669020575354263,0.012393187600875929
75,RN076,-0.6310646644632518,0.00925738055636719
76,RN077,-0.6688318243997187,0.0021726970850696574
77,RN078,-0.8421778990930154,0.0005800382738230344
78,RN079,-0.3896091304214007,0.0036277983705500184
79,RN080,-0.6871740201907744,0.005074567111231282
80,RN081,-0.5107415277160796,0.0039028484387807474
81,RN082,-0.6963703142357072,0.0039549470342655265
82,RN083,-0.5723228330188213,0.014341473576343957
83,RN084,-0.8048871522717302,0.0017500177402894868
84,RN085,-0.7040887758216924,0.000972593361025712
85,RN086,-0.8264025178528204,0.0035469195385954572
86,RN087,-0.8415381878625974,0.0023039008161774167
87,RN088,-0.8578071084163413,0.000920432254106482
88,RN089,-0.8408266854627243,0.0007971558468959756
89,RN090,-0.6695553501803394,0.011344416803730462
90,RN091,-0.4532358183688159,0.006107744290045406
91,RN092,-0.8301338994173745,0.003163669225672567
92,RN093,-0.8165331398959003,0.0023389844909048347
93,RN094,-0.7161152223905153,0.0049500724793765626
94,RN095,-0.5653108801223641,0.008142724754624896
95,RN096,-0.35010201197914315,0.005618119547974957
96,RN097,-0.6193600338511059,0.007198021586224325
97,RN098,-0.8544225234388554,0.0018872649364015997
98,RN099,-0.5384613807830658,0.0038035915436642107
99,RN100,-0.7990599094544913,0.0006327511977573508
