,RN,CC AB,STD AB
0,RN001,-0.8373053040440751,0.0053429769944866095
1,RN002,-0.7434810361263834,0.0013204070449317905
2,RN003,-0.5403644052740261,0.0028164718091882993
3,RN004,-0.7283235885329923,0.002444422403947372
4,RN005,-0.405096089816903,0.004855147947507647
5,RN006,-0.40848379401924584,0.005649088816344544
6,RN007,-0.8181296532073196,0.0022842447867528373
7,RN008,-0.396633194652825,0.0012956714448156825
8,RN009,0.06125206223860486,0.00916179351915741
9,RN010,-0.21145573754223204,0.006197057770115762
10,RN011,-0.39962430208371047,0.005529727497768321
11,RN012,-0.5330970479139316,0.007534849736110934
12,RN013,-0.14991057842343167,0.010978519824463871
13,RN014,-0.6487598018725967,0.009756287175811848
14,RN015,-0.7350021611630296,0.00426227191244934
15,RN016,-0.35088923087487184,0.009799504859360814
16,RN017,-0.731276092499078,0.003644893707282125
17,RN018,-0.24884232109755944,0.019628186340690922
18,RN019,-0.3838978455150439,0.020359979112290143
19,RN020,-0.6274764580571592,0.0014300990454465593
20,RN021,-0.4657837356996653,0.0029909416734858873
21,RN022,-0.776966506591496,0.00214531041887433
22,RN023,-0.7047449915302106,0.003941578574980236
23,RN024,-0.46537642189977974,0.008886459254665281
24,RN025,-0.40946817438586525,0.009943641156395336
25,RN026,-0.6737304589554668,0.004448831114586625
26,RN027,-0.627175683529202,0.005578103791547922
27,RN028,-0.5101807027364713,0.003621872090187846
28,RN029,-0.67449399545646,0.0032873379795593824
29,RN030,-0.8512021473136113,0.0022681108926540794
30,RN031,-0.3007942696558555,0.011041402968348815
31,RN032,-0.8127713561516522,0.002915565220444028
32,RN033,-0.5263140123120345,0.006004098964325909
33,RN034,-0.5162608093372083,0.006152792238473604
34,RN035,-0.5422752249985008,0.006829235046814203
35,RN036,-0.5693556964963947,0.0028640632094115805
36,RN037,-0.42563196419056065,0.0007969512858118099
37,RN038,-0.8523869641703206,0.006639434489023205
38,RN039,-0.6646773299923576,0.006907211848225422
39,RN040,-0.818514260190632,0.0014707162209875596
40,RN041,-0.6030844367253589,0.010422052308135882
41,RN042,-0.7442078509036336,0.004201024543035911
42,RN043,-0.7462844960039868,0.002955982084669806
43,RN044,-0.5678612346829396,0.004711268422666243
44,RN045,-0.6190464502355847,0.006996453802868795
45,RN046,-0.6220765107414573,0.007899097210031937
46,RN047,-0.18625006408420242,0.011116037154668034
47,RN048,-0.47223108039300543,0.009651357341205369
48,RN049,-0.5093794884552727,0.0037225548757036085
49,RN050,-0.3924725028291884,0.009344718666588002
50,RN051,-0.4850891059281781,0.0049451992263649805
51,RN052,-0.771668583620896,0.0018044408382452955
52,RN053,-0.5848830492135265,0.007510374898735784
53,RN054,-0.5773466072956087,0.009167552132807294
54,RN055,-0.4800815853596185,0.013196113206073393
55,RN056,-0.37192692792763354,0.005435576224816465
56,RN057,-0.648218321956426,0.0029888876081611824
57,RN058,-0.5514429680681451,0.010802495147033436
58,RN059,-0.8247588660415469,0.0026575315304787146
59,RN060,-0.5872621034534907,0.006289369459037546
60,RN061,-0.8114820612293707,0.003037423071620379
61,RN062,-0.548736244396573,0.002959403111971959
62,RN063,-0.4706892199393189,0.006918612384830007
63,RN064,-0.33872618287955986,0.004097681999975822
64,RN065,-0.6594016218581462,0.0027669844385823828
65,RN066,-0.4316791576810357,0.008265879150159673
66,RN067,-0.6808520662475055,0.005921346893149525
67,RN068,-0.5887857819247784,0.008341157007691117
68,RN069,-0.5995401033571633,0.006125360616478371
69,RN070,-0.8076299234682295,0.004880063254056487
70,RN071,-0.6154909396863811,0.00885492676483046
71,RN072,-0.8261066389228137,0.002907163871796394
72,RN073,-0.856263058860406,0.0014514285201974284
73,RN074,-0.5205990635893645,0.0035629997887379116
74,RN075,-0.4921569911123432,0.008141270383506889
75,RN076,-0.570398313118265,0.00418643756289351
76,RN077,-0.755017617753249,0.00454662401232934
77,RN078,-0.17194666764945543,0.010757018229761
78,RN079,0.11932931237990047,0.014807283035335623
79,RN080,-0.43985875765880894,0.005876144306753885
80,RN081,-0.6291350764574725,0.005339963877546205
81,RN082,-0.24011213413726232,0.005235047425129751
82,RN083,-0.6982995885113598,0.004833774936342985
83,RN084,-0.5954001903826303,0.0038514901174726136
84,RN085,-0.7726402335573063,0.0028946362110257575
85,RN086,-0.4501973964265793,0.004772476765058747
86,RN087,-0.48302737735654416,0.005858810883959885
87,RN088,-0.8061655451016406,0.0008828658243246769
88,RN089,-0.49366935389865246,0.011349243602794525
89,RN090,-0.2636222921165517,0.004141912130186768
90,RN091,-0.4862667128893519,0.005505745352289188
91,RN092,-0.7060098241881231,0.007250312110749216
92,RN093,-0.28442775840612433,0.017638680329412827
93,RN094,-0.8296937729322735,0.000626555552303797
94,RN095,-0.7005035616649442,0.007442152361022432
95,RN096,-0.4789809886774898,0.007556054673768116
96,RN097,-0.7273952434279919,0.0028464354102556246
97,RN098,-0.22875547675488686,0.004317476709611432
98,RN099,-0.8267575414692655,0.0012889681104881643
99,RN100,-0.686993535569809,0.005814007577502214
