,RN,BC A,STD A,BC B,STD B
0,RN001,0.3940833042552107,0.006143244253831696,0.3473420898115678,0.005852079162613758
1,RN002,0.40012340763924037,0.0031079314146738044,0.4459151675944577,0.006579441582558327
2,RN003,0.40050456463610534,0.005589532680247406,0.3413428454308371,0.005079094925771216
3,RN004,0.4865281666785705,0.0031891253692810507,0.3850468516876832,0.0068932370811023175
4,RN005,0.44195443663006095,0.0030705947043209547,0.40957029744093604,0.0024025150132369402
5,RN006,0.37325164218804674,0.004287751294997639,0.40595645851539386,0.0025823290157110557
6,RN007,0.46742774786919233,0.0026803754928476685,0.5157367286533355,0.0042003966396730475
7,RN008,0.49454531905836907,0.007161386958319098,0.36924297049880667,0.004544017245035299
8,RN009,0.3525299070457028,0.00745831916396108,0.4398725734445308,0.005757468717100398
9,RN010,0.3112582855940251,0.005212246854554674,0.4234899935800409,0.005560487472571001
10,RN011,0.4389026527492874,0.0063877332791795055,0.35358215563993384,0.008657172375950572
11,RN012,0.5018978757926531,0.004918971735188557,0.3868273959441237,0.0024959822791538835
12,RN013,0.5139296395954599,0.008139870106009896,0.5871673553777724,0.0015387136436202248
13,RN014,0.3813795340446304,0.005659265385766364,0.6163601192266435,0.005592487603472354
14,RN015,0.3742243599202006,0.0125375669282444,0.8378524035264129,0.003273235518289088
15,RN016,0.3631793966913511,0.006696369122493664,0.3884672526126334,0.004697707637411617
16,RN017,0.4010948873907238,0.0022450140820968623,0.4119861557198845,0.004126541201076541
17,RN018,0.480901670802613,0.006429410467428056,0.6656287900679955,0.0006979932235876839
18,RN019,0.35088758794287717,0.003156840117542776,0.40413378366044067,0.002974038926337331
19,RN020,0.4685824992264014,0.0008250051245889068,0.5131294191639753,0.011946084270056882
20,RN021,0.39369608965401687,0.004020117361801657,0.44552680980773823,0.005591125339933977
21,RN022,0.37510886554075634,0.0036670235490668815,0.5528566488756,0.0023295333342199715
22,RN023,0.4727106919628184,0.0005387186517839769,0.414301625942862,0.0042484861578185205
23,RN024,0.3654482388966751,0.002099318298119942,0.8386863930786549,0.001902695280183409
24,RN025,0.4646568624446255,0.010248010261653333,0.7035187061597149,0.0024262184692237895
25,RN026,0.4729975893346319,0.0021772933194725793,0.5367533611047818,0.002306360251137305
26,RN027,0.3856611833227807,0.0025212804857352843,0.5727442590982434,0.004233220730598304
27,RN028,0.39025356958243657,0.004796103423645775,0.40114024737178955,0.0014433738205525785
28,RN029,0.4108792287051541,0.004150162675001256,0.39823920231909643,0.00401401103429133
29,RN030,0.3571097398827476,0.008396859229626139,0.373603740188806,0.0028296393977625188
30,RN031,0.43428756010520236,0.0019635520478375307,0.4687173307191173,0.005863826544167663
31,RN032,0.3812893518670261,0.004414501049577807,0.46194856663280826,0.0032105847961974828
32,RN033,0.37388105331972765,0.005425240501949771,0.34865837170928365,0.004053809500371002
33,RN034,0.40719308964025797,0.004614489750659518,0.350888499616123,0.0036959636933156545
34,RN035,0.36705603199581244,0.009531420908810902,0.38878267276988376,0.004906085612418868
35,RN036,0.43984953015765077,0.004419786833077321,0.47396204337582476,0.002255084529740122
36,RN037,0.40711662561505185,0.005548218957574692,0.36434498856550296,0.0015941510195990889
37,RN038,0.571144198072326,0.0018063857814211747,0.568509380006601,0.002896038212263872
