,InA,OutA,InB,OutB,PosL,NegL,TotL,MPosL,MNegL,MTotL
0,2,2,1,3,4,2,6,4,2,6
1,1,3,3,2,2,1,3,2,1,3
2,2,2,3,3,3,6,9,3,6,9
3,5,2,2,4,5,2,7,5,2,7
4,1,2,2,2,3,1,4,3,1,4
5,3,2,1,5,4,5,9,4,5,9
6,1,2,2,2,5,3,8,5,3,8
7,3,2,3,3,3,1,4,3,1,4
8,3,3,3,2,9,1,10,9,1,10
9,2,4,1,2,1,1,2,1,1,2
10,2,2,5,2,1,1,2,1,1,2
11,4,2,2,3,2,4,6,2,4,6
12,3,5,2,2,3,3,6,3,3,6
13,2,2,3,3,7,0,7,7,0,7
14,3,3,4,2,1,4,5,1,4,5
15,1,4,1,3,1,0,1,1,0,1
16,6,3,2,2,1,2,3,1,2,3
17,3,3,1,3,1,0,1,1,0,1
18,4,2,2,2,1,1,2,1,1,2
19,2,2,3,2,1,1,2,1,1,2
20,3,2,2,2,1,0,1,1,0,1
21,2,2,1,2,1,0,1,1,0,1
22,3,3,4,5,10,4,14,10,4,14
23,2,3,2,3,2,3,5,2,3,5
24,1,2,1,2,1,0,1,1,0,1
25,3,3,2,4,11,6,17,11,6,17
26,2,2,2,3,1,0,1,1,0,1
27,3,2,2,2,3,5,8,3,5,8
28,3,3,3,3,8,9,17,8,9,17
29,3,2,4,3,4,4,8,4,4,8
30,5,2,2,3,3,0,3,3,0,3
31,2,2,2,2,1,1,2,1,1,2
32,4,4,3,2,4,0,4,4,0,4
33,2,3,2,4,3,3,6,3,3,6
34,3,2,3,3,4,3,7,4,3,7
35,3,2,2,2,1,2,3,1,2,3
36,2,2,3,3,5,5,10,5,5,10
37,2,2,1,3,1,1,2,1,1,2
38,2,3,3,3,8,12,20,8,12,20
39,4,2,1,4,7,6,13,7,6,13
40,3,3,3,3,7,8,15,7,8,15
41,2,4,3,2,1,4,5,1,4,5
42,3,2,3,3,3,3,6,3,3,6
43,3,3,2,2,5,5,10,5,5,10
44,1,3,3,2,2,3,5,2,3,5
45,3,2,4,3,3,0,3,3,0,3
46,2,3,2,2,2,2,4,2,2,4
47,3,3,3,2,7,4,11,7,4,11
48,2,2,2,2,1,0,1,1,0,1
49,3,2,5,4,6,0,6,6,0,6
50,3,2,2,2,6,2,8,6,2,8
51,4,3,1,2,3,1,4,3,1,4
52,3,3,1,2,1,2,3,1,2,3
53,2,2,2,2,1,0,1,1,0,1
54,1,2,3,3,2,0,2,2,0,2
55,2,3,1,5,3,2,5,3,2,5
56,2,2,2,3,3,4,7,3,4,7
57,3,4,2,2,1,1,2,1,1,2
58,2,3,1,2,1,1,2,1,1,2
59,2,2,2,2,2,2,4,2,2,4
60,2,2,1,4,4,2,6,4,2,6
61,1,3,1,2,1,0,1,1,0,1
62,1,4,2,2,7,2,9,7,2,9
63,2,2,1,3,1,1,2,1,1,2
64,1,3,4,3,3,0,3,3,0,3
65,1,2,4,2,3,8,11,3,8,11
66,2,2,1,4,1,0,1,1,0,1
67,3,2,3,2,3,3,6,3,3,6
68,2,4,3,2,5,2,7,5,2,7
69,2,3,3,3,7,5,12,7,5,12
70,1,5,3,2,5,2,7,5,2,7
71,3,2,3,2,3,0,3,3,0,3
72,1,3,3,2,3,1,4,3,1,4
73,2,2,2,3,4,4,8,4,4,8
74,3,2,3,3,1,1,2,1,1,2
75,4,2,4,3,8,1,9,8,1,9
76,2,3,2,2,4,4,8,4,4,8
77,4,3,4,2,8,13,21,8,13,21
78,4,5,3,2,5,5,10,5,5,10
79,3,2,4,4,12,4,16,12,4,16
80,2,4,1,3,2,1,3,2,1,3
81,1,3,4,2,3,6,9,3,6,9
82,2,4,2,2,4,2,6,4,2,6
83,1,2,4,4,1,0,1,1,0,1
84,2,6,3,2,2,1,3,2,1,3
85,3,3,2,2,1,0,1,1,0,1
86,2,3,1,2,1,0,1,1,0,1
87,2,3,2,3,8,7,15,8,7,15
88,2,2,3,3,2,4,6,2,4,6
89,2,2,2,2,2,2,4,2,2,4
90,4,2,1,3,2,0,2,2,0,2
91,1,3,4,3,1,3,4,1,3,4
92,1,2,3,2,3,5,8,3,5,8
93,3,2,6,3,2,1,3,2,1,3
94,4,3,3,2,3,4,7,3,4,7
95,2,3,2,3,3,2,5,3,2,5
96,3,2,2,2,1,2,3,1,2,3
97,3,2,2,3,3,3,6,3,3,6
98,3,2,2,3,2,2,4,2,2,4
99,3,2,3,2,2,2,4,2,2,4
