,RN,PInA,NInA,PInB,NInB
0,RN001,1,5,2,2
1,RN002,1,3,2,4
2,RN003,2,2,3,1
3,RN004,5,1,0,4
4,RN005,1,3,4,2
5,RN006,1,4,2,2
6,RN007,3,2,2,4
7,RN008,4,2,4,2
8,RN009,0,2,1,4
9,RN010,2,2,1,3
10,RN011,2,1,1,3
11,RN012,2,3,4,1
12,RN013,3,2,1,4
13,RN014,0,5,1,3
14,RN015,2,4,1,4
15,RN016,1,4,1,4
16,RN017,3,2,1,4
17,RN018,1,4,1,4
18,RN019,0,5,3,2
19,RN020,1,4,2,2
20,RN021,2,3,3,2
21,RN022,2,3,0,4
22,RN023,3,2,1,3
23,RN024,0,4,4,2
24,RN025,1,4,2,3
25,RN026,4,2,3,2
26,RN027,2,3,0,3
27,RN028,2,4,1,3
28,RN029,4,2,3,3
29,RN030,2,3,2,2
30,RN031,2,4,3,2
31,RN032,3,2,2,3
32,RN033,0,2,1,5
33,RN034,3,1,1,2
34,RN035,3,3,0,4
35,RN036,2,3,3,1
36,RN037,0,4,4,2
37,RN038,1,2,2,3
38,RN039,4,1,2,2
39,RN040,3,2,3,2
40,RN041,4,2,3,2
41,RN042,3,2,2,4
42,RN043,1,4,2,3
43,RN044,2,4,0,1
44,RN045,1,3,3,2
45,RN046,0,3,4,2
46,RN047,1,3,2,3
47,RN048,3,2,1,4
48,RN049,3,2,3,2
49,RN050,1,4,1,4
50,RN051,0,2,2,2
51,RN052,3,3,1,3
52,RN053,2,4,3,1
53,RN054,2,2,2,3
54,RN055,2,2,1,3
55,RN056,0,5,0,3
56,RN057,2,2,4,1
57,RN058,3,2,3,2
58,RN059,1,4,1,3
59,RN060,1,2,1,4
60,RN061,0,4,2,4
61,RN062,1,3,2,3
62,RN063,2,2,2,3
63,RN064,1,2,1,4
64,RN065,4,1,4,2
65,RN066,2,4,2,3
66,RN067,0,5,2,4
67,RN068,3,2,1,4
68,RN069,2,3,1,1
69,RN070,0,4,1,2
70,RN071,0,4,5,1
71,RN072,1,3,2,3
72,RN073,2,2,1,4
73,RN074,2,3,0,4
74,RN075,0,3,1,4
75,RN076,1,2,3,3
76,RN077,3,1,2,3
77,RN078,1,4,0,5
78,RN079,1,3,4,2
79,RN080,1,4,1,4
80,RN081,1,3,1,4
81,RN082,0,3,2,3
82,RN083,1,4,1,2
83,RN084,3,3,3,2
84,RN085,2,3,3,3
85,RN086,0,3,3,2
86,RN087,4,1,2,2
87,RN088,2,3,1,3
88,RN089,2,2,1,4
89,RN090,2,2,1,3
90,RN091,2,3,1,5
91,RN092,2,3,1,4
92,RN093,1,5,2,3
93,RN094,2,2,3,2
94,RN095,4,2,3,3
95,RN096,1,3,2,3
96,RN097,3,2,1,3
97,RN098,3,1,3,1
98,RN099,3,3,2,3
99,RN100,0,3,3,2
