,InA,OutA,InB,OutB,PosL,NegL,TotL,MPosL,MNegL,MTotL
0,6,4,4,5,146,141,287,146,141,287
1,4,5,6,4,168,167,335,168,167,335
2,4,5,4,6,154,157,311,154,157,311
3,6,4,4,5,160,154,314,160,154,314
4,4,6,6,4,167,146,313,167,146,313
5,5,3,4,6,142,119,261,142,119,261
6,5,5,6,6,146,146,292,146,146,292
7,6,4,6,6,171,172,343,171,172,343
8,2,5,5,6,118,114,232,118,114,232
9,4,5,4,4,158,124,282,158,124,282
10,3,6,4,4,127,131,258,127,131,258
11,5,5,5,5,156,162,318,156,162,318
12,5,5,5,6,161,164,325,161,164,325
13,5,5,4,5,119,104,223,119,104,223
14,6,2,5,5,126,131,257,126,131,257
15,5,4,5,4,166,161,327,166,161,327
16,5,5,5,4,169,165,334,169,165,334
17,5,5,5,5,152,201,353,152,201,353
18,5,5,5,5,154,163,317,154,163,317
19,5,5,4,3,127,136,263,127,136,263
20,5,5,5,6,157,171,328,157,171,328
21,5,5,4,6,169,161,330,169,161,330
22,5,4,4,5,177,164,341,177,164,341
23,4,5,6,5,192,167,359,192,167,359
24,5,5,5,4,102,126,228,102,126,228
25,6,4,5,4,159,176,335,159,176,335
26,5,6,3,4,142,116,258,142,116,258
27,6,4,4,4,163,188,351,163,188,351
28,6,4,6,4,175,129,304,175,129,304
29,5,5,4,4,136,131,267,136,131,267
30,6,3,5,4,157,121,278,157,121,278
31,5,6,5,5,145,172,317,145,172,317
32,2,4,6,4,115,109,224,115,109,224
33,4,6,3,4,116,117,233,116,117,233
34,6,5,4,6,161,152,313,161,152,313
35,5,6,4,6,170,152,322,170,152,322
36,4,3,6,4,115,127,242,115,127,242
37,3,4,5,6,152,140,292,152,140,292
38,5,5,4,6,180,184,364,180,184,364
39,5,4,5,4,143,135,278,143,135,278
40,6,4,5,6,180,151,331,180,151,331
41,5,5,6,5,145,158,303,145,158,303
42,5,4,5,3,129,164,293,129,164,293
43,6,4,1,6,99,96,195,99,96,195
44,4,6,5,5,149,143,292,149,143,292
45,3,5,6,6,138,143,281,138,143,281
46,4,5,5,4,172,178,350,172,178,350
47,5,5,5,6,158,154,312,158,154,312
48,5,2,5,5,118,118,236,118,118,236
49,5,4,5,5,150,145,295,150,145,295
50,2,5,4,5,102,108,210,102,108,210
51,6,4,4,6,142,132,274,142,132,274
52,6,4,4,5,138,145,283,138,145,283
53,4,6,5,4,186,156,342,186,156,342
54,4,5,4,5,145,162,307,145,162,307
55,5,4,3,5,147,133,280,147,133,280
56,4,5,5,4,95,97,192,95,97,192
57,5,4,5,5,173,172,345,173,172,345
58,5,4,4,5,154,161,315,154,161,315
59,3,4,5,6,136,156,292,136,156,292
60,4,5,6,4,146,141,287,146,141,287
61,4,5,5,4,141,127,268,141,127,268
62,4,5,5,5,171,176,347,171,176,347
63,3,4,5,5,131,121,252,131,121,252
64,5,6,6,5,150,163,313,150,163,313
65,6,5,5,3,149,122,271,149,122,271
66,5,4,6,4,156,164,320,156,164,320
67,5,5,5,5,162,168,330,162,168,330
68,5,5,2,5,131,107,238,131,107,238
69,4,6,3,6,125,129,254,125,129,254
70,4,4,6,5,142,138,280,142,138,280
71,4,6,5,4,155,158,313,155,158,313
72,4,6,5,4,151,135,286,151,135,286
73,5,4,4,5,136,172,308,136,172,308
74,3,6,5,5,150,149,299,150,149,299
75,3,4,6,4,131,131,262,131,131,262
76,4,5,5,6,189,158,347,189,158,347
77,5,6,5,5,169,153,322,169,153,322
78,4,4,6,4,144,145,289,144,145,289
79,5,3,5,6,126,115,241,126,115,241
80,4,6,5,5,158,183,341,158,183,341
81,3,5,5,5,147,142,289,147,142,289
82,5,6,3,5,141,133,274,141,133,274
83,6,4,5,6,173,134,307,173,134,307
84,5,4,6,4,168,154,322,168,154,322
85,3,6,5,4,147,143,290,147,143,290
86,5,6,4,6,154,167,321,154,167,321
87,5,4,4,5,157,137,294,157,137,294
88,4,5,5,5,111,113,224,111,113,224
89,4,6,4,6,162,154,316,162,154,316
90,5,5,6,5,174,177,351,174,177,351
91,5,6,5,4,157,186,343,157,186,343
92,6,4,5,4,173,171,344,173,171,344
93,4,4,5,5,141,117,258,141,117,258
94,6,4,6,5,156,165,321,156,165,321
95,4,5,5,4,122,121,243,122,121,243
96,5,5,4,6,147,156,303,147,156,303
97,4,6,4,6,163,141,304,163,141,304
98,6,5,5,5,166,168,334,166,168,334
99,3,3,5,5,118,147,265,118,147,265
