,InA,OutA,InB,OutB,PosL,NegL,TotL,MPosL,MNegL,MTotL
0,7,6,5,4,10818,10870,21688,10818,10870,21688
1,7,6,4,4,4655,4624,9279,4655,4624,9279
2,7,5,6,5,12125,12205,24330,12125,12205,24330
3,5,5,6,9,10613,10539,21152,10613,10539,21152
4,7,4,6,3,9762,9718,19480,9762,9718,19480
5,5,5,6,5,14573,14495,29068,14573,14495,29068
6,7,3,4,4,8885,8714,17599,8885,8714,17599
7,5,5,5,5,13515,13501,27016,13515,13501,27016
8,8,6,8,5,11834,11934,23768,11834,11934,23768
9,5,6,6,5,12761,12463,25224,12761,12463,25224
10,5,7,4,7,19765,19766,39531,19765,19766,39531
11,6,5,8,5,11071,11340,22411,11071,11340,22411
12,6,6,4,8,13294,13295,26589,13294,13295,26589
13,6,5,4,7,10247,10189,20436,10247,10189,20436
14,6,5,3,7,15337,15070,30407,15337,15070,30407
15,3,6,8,4,11919,12047,23966,11919,12047,23966
16,3,8,4,4,15351,15467,30818,15351,15467,30818
17,7,4,7,7,11091,11029,22120,11091,11029,22120
18,6,6,6,6,13517,13583,27100,13517,13583,27100
19,7,8,5,6,11535,11567,23102,11535,11567,23102
20,7,6,5,5,7959,8063,16022,7959,8063,16022
21,6,6,4,5,13947,14030,27977,13947,14030,27977
22,6,7,5,6,13161,13402,26563,13161,13402,26563
23,3,7,7,4,13177,13348,26525,13177,13348,26525
24,4,8,6,7,6836,6907,13743,6836,6907,13743
25,8,5,6,7,15661,15522,31183,15661,15522,31183
26,4,7,9,4,12764,12725,25489,12764,12725,25489
27,7,4,6,4,8141,8207,16348,8141,8207,16348
28,5,6,4,4,10989,11002,21991,10989,11002,21991
29,6,6,6,8,10359,10344,20703,10359,10344,20703
30,2,7,4,7,9257,9320,18577,9257,9320,18577
31,4,6,3,4,5432,5504,10936,5432,5504,10936
32,4,7,6,6,13174,13138,26312,13174,13138,26312
33,3,6,8,4,13198,13507,26705,13198,13507,26705
34,6,8,5,6,10498,10344,20842,10498,10344,20842
35,3,6,7,5,14191,14146,28337,14191,14146,28337
36,4,7,6,5,8262,8326,16588,8262,8326,16588
37,3,6,2,5,7858,7812,15670,7858,7812,15670
38,4,4,4,8,6896,6703,13599,6896,6703,13599
39,5,4,4,6,13305,13552,26857,13305,13552,26857
40,8,5,5,8,12945,12495,25440,12945,12495,25440
41,3,7,7,4,14189,14519,28708,14189,14519,28708
42,6,6,2,3,1737,1839,3576,1737,1839,3576
43,4,6,6,6,15903,16030,31933,15903,16030,31933
44,5,6,7,4,14410,14492,28902,14410,14492,28902
45,7,6,6,6,17834,17811,35645,17834,17811,35645
