,RN,PInA,NInA,PInB,NInB
0,RN001,1,2,1,1
1,RN002,1,2,1,2
2,RN003,1,3,1,3
3,RN004,2,1,1,3
4,RN005,3,3,2,3
5,RN006,1,4,0,2
6,RN007,2,1,0,1
7,RN008,0,4,0,2
8,RN009,0,1,1,2
9,RN010,0,1,2,2
10,RN011,1,3,1,3
11,RN012,0,3,1,1
12,RN013,0,3,1,3
13,RN014,1,1,2,3
14,RN015,1,3,1,2
15,RN016,1,1,0,3
16,RN017,4,1,1,2
17,RN018,0,1,0,3
18,RN019,0,1,2,3
19,RN020,0,1,0,1
20,RN021,2,1,0,2
21,RN022,0,2,0,4
22,RN023,0,1,2,1
23,RN024,0,1,1,3
24,RN025,0,4,1,2
25,RN026,2,2,1,2
26,RN027,1,2,0,2
27,RN028,0,1,1,2
28,RN029,1,1,0,3
29,RN030,0,2,0,2
30,RN031,3,1,1,1
31,RN032,2,2,1,3
32,RN033,0,2,0,2
33,RN034,0,3,1,3
34,RN035,2,1,0,2
35,RN036,1,1,2,3
36,RN037,1,2,1,2
37,RN038,3,2,1,1
38,RN039,1,1,1,1
39,RN040,1,1,3,1
40,RN041,1,2,1,2
41,RN042,0,1,0,1
42,RN043,1,1,1,1
43,RN044,0,1,2,2
44,RN045,0,2,0,4
45,RN046,0,4,1,2
46,RN047,0,2,2,2
47,RN048,0,2,0,2
48,RN049,1,1,1,2
49,RN050,1,2,1,1
50,RN051,1,1,0,2
51,RN052,3,2,1,1
52,RN053,2,2,2,1
53,RN054,1,1,0,2
54,RN055,3,2,1,3
55,RN056,1,2,1,1
56,RN057,2,2,1,3
57,RN058,1,2,1,1
58,RN059,1,1,0,4
59,RN060,1,1,4,2
60,RN061,1,1,0,2
61,RN062,1,2,0,2
62,RN063,0,3,1,2
63,RN064,1,1,0,3
64,RN065,2,2,0,2
65,RN066,0,1,0,2
66,RN067,0,1,0,2
67,RN068,2,2,2,1
68,RN069,0,3,2,1
69,RN070,0,4,0,1
70,RN071,0,3,1,1
71,RN072,1,4,0,2
72,RN073,1,1,0,3
73,RN074,0,2,0,4
74,RN075,0,2,1,1
75,RN076,0,1,2,2
76,RN077,1,1,0,2
77,RN078,0,2,0,3
78,RN079,2,1,3,3
79,RN080,0,2,0,1
80,RN081,2,1,1,2
81,RN082,0,1,0,4
82,RN083,1,2,0,1
83,RN084,1,1,0,1
84,RN085,0,1,1,3
85,RN086,1,3,1,2
86,RN087,0,1,0,2
87,RN088,3,2,1,2
88,RN089,0,1,0,2
89,RN090,0,2,1,2
90,RN091,1,1,1,2
91,RN092,1,2,1,2
92,RN093,1,2,0,1
93,RN094,1,1,1,1
94,RN095,0,4,2,1
95,RN096,0,2,2,2
96,RN097,0,3,1,1
97,RN098,1,1,1,3
98,RN099,1,1,1,1
99,RN100,0,1,1,1
