,RN,PInA,NInA,PInB,NInB
0,RN001,2,3,3,6
1,RN002,2,3,2,3
2,RN003,2,6,6,3
3,RN004,5,6,3,9
4,RN005,3,5,4,3
5,RN006,2,4,2,6
6,RN007,4,4,1,4
7,RN008,1,7,5,4
8,RN009,1,4,2,3
9,RN010,2,3,4,4
10,RN011,1,3,3,2
11,RN012,3,4,3,2
12,RN013,2,3,4,2
13,RN014,3,3,2,5
14,RN015,2,6,6,5
15,RN016,2,2,3,3
16,RN017,4,3,3,4
17,RN018,2,2,5,2
18,RN019,4,6,1,6
19,RN020,2,4,2,5
20,RN021,1,2,0,6
21,RN022,5,2,7,3
22,RN023,3,2,3,3
23,RN024,3,4,3,6
24,RN025,0,6,3,2
25,RN026,3,3,1,3
26,RN027,2,4,1,5
27,RN028,0,6,4,4
28,RN029,4,3,3,1
29,RN030,1,2,1,3
30,RN031,1,5,4,1
31,RN032,3,2,1,2
32,RN033,3,2,2,3
33,RN034,5,6,4,3
34,RN035,1,2,4,5
35,RN036,1,7,5,3
36,RN037,1,3,3,3
37,RN038,0,4,2,1
38,RN039,2,5,1,2
39,RN040,0,7,6,4
40,RN041,0,3,5,2
41,RN042,3,2,2,5
42,RN043,1,3,2,4
43,RN044,2,2,3,2
44,RN045,1,3,4,4
45,RN046,2,3,1,2
46,RN047,0,2,2,2
47,RN048,3,4,2,3
48,RN049,1,5,1,4
49,RN050,2,1,4,4
50,RN051,5,3,3,4
51,RN052,0,5,4,4
52,RN053,3,2,2,5
53,RN054,1,4,6,2
54,RN055,3,6,4,1
55,RN056,3,3,1,4
56,RN057,0,1,4,4
57,RN058,2,3,2,2
58,RN059,3,3,3,3
59,RN060,4,3,2,2
60,RN061,2,2,4,2
61,RN062,2,5,3,2
62,RN063,1,4,0,3
63,RN064,3,3,3,4
64,RN065,2,6,3,3
65,RN066,5,2,2,4
66,RN067,4,3,2,6
67,RN068,3,3,4,3
68,RN069,3,5,2,2
69,RN070,0,5,4,5
70,RN071,1,5,2,2
71,RN072,1,4,2,3
72,RN073,2,7,3,4
73,RN074,1,7,1,4
74,RN075,1,4,2,4
75,RN076,4,3,3,3
76,RN077,4,6,2,6
77,RN078,3,6,2,2
78,RN079,2,6,3,6
79,RN080,4,4,1,3
80,RN081,2,2,4,2
81,RN082,2,3,3,4
82,RN083,3,1,2,2
83,RN084,6,3,3,3
84,RN085,3,6,1,7
85,RN086,4,3,3,7
86,RN087,5,2,1,4
87,RN088,4,4,2,5
88,RN089,3,3,4,3
89,RN090,3,2,5,1
90,RN091,4,7,0,4
91,RN092,3,2,1,6
92,RN093,1,1,3,3
93,RN094,3,5,3,4
94,RN095,1,5,3,2
95,RN096,4,2,3,3
96,RN097,1,3,3,3
97,RN098,2,4,1,4
98,RN099,3,7,1,5
99,RN100,1,2,3,4
