,RN,PInA,NInA,PInB,NInB
0,RN001,1,1,1,2
1,RN002,1,3,1,4
2,RN003,1,1,1,2
3,RN004,0,3,0,3
4,RN005,1,2,1,3
5,RN006,1,3,1,2
6,RN007,1,3,0,2
7,RN008,1,2,1,3
8,RN009,0,3,0,2
9,RN010,1,3,1,2
10,RN011,0,4,1,1
11,RN012,0,1,1,3
12,RN013,1,3,2,3
13,RN014,1,3,2,2
14,RN015,1,4,1,1
15,RN016,2,4,1,2
16,RN017,1,2,1,3
17,RN018,1,2,1,4
18,RN019,2,1,1,1
19,RN020,0,3,2,2
20,RN021,0,2,2,1
21,RN022,1,3,2,2
22,RN023,0,3,2,2
23,RN024,1,3,2,1
24,RN025,0,2,2,2
25,RN026,2,2,2,1
26,RN027,2,2,1,2
27,RN028,1,1,0,3
28,RN029,0,4,0,1
29,RN030,1,3,1,2
30,RN031,0,2,0,1
31,RN032,2,2,1,3
32,RN033,1,2,0,4
33,RN034,2,1,1,2
34,RN035,1,2,1,2
35,RN036,1,2,1,2
36,RN037,1,2,0,3
37,RN038,1,2,1,2
38,RN039,2,1,2,1
39,RN040,1,3,2,3
40,RN041,2,1,1,1
41,RN042,1,3,0,3
42,RN043,2,2,1,2
43,RN044,1,2,2,3
44,RN045,1,3,1,2
45,RN046,0,3,1,2
46,RN047,2,3,2,4
47,RN048,1,4,0,3
48,RN049,2,1,2,3
49,RN050,0,4,1,1
50,RN051,0,2,3,2
51,RN052,1,1,1,1
52,RN053,0,4,0,2
53,RN054,0,2,2,3
54,RN055,0,3,1,1
55,RN056,0,3,0,2
56,RN057,1,1,1,1
57,RN058,1,2,2,1
58,RN059,1,4,2,3
59,RN060,0,3,1,2
60,RN061,1,2,2,3
61,RN062,0,1,0,2
62,RN063,1,1,2,4
63,RN064,0,3,0,5
64,RN065,2,1,2,1
65,RN066,1,2,0,2
66,RN067,1,3,1,2
67,RN068,3,2,1,3
68,RN069,0,1,2,3
69,RN070,0,3,1,3
70,RN071,1,4,0,2
71,RN072,2,2,1,2
72,RN073,1,2,3,2
73,RN074,0,4,0,2
74,RN075,1,2,1,3
75,RN076,2,2,0,2
76,RN077,1,3,1,2
77,RN078,2,1,1,4
78,RN079,0,3,1,3
79,RN080,3,1,2,4
80,RN081,1,4,0,2
81,RN082,1,2,2,2
82,RN083,0,3,1,1
83,RN084,1,2,2,2
84,RN085,1,3,2,1
85,RN086,2,2,0,4
86,RN087,1,3,0,2
87,RN088,1,1,0,3
88,RN089,0,3,1,3
89,RN090,0,3,0,2
90,RN091,0,2,0,3
91,RN092,2,1,0,3
92,RN093,2,2,1,2
93,RN094,0,2,1,2
94,RN095,1,3,1,1
95,RN096,2,1,1,4
96,RN097,0,1,2,3
97,RN098,1,1,1,1
98,RN099,0,1,2,2
99,RN100,1,3,0,4
