,RN,PInA,NInA,PInB,NInB
0,RN001,4,2,2,3
1,RN002,1,6,1,3
2,RN003,1,4,2,3
3,RN004,5,1,1,5
4,RN005,4,2,2,3
5,RN006,1,4,1,3
6,RN007,1,1,0,3
7,RN008,1,2,3,3
8,RN009,2,4,2,1
9,RN010,1,3,1,1
10,RN011,2,5,2,4
11,RN012,1,2,3,3
12,RN013,1,3,2,1
13,RN014,1,3,1,1
14,RN015,3,6,0,1
15,RN016,2,3,2,2
16,RN017,2,4,1,2
17,RN018,2,3,0,2
18,RN019,3,2,3,2
19,RN020,3,2,0,3
20,RN021,2,3,1,2
21,RN022,3,2,1,1
22,RN023,2,4,3,3
23,RN024,2,1,0,1
24,RN025,3,6,1,1
25,RN026,0,5,1,1
26,RN027,1,4,0,3
27,RN028,3,2,1,5
28,RN029,4,3,2,3
29,RN030,1,2,5,5
30,RN031,3,1,4,3
31,RN032,2,4,4,3
32,RN033,1,2,3,2
33,RN034,2,3,2,3
34,RN035,3,2,3,3
35,RN036,2,5,0,2
36,RN037,1,2,1,1
37,RN038,0,3,1,1
38,RN039,1,3,2,2
39,RN040,2,2,2,3
40,RN041,1,3,0,3
41,RN042,2,1,1,4
42,RN043,1,2,2,1
43,RN044,1,3,2,1
44,RN045,2,3,1,2
45,RN046,3,2,2,1
46,RN047,1,1,4,2
47,RN048,3,5,2,5
48,RN049,3,2,3,3
49,RN050,3,3,3,2
50,RN051,1,1,2,2
51,RN052,2,3,1,3
52,RN053,4,2,0,5
53,RN054,2,4,0,3
54,RN055,3,2,1,4
55,RN056,1,4,3,3
56,RN057,0,4,2,2
57,RN058,1,4,2,2
58,RN059,1,1,1,2
59,RN060,2,3,0,4
60,RN061,0,5,1,1
61,RN062,1,3,0,3
62,RN063,3,4,0,5
63,RN064,2,2,1,5
64,RN065,3,2,3,4
65,RN066,1,4,1,1
66,RN067,0,2,3,1
67,RN068,3,2,1,3
68,RN069,0,3,1,4
69,RN070,4,3,1,1
70,RN071,3,3,1,2
71,RN072,0,5,1,3
72,RN073,0,4,2,2
73,RN074,3,2,1,1
74,RN075,1,4,1,5
75,RN076,0,3,3,2
76,RN077,2,3,3,4
77,RN078,3,3,2,2
78,RN079,1,2,1,3
79,RN080,3,4,2,4
80,RN081,0,4,3,2
81,RN082,2,2,1,2
82,RN083,2,4,0,3
83,RN084,4,2,4,2
84,RN085,1,3,0,1
85,RN086,2,3,1,3
86,RN087,0,3,1,1
87,RN088,2,2,2,2
88,RN089,2,4,0,5
89,RN090,1,3,4,1
90,RN091,2,2,3,2
91,RN092,0,1,3,3
92,RN093,5,4,2,2
93,RN094,1,3,3,2
94,RN095,2,5,1,3
95,RN096,3,4,0,4
96,RN097,2,3,2,3
97,RN098,1,2,3,2
98,RN099,2,4,2,2
99,RN100,2,3,1,4
