,RN,PInA,NInA,PInB,NInB
0,RN001,1,1,0,1
1,RN002,0,1,1,2
2,RN003,1,1,1,2
3,RN004,2,3,1,1
4,RN005,0,1,0,2
5,RN006,0,3,0,1
6,RN007,0,1,1,1
7,RN008,1,2,2,1
8,RN009,1,2,2,1
9,RN010,1,1,0,1
10,RN011,0,2,2,3
11,RN012,2,2,1,1
12,RN013,0,3,0,2
13,RN014,0,2,0,3
14,RN015,2,1,2,2
15,RN016,0,1,0,1
16,RN017,5,1,1,1
17,RN018,0,3,0,1
18,RN019,2,2,1,1
19,RN020,0,2,0,3
20,RN021,2,1,0,2
21,RN022,0,2,0,1
22,RN023,2,1,2,2
23,RN024,1,1,1,1
24,RN025,0,1,0,1
25,RN026,0,3,0,2
26,RN027,0,2,0,2
27,RN028,1,2,0,2
28,RN029,1,2,1,2
29,RN030,2,1,1,3
30,RN031,2,3,0,2
31,RN032,1,1,0,2
32,RN033,2,2,1,2
33,RN034,1,1,1,1
34,RN035,2,1,1,2
35,RN036,1,2,0,2
36,RN037,1,1,1,2
37,RN038,0,2,0,1
38,RN039,1,1,1,2
39,RN040,1,3,0,1
40,RN041,1,2,1,2
41,RN042,1,1,0,3
42,RN043,0,3,1,2
43,RN044,1,2,1,1
44,RN045,0,1,1,2
45,RN046,1,2,1,3
46,RN047,1,1,0,2
47,RN048,2,1,0,3
48,RN049,0,2,1,1
49,RN050,1,2,2,3
50,RN051,1,2,0,2
51,RN052,3,1,0,1
52,RN053,2,1,0,1
53,RN054,1,1,0,2
54,RN055,0,1,0,3
55,RN056,0,2,0,1
56,RN057,0,2,1,1
57,RN058,2,1,1,1
58,RN059,0,2,0,1
59,RN060,0,2,0,2
60,RN061,1,1,0,1
61,RN062,0,1,0,1
62,RN063,0,1,1,1
63,RN064,0,2,0,1
64,RN065,0,1,0,4
65,RN066,0,1,1,3
66,RN067,1,1,0,1
67,RN068,0,3,1,2
68,RN069,1,1,1,2
69,RN070,0,2,2,1
70,RN071,0,1,1,2
71,RN072,2,1,1,2
72,RN073,0,1,1,2
73,RN074,1,1,1,1
74,RN075,0,3,1,2
75,RN076,2,2,0,4
76,RN077,1,1,0,2
77,RN078,0,4,2,2
78,RN079,1,3,1,2
79,RN080,1,2,1,3
80,RN081,0,2,0,1
81,RN082,0,1,0,4
82,RN083,1,1,1,1
83,RN084,0,1,2,2
84,RN085,0,2,1,2
85,RN086,1,2,1,1
86,RN087,1,1,0,1
87,RN088,0,2,1,1
88,RN089,0,2,2,1
89,RN090,1,1,1,1
90,RN091,2,2,0,1
91,RN092,0,1,1,3
92,RN093,0,1,2,1
93,RN094,2,1,2,4
94,RN095,2,2,1,2
95,RN096,1,1,1,1
96,RN097,1,2,0,2
97,RN098,1,2,1,1
98,RN099,1,2,0,2
99,RN100,1,2,2,1
