,RN,CC AB,STD AB
0,RN001,-0.8293076234029296,0.00568406689100577
1,RN002,-0.8185295931622726,0.0033799634100375037
2,RN003,-0.27174400817717265,0.002671412825216446
3,RN004,-0.8272291860400705,0.0017874736454779779
4,RN005,-0.8014496090699975,0.004156256313273954
5,RN006,-0.7865903436501731,0.005443700278519813
6,RN007,-0.8431017660536653,0.0004863135633009477
7,RN008,-0.6530142604204136,0.004103556468685598
8,RN009,-0.7487973210635531,0.0025458839723571094
9,RN010,-0.8105873789045211,0.004026974388951013
10,RN011,-0.6608228930520447,0.0025746556955988497
11,RN012,-0.6838620213981642,0.010002121667071984
12,RN013,-0.37399198426413877,0.012133896299797588
13,RN014,-0.6570563313745305,0.010969750656535467
14,RN015,-0.5419209673447128,0.0049321835491449055
15,RN016,-0.8327857203281904,0.002225728442569079
16,RN017,-0.48329757869157836,0.005864119255438627
17,RN018,-0.8398203508824044,0.003127943023637684
18,RN019,-0.770719320115156,0.006652285444374831
19,RN020,-0.5734344576067932,0.003743592130310952
20,RN021,-0.8178364431298606,0.0018670416319920436
21,RN022,-0.8410883913920518,0.0029240364943807595
22,RN023,-0.7144598581320959,0.0012181824398976085
23,RN024,-0.5375060077408215,0.008394817896199749
24,RN025,-0.8243721535638809,0.002344648349753726
25,RN026,-0.8384971648106418,0.0009637889435897274
26,RN027,-0.7990630022166822,0.0018138103045993084
27,RN028,-0.7160997565220052,0.008011394139634176
28,RN029,-0.45602327172588203,0.010330077806976012
29,RN030,-0.3939750587865758,0.018626820466603234
30,RN031,-0.7648921696827596,0.0027949352825601195
31,RN032,-0.7764408261879705,0.002038327525236505
32,RN033,-0.6598781755361135,0.006029974496469213
33,RN034,-0.7517244712738349,0.00838622575681365
34,RN035,-0.5800019876301693,0.003716140410419148
35,RN036,-0.7122629024992614,0.0030643586745133975
36,RN037,-0.7135658297373816,0.004064897688951419
37,RN038,-0.766497289162625,0.006476464847602022
38,RN039,-0.4995583091258447,0.009113609661117386
39,RN040,-0.8118905757321597,0.004546189497013351
40,RN041,-0.4189765869415903,0.011716975404660485
41,RN042,-0.6034191533710649,0.003619454416125711
42,RN043,-0.514491855884266,0.00411448750945624
43,RN044,-0.4194145202039859,0.005510269894298403
44,RN045,-0.8205725436757575,0.004088170600308636
45,RN046,-0.6975788682727391,0.004293725592312931
46,RN047,-0.6257725973499795,0.013108384088924237
47,RN048,-0.650361216924214,0.001734076090548561
48,RN049,-0.761965234488867,0.0035886185033522397
49,RN050,-0.810752197787915,0.005032028690888776
50,RN051,-0.7369966420239765,0.008196365663326863
51,RN052,-0.8481293464663343,0.0005458531435204102
52,RN053,-0.7870184811613296,0.0024904403817798443
53,RN054,-0.7404557135869513,0.00357080093498889
54,RN055,-0.8236433137584397,0.008403997685035629
55,RN056,-0.7847636777918839,0.0012925471370330652
56,RN057,-0.6120388751752851,0.0062484889415589445
57,RN058,-0.7149581829934624,0.00529922560201055
58,RN059,-0.8075819864378797,0.00891340403347934
59,RN060,-0.6074217398061964,0.0006196924006289992
60,RN061,-0.839046340060822,0.0021974607888500404
61,RN062,-0.8305866358023488,0.0007560317787131699
62,RN063,-0.8292839772132932,0.004904898788396029
63,RN064,-0.7871099784628134,0.005114103082828391
64,RN065,-0.8331667707344795,0.0016977970013378459
65,RN066,-0.8386323344683643,0.0012589230763450207
66,RN067,-0.8015795260545285,0.0037993079695932933
67,RN068,-0.7041106324328869,0.0032209973712002044
68,RN069,-0.7731774879181402,0.0028066508395340854
69,RN070,-0.7945484182747317,0.002528803127404127
70,RN071,-0.860587060790566,0.0023393442385652285
71,RN072,-0.8254373471436459,0.0019937398754622123
72,RN073,-0.8452885726387351,0.001195297951612696
73,RN074,-0.5213520965444265,0.010681423591248091
74,RN075,-0.6604691971460505,0.006030346688193517
75,RN076,-0.7944135588076108,0.003346488924803864
76,RN077,-0.6842803078784238,0.0004451661138684758
77,RN078,-0.31874524316699904,0.00588723704885894
78,RN079,-0.780801823953524,0.005233276798975498
79,RN080,-0.48069845164833874,0.011395928423428427
80,RN081,-0.8478631734589653,0.0016308582785063547
81,RN082,-0.660918302671169,0.005724329916798178
82,RN083,-0.7715163706424241,0.001756802819757491
83,RN084,-0.8076814826968836,0.0022853211549200554
84,RN085,-0.6809912580772131,0.004186327617600217
85,RN086,-0.7308124773859971,0.0028081727949633662
86,RN087,-0.8203975800769059,0.004478225678312931
87,RN088,-0.6619839385489805,0.004308552385836154
88,RN089,-0.5408355666115731,0.0038216231891014724
89,RN090,-0.5287727693408656,0.008154522249537114
90,RN091,-0.8504767587431817,0.0010065641054661937
91,RN092,-0.5827786295980569,0.0028098803737461597
92,RN093,-0.8023334092994635,0.0035745360345795815
93,RN094,-0.7261118097164454,0.0026329554268589603
94,RN095,-0.5868505623530845,0.008483921549925465
95,RN096,-0.48305841594826937,0.007474882049579184
96,RN097,-0.7171316150577017,0.004254485654026323
97,RN098,-0.7908639415669095,0.0014460099349557771
98,RN099,-0.6204503685971308,0.003469266924164664
99,RN100,-0.5376449153294943,0.006207660648949151
