,RN,PInA,NInA,PInB,NInB
0,RN001,1,1,0,1
1,RN002,0,2,2,1
2,RN003,3,2,1,3
3,RN004,0,4,1,2
4,RN005,1,1,1,1
5,RN006,0,3,3,4
6,RN007,2,1,0,4
7,RN008,1,2,2,2
8,RN009,1,3,0,2
9,RN010,0,2,1,2
10,RN011,0,1,1,2
11,RN012,1,1,0,4
12,RN013,1,2,1,1
13,RN014,2,1,2,1
14,RN015,1,2,1,1
15,RN016,2,2,1,2
16,RN017,1,1,1,1
17,RN018,2,1,2,2
18,RN019,2,2,1,1
19,RN020,3,2,1,1
20,RN021,1,1,2,1
21,RN022,1,2,0,4
22,RN023,1,1,0,3
23,RN024,1,2,2,2
24,RN025,0,2,0,3
25,RN026,1,1,1,2
26,RN027,1,1,2,1
27,RN028,0,2,1,1
28,RN029,1,1,0,3
29,RN030,0,1,2,3
30,RN031,1,2,1,1
31,RN032,0,1,0,3
32,RN033,1,3,1,2
33,RN034,2,1,1,2
34,RN035,0,1,0,4
35,RN036,1,1,1,2
36,RN037,0,1,1,1
37,RN038,2,2,0,1
38,RN039,2,1,2,1
39,RN040,2,4,0,1
40,RN041,1,1,2,1
41,RN042,0,2,0,3
42,RN043,0,2,1,2
43,RN044,1,2,0,1
44,RN045,0,2,2,2
45,RN046,1,3,0,1
46,RN047,0,2,2,1
47,RN048,1,1,0,1
48,RN049,2,1,0,2
49,RN050,1,1,0,2
50,RN051,0,2,1,4
51,RN052,1,3,0,3
52,RN053,1,2,2,1
53,RN054,2,1,1,3
54,RN055,1,2,2,1
55,RN056,2,1,0,3
56,RN057,0,5,1,1
57,RN058,1,4,2,1
58,RN059,0,1,1,1
59,RN060,0,1,0,3
60,RN061,0,1,0,1
61,RN062,0,2,2,2
62,RN063,1,5,1,2
63,RN064,1,3,1,2
64,RN065,0,1,0,2
65,RN066,2,2,1,1
66,RN067,1,2,2,1
67,RN068,0,2,0,2
68,RN069,1,1,0,1
69,RN070,2,2,0,2
70,RN071,2,3,1,3
71,RN072,0,2,0,3
72,RN073,2,1,1,1
73,RN074,0,1,1,2
74,RN075,2,4,1,1
75,RN076,1,1,1,2
76,RN077,0,2,0,2
77,RN078,0,2,0,1
78,RN079,0,4,1,2
79,RN080,1,2,2,1
80,RN081,0,2,0,2
81,RN082,0,1,0,1
82,RN083,2,2,0,1
83,RN084,0,4,0,1
84,RN085,0,2,0,2
85,RN086,1,1,1,4
86,RN087,1,2,1,1
87,RN088,3,1,0,3
88,RN089,1,1,1,3
89,RN090,1,1,0,1
90,RN091,0,2,0,2
91,RN092,0,1,1,1
92,RN093,1,2,3,2
93,RN094,0,1,0,1
94,RN095,3,3,0,2
95,RN096,0,2,2,2
96,RN097,0,1,3,1
97,RN098,1,1,2,1
98,RN099,2,1,0,3
99,RN100,2,2,0,1
