,RN,PInA,NInA,PInB,NInB
0,RN001,0,2,1,1
1,RN002,1,1,0,1
2,RN003,0,2,1,1
3,RN004,0,1,1,1
4,RN005,1,1,2,3
5,RN006,1,1,0,3
6,RN007,0,3,1,2
7,RN008,1,2,0,1
8,RN009,0,1,0,1
9,RN010,1,3,0,1
10,RN011,2,1,0,2
11,RN012,1,1,2,1
12,RN013,1,3,0,1
13,RN014,0,1,0,3
14,RN015,0,1,0,2
15,RN016,0,1,0,2
16,RN017,0,1,1,2
17,RN018,0,1,0,1
18,RN019,2,2,1,2
19,RN020,0,2,0,1
20,RN021,1,3,0,2
21,RN022,0,1,0,2
22,RN023,1,1,2,1
23,RN024,0,2,1,1
24,RN025,1,3,0,2
25,RN026,0,1,0,3
26,RN027,1,2,1,2
27,RN028,0,1,1,2
28,RN029,1,3,0,1
29,RN030,1,3,0,1
30,RN031,0,1,1,2
31,RN032,0,2,1,2
32,RN033,0,1,0,2
33,RN034,2,3,0,1
34,RN035,2,1,1,1
35,RN036,0,1,2,1
36,RN037,1,3,0,1
37,RN038,0,2,0,2
38,RN039,1,1,1,1
39,RN040,1,1,2,2
40,RN041,0,1,1,2
41,RN042,1,2,0,1
42,RN043,1,2,0,3
43,RN044,0,2,1,2
44,RN045,0,1,0,1
45,RN046,0,1,0,3
46,RN047,2,2,0,2
47,RN048,0,3,0,3
48,RN049,0,2,0,2
49,RN050,1,1,2,1
50,RN051,0,1,0,2
51,RN052,0,2,0,1
52,RN053,0,2,1,1
53,RN054,2,2,0,2
54,RN055,0,1,0,1
55,RN056,0,2,0,2
56,RN057,0,3,0,2
57,RN058,1,1,1,1
58,RN059,0,1,1,1
59,RN060,0,2,1,1
60,RN061,2,1,0,1
61,RN062,1,1,1,2
62,RN063,1,1,0,2
63,RN064,0,2,0,2
64,RN065,1,2,0,1
65,RN066,1,1,1,1
66,RN067,1,1,1,2
67,RN068,2,2,1,1
68,RN069,0,1,1,2
69,RN070,0,1,0,1
70,RN071,0,1,1,2
71,RN072,1,2,0,2
72,RN073,0,2,1,2
73,RN074,2,2,1,1
74,RN075,0,2,0,1
75,RN076,0,2,1,2
76,RN077,0,2,1,1
77,RN078,2,1,0,1
78,RN079,0,2,0,3
79,RN080,0,2,0,2
80,RN081,1,3,0,2
81,RN082,1,1,0,2
82,RN083,1,1,0,2
83,RN084,0,2,1,1
84,RN085,1,1,1,1
85,RN086,0,1,0,2
86,RN087,0,3,1,1
87,RN088,0,1,1,1
88,RN089,0,1,0,2
89,RN090,2,3,0,1
90,RN091,1,2,0,3
91,RN092,1,1,1,1
92,RN093,1,2,2,1
93,RN094,1,2,1,2
94,RN095,1,1,2,1
95,RN096,1,2,1,2
96,RN097,1,1,1,1
97,RN098,0,1,0,2
98,RN099,2,2,1,2
99,RN100,1,1,1,2
