,InA,OutA,InB,OutB,PosL,NegL,TotL,MPosL,MNegL,MTotL
0,2,3,4,2,144,151,295,144,151,295
1,3,5,4,3,522,518,1040,522,518,1040
2,2,3,2,5,150,83,233,150,83,233
3,3,7,2,5,120,115,235,120,115,235
4,3,5,2,4,257,241,498,257,241,498
5,5,6,3,3,366,329,695,366,329,695
6,4,3,2,7,227,223,450,227,223,450
7,2,5,4,4,394,391,785,394,391,785
8,5,5,5,4,359,364,723,359,364,723
9,6,4,4,5,152,144,296,152,144,296
10,7,4,7,3,96,75,171,96,75,171
11,5,5,5,3,175,164,339,175,164,339
12,4,6,6,3,151,153,304,151,153,304
13,4,3,3,4,217,188,405,217,188,405
14,4,3,4,6,282,253,535,282,253,535
15,4,3,5,3,286,285,571,286,285,571
16,4,5,4,4,229,228,457,229,228,457
17,4,3,6,6,261,273,534,261,273,534
18,4,4,4,5,82,81,163,82,81,163
19,4,4,3,6,265,252,517,265,252,517
20,4,3,4,3,220,277,497,220,277,497
21,4,4,1,5,222,223,445,222,223,445
22,3,5,6,4,316,296,612,316,296,612
23,4,2,4,3,390,363,753,390,363,753
24,3,4,3,5,510,507,1017,510,507,1017
25,2,6,4,4,329,333,662,329,333,662
26,4,4,3,5,174,188,362,174,188,362
27,3,3,5,4,549,560,1109,549,560,1109
28,2,2,4,5,126,124,250,126,124,250
29,1,5,3,5,153,134,287,153,134,287
30,5,6,5,5,218,223,441,218,223,441
31,3,4,3,3,231,231,462,231,231,462
32,4,2,7,3,161,146,307,161,146,307
33,5,5,6,4,563,584,1147,563,584,1147
34,7,3,6,3,458,463,921,458,463,921
35,2,5,4,3,313,321,634,313,321,634
36,5,3,4,4,264,273,537,264,273,537
37,1,4,3,8,35,29,64,35,29,64
38,5,5,2,3,83,74,157,83,74,157
39,2,5,5,5,330,272,602,330,272,602
40,7,3,3,5,374,367,741,374,367,741
41,5,5,2,2,233,219,452,233,219,452
42,3,2,7,5,297,312,609,297,312,609
43,2,4,6,5,213,209,422,213,209,422
44,4,6,4,3,254,250,504,254,250,504
45,7,4,4,4,222,253,475,222,253,475
46,3,4,6,5,230,243,473,230,243,473
47,6,4,4,4,88,92,180,88,92,180
48,4,7,3,2,397,374,771,397,374,771
49,5,3,3,6,393,404,797,393,404,797
50,6,4,3,3,122,116,238,122,116,238
51,3,4,4,4,314,313,627,314,313,627
52,5,4,6,2,281,259,540,281,259,540
53,4,4,3,6,269,268,537,269,268,537
54,3,4,5,5,393,350,743,393,350,743
55,4,5,3,4,521,531,1052,521,531,1052
56,4,2,7,4,149,154,303,149,154,303
57,2,3,5,5,363,367,730,363,367,730
58,4,4,4,3,179,181,360,179,181,360
59,5,3,4,3,240,256,496,240,256,496
60,1,3,4,4,197,200,397,197,200,397
61,4,2,4,5,110,109,219,110,109,219
62,5,4,4,3,400,419,819,400,419,819
63,4,4,3,2,285,263,548,285,263,548
64,4,3,7,6,320,315,635,320,315,635
65,4,5,4,4,359,345,704,359,345,704
66,5,4,2,5,306,307,613,306,307,613
67,7,5,5,3,141,150,291,141,150,291
68,5,4,4,4,117,107,224,117,107,224
69,3,3,3,3,109,85,194,109,85,194
70,4,5,3,3,554,573,1127,554,573,1127
71,2,7,4,3,291,272,563,291,272,563
72,1,4,5,3,195,176,371,195,176,371
73,2,4,3,6,91,96,187,91,96,187
74,6,3,5,5,111,111,222,111,111,222
75,5,4,7,6,226,226,452,226,226,452
76,2,4,2,2,34,29,63,34,29,63
77,5,5,5,4,371,377,748,371,377,748
78,4,3,4,7,201,229,430,201,229,430
79,6,5,5,4,345,355,700,345,355,700
80,2,5,5,2,555,521,1076,555,521,1076
81,6,5,5,4,211,217,428,211,217,428
82,4,3,4,5,526,551,1077,526,551,1077
83,6,4,5,4,280,343,623,280,343,623
84,3,4,5,3,75,78,153,75,78,153
85,6,5,3,4,204,222,426,204,222,426
86,5,4,3,3,269,254,523,269,254,523
87,5,3,2,6,293,307,600,293,307,600
88,6,3,3,4,211,207,418,211,207,418
89,3,4,6,4,377,379,756,377,379,756
90,5,5,2,3,73,77,150,73,77,150
91,2,4,5,4,111,114,225,111,114,225
92,5,4,3,3,102,102,204,102,102,204
93,2,4,5,3,150,147,297,150,147,297
94,3,2,7,2,176,157,333,176,157,333
95,7,2,3,4,217,214,431,217,214,431
96,4,2,3,3,133,140,273,133,140,273
97,4,5,5,5,431,418,849,431,418,849
98,1,6,4,6,131,128,259,131,128,259
99,4,4,4,2,148,153,301,148,153,301
