,RN,PInA,NInA,PInB,NInB
0,RN001,2,5,1,4
1,RN002,3,4,0,4
2,RN003,4,3,4,2
3,RN004,4,1,4,2
4,RN005,3,4,3,3
5,RN006,1,4,2,4
6,RN007,1,6,0,4
7,RN008,2,3,0,5
8,RN009,5,3,6,2
9,RN010,1,4,1,5
10,RN011,1,4,0,4
11,RN012,3,3,1,7
12,RN013,1,5,1,3
13,RN014,2,4,1,3
14,RN015,3,3,1,2
15,RN016,1,2,5,3
16,RN017,0,3,2,2
17,RN018,5,2,3,4
18,RN019,2,4,3,3
19,RN020,1,6,4,1
20,RN021,1,6,3,2
21,RN022,0,6,2,2
22,RN023,2,4,2,3
23,RN024,1,2,2,5
24,RN025,0,4,3,3
25,RN026,2,6,2,4
26,RN027,0,4,4,5
27,RN028,3,4,3,3
28,RN029,2,3,2,2
29,RN030,2,4,4,2
30,RN031,1,1,0,4
31,RN032,0,4,0,3
32,RN033,2,2,4,2
33,RN034,0,3,4,4
34,RN035,2,4,3,2
35,RN036,0,3,4,3
36,RN037,0,4,2,4
37,RN038,2,1,0,2
38,RN039,1,3,2,2
39,RN040,3,2,3,1
40,RN041,5,3,1,4
41,RN042,1,2,3,4
42,RN043,3,3,0,2
43,RN044,0,4,2,4
44,RN045,2,3,2,5
45,RN046,2,5,3,3
46,RN047,3,1,2,4
47,RN048,5,2,3,2
48,RN049,4,3,4,2
49,RN050,0,5,2,3
50,RN051,3,2,0,2
51,RN052,2,3,1,4
52,RN053,1,3,1,6
53,RN054,3,3,1,4
54,RN055,3,2,3,4
55,RN056,2,5,2,5
56,RN057,3,1,0,5
57,RN058,2,5,3,3
58,RN059,1,2,4,2
59,RN060,2,3,2,5
60,RN061,3,1,5,4
61,RN062,2,6,3,4
62,RN063,3,3,3,5
63,RN064,1,4,1,2
64,RN065,0,5,2,4
65,RN066,2,4,0,6
66,RN067,0,5,1,3
67,RN068,3,2,3,3
68,RN069,2,2,0,5
69,RN070,2,3,3,5
70,RN071,3,3,2,4
71,RN072,4,2,5,1
72,RN073,2,2,2,4
73,RN074,3,3,1,4
74,RN075,3,3,3,2
75,RN076,4,3,1,6
76,RN077,3,2,1,3
77,RN078,3,4,1,1
78,RN079,3,3,3,3
79,RN080,0,5,3,5
80,RN081,2,5,2,3
81,RN082,3,5,3,3
82,RN083,1,4,5,2
83,RN084,4,3,5,3
84,RN085,2,5,1,2
85,RN086,2,3,2,2
86,RN087,3,4,0,4
87,RN088,3,2,1,3
88,RN089,1,4,1,4
89,RN090,3,2,2,1
90,RN091,0,4,5,4
91,RN092,2,1,4,2
92,RN093,1,6,3,3
93,RN094,3,4,2,2
94,RN095,1,5,1,4
95,RN096,3,3,1,2
96,RN097,2,4,2,2
97,RN098,3,6,3,2
98,RN099,3,4,5,2
99,RN100,3,2,1,6
