,RN,PInA,NInA,PInB,NInB
0,RN001,1,4,1,2
1,RN002,4,2,0,2
2,RN003,2,3,1,1
3,RN004,1,2,2,3
4,RN005,1,3,1,2
5,RN006,0,3,1,2
6,RN007,4,3,2,2
7,RN008,0,3,3,3
8,RN009,4,2,4,1
9,RN010,2,3,0,5
10,RN011,1,2,4,2
11,RN012,1,2,1,1
12,RN013,0,1,3,1
13,RN014,2,2,0,4
14,RN015,2,2,2,2
15,RN016,2,1,1,3
16,RN017,1,4,2,3
17,RN018,2,3,1,3
18,RN019,1,5,1,2
19,RN020,0,3,3,3
20,RN021,2,4,2,2
21,RN022,2,2,3,2
22,RN023,0,1,5,2
23,RN024,1,2,3,1
24,RN025,3,5,3,1
25,RN026,2,3,1,3
26,RN027,2,1,2,2
27,RN028,2,2,1,4
28,RN029,1,2,4,1
29,RN030,1,3,1,4
30,RN031,3,2,1,2
31,RN032,3,1,2,4
32,RN033,4,2,1,1
33,RN034,1,3,1,4
34,RN035,3,4,2,1
35,RN036,2,4,2,3
36,RN037,1,2,2,2
37,RN038,2,5,3,2
38,RN039,1,1,1,2
39,RN040,3,5,1,1
40,RN041,2,2,2,2
41,RN042,4,2,1,2
42,RN043,0,3,2,5
43,RN044,1,4,2,1
44,RN045,0,1,0,2
45,RN046,0,2,3,3
46,RN047,2,5,1,3
47,RN048,0,5,0,2
48,RN049,1,4,3,1
49,RN050,1,5,2,1
50,RN051,2,4,1,4
51,RN052,3,1,1,2
52,RN053,4,2,2,3
53,RN054,1,5,1,2
54,RN055,1,4,1,3
55,RN056,0,1,3,3
56,RN057,3,3,3,5
57,RN058,3,3,2,3
58,RN059,2,2,1,3
59,RN060,0,5,2,1
60,RN061,1,2,2,4
61,RN062,1,3,3,4
62,RN063,1,3,0,2
63,RN064,2,4,1,4
64,RN065,3,3,1,3
65,RN066,2,1,2,4
66,RN067,2,2,4,4
67,RN068,2,1,1,1
68,RN069,2,3,1,3
69,RN070,0,3,0,1
70,RN071,4,2,2,2
71,RN072,2,1,3,3
72,RN073,1,3,1,2
73,RN074,2,4,4,3
74,RN075,2,2,2,2
75,RN076,4,4,4,3
76,RN077,0,1,0,3
77,RN078,0,2,4,3
78,RN079,3,2,2,3
79,RN080,3,4,1,2
80,RN081,3,3,1,3
81,RN082,2,1,2,3
82,RN083,1,2,2,1
83,RN084,2,2,1,1
84,RN085,3,2,2,2
85,RN086,0,1,2,1
86,RN087,1,2,2,3
87,RN088,0,3,0,4
88,RN089,0,4,2,3
89,RN090,1,1,1,2
90,RN091,0,2,2,2
91,RN092,3,5,4,3
92,RN093,3,4,2,4
93,RN094,1,2,0,5
94,RN095,0,5,2,1
95,RN096,1,1,4,1
96,RN097,0,4,1,3
97,RN098,2,2,0,3
98,RN099,2,4,1,3
99,RN100,0,1,2,4
