,InA,OutA,InB,OutB,PosL,NegL,TotL,MPosL,MNegL,MTotL
0,5,4,3,5,4991,5055,10046,4991,5055,10046
1,6,6,2,6,3456,3543,6999,3456,3543,6999
2,5,4,2,6,7649,7527,15176,7649,7527,15176
3,3,3,5,7,3769,3781,7550,3769,3781,7550
4,4,2,3,5,3021,2925,5946,3021,2925,5946
5,3,4,3,4,4760,4803,9563,4760,4803,9563
6,7,6,4,4,2141,2130,4271,2141,2130,4271
7,3,4,6,7,3441,3551,6992,3441,3551,6992
8,6,3,5,6,1845,1862,3707,1845,1862,3707
9,5,5,5,3,4258,4291,8549,4258,4291,8549
10,3,3,6,3,2623,2599,5222,2623,2599,5222
11,3,4,2,3,3519,3523,7042,3519,3523,7042
12,1,4,4,3,4557,4485,9042,4557,4485,9042
13,4,4,4,4,5171,5228,10399,5171,5228,10399
14,4,4,4,4,9857,9879,19736,9857,9879,19736
15,3,5,4,6,9454,9464,18918,9454,9464,18918
16,5,6,5,4,4673,4517,9190,4673,4517,9190
17,5,4,4,3,8099,8107,16206,8099,8107,16206
18,6,4,3,4,7907,7896,15803,7907,7896,15803
19,3,4,6,3,4548,4533,9081,4548,4533,9081
20,6,4,4,3,892,922,1814,892,922,1814
21,4,5,5,5,5327,5288,10615,5327,5288,10615
22,1,6,7,4,4469,4409,8878,4469,4409,8878
23,3,3,4,6,3583,3675,7258,3583,3675,7258
24,8,3,4,3,2188,2224,4412,2188,2224,4412
25,5,2,4,4,7349,7396,14745,7349,7396,14745
26,3,4,4,3,6346,6313,12659,6346,6313,12659
27,4,6,5,6,1413,1420,2833,1413,1420,2833
28,3,3,5,5,6284,6332,12616,6284,6332,12616
29,4,3,5,3,4317,4454,8771,4317,4454,8771
30,5,3,3,4,7433,7394,14827,7433,7394,14827
31,4,3,6,5,4609,4571,9180,4609,4571,9180
32,6,4,2,4,4922,4877,9799,4922,4877,9799
33,4,6,5,6,4911,4918,9829,4911,4918,9829
34,7,5,3,2,3920,3833,7753,3920,3833,7753
35,6,4,5,6,5477,5450,10927,5477,5450,10927
36,3,7,4,3,2982,2986,5968,2982,2986,5968
37,7,4,5,4,8299,8377,16676,8299,8377,16676
38,2,2,3,4,4155,4111,8266,4155,4111,8266
39,8,5,2,5,2577,2539,5116,2577,2539,5116
40,4,4,4,5,5177,5227,10404,5177,5227,10404
41,6,5,3,4,4012,4114,8126,4012,4114,8126
42,3,3,7,6,293,284,577,293,284,577
43,5,3,3,5,5322,5208,10530,5322,5208,10530
44,1,4,2,3,524,535,1059,524,535,1059
45,2,4,6,3,2908,2984,5892,2908,2984,5892
46,7,3,4,3,3317,3318,6635,3317,3318,6635
47,5,5,2,8,6999,6934,13933,6999,6934,13933
48,5,4,4,4,2333,2414,4747,2333,2414,4747
49,6,5,3,5,9672,9690,19362,9672,9690,19362
50,6,5,5,5,1909,1890,3799,1909,1890,3799
51,4,4,3,3,3817,3845,7662,3817,3845,7662
52,6,4,5,7,7284,7266,14550,7284,7266,14550
53,6,6,3,3,2103,2060,4163,2103,2060,4163
54,5,4,4,4,4098,4113,8211,4098,4113,8211
55,1,6,6,6,797,767,1564,797,767,1564
56,6,4,8,5,3120,3138,6258,3120,3138,6258
57,6,5,5,3,7984,7886,15870,7984,7886,15870
58,4,5,4,3,5977,5958,11935,5977,5958,11935
59,5,7,3,3,5460,5497,10957,5460,5497,10957
60,3,2,6,4,5291,5325,10616,5291,5325,10616
61,4,2,7,5,3789,3785,7574,3789,3785,7574
62,4,5,2,5,8111,8223,16334,8111,8223,16334
63,6,5,5,8,2243,2276,4519,2243,2276,4519
64,6,6,4,4,6766,6765,13531,6766,6765,13531
65,3,3,6,4,6409,6158,12567,6409,6158,12567
66,4,7,8,7,4714,4636,9350,4714,4636,9350
67,3,4,2,3,5067,5068,10135,5067,5068,10135
68,5,4,4,5,8124,8118,16242,8124,8118,16242
69,3,5,1,2,575,571,1146,575,571,1146
70,6,5,4,3,5487,5411,10898,5487,5411,10898
71,3,3,6,2,1366,1316,2682,1366,1316,2682
72,4,5,3,5,4007,4070,8077,4007,4070,8077
73,6,5,7,4,1706,1700,3406,1706,1700,3406
74,4,3,4,3,4613,4627,9240,4613,4627,9240
75,8,4,7,5,3311,3336,6647,3311,3336,6647
76,1,4,3,4,1544,1511,3055,1544,1511,3055
77,2,4,7,5,2846,2738,5584,2846,2738,5584
78,5,5,5,4,3656,3665,7321,3656,3665,7321
79,7,3,3,3,8206,8143,16349,8206,8143,16349
80,6,2,4,5,611,622,1233,611,622,1233
81,3,3,5,6,3662,3665,7327,3662,3665,7327
82,3,4,3,4,11261,11416,22677,11261,11416,22677
83,4,4,2,5,1696,1723,3419,1696,1723,3419
84,5,5,4,5,6156,5985,12141,6156,5985,12141
85,1,4,3,4,3389,3428,6817,3389,3428,6817
86,3,5,5,5,16131,16135,32266,16131,16135,32266
87,3,5,4,3,2682,2779,5461,2682,2779,5461
88,4,3,5,4,2786,2834,5620,2786,2834,5620
89,2,5,3,4,6418,6408,12826,6418,6408,12826
90,2,5,4,6,5347,5291,10638,5347,5291,10638
