,InA,OutA,InB,OutB,PosL,NegL,TotL,MPosL,MNegL,MTotL
0,2,4,3,3,11,17,28,11,17,28
1,4,3,5,3,25,23,48,25,23,48
2,2,5,3,3,19,21,40,19,21,40
3,3,2,3,4,27,22,49,27,22,49
4,3,3,4,4,17,16,33,17,16,33
5,4,4,3,4,16,22,38,16,22,38
6,4,5,2,3,20,14,34,20,14,34
7,3,4,4,5,16,19,35,16,19,35
8,3,3,2,5,14,10,24,14,10,24
9,4,3,3,4,18,21,39,18,21,39
10,4,3,2,4,17,25,42,17,25,42
11,1,3,4,4,9,9,18,9,9,18
12,4,3,5,2,17,17,34,17,17,34
13,4,5,4,3,18,20,38,18,20,38
14,5,3,2,4,26,27,53,26,27,53
15,6,3,3,4,11,8,19,11,8,19
16,3,3,4,4,28,27,55,28,27,55
17,3,2,5,3,6,6,12,6,6,12
18,3,5,2,3,20,12,32,20,12,32
19,3,2,4,4,14,19,33,14,19,33
20,2,3,3,2,9,18,27,9,18,27
21,4,4,4,5,25,25,50,25,25,50
22,3,3,4,2,22,24,46,22,24,46
23,4,4,3,3,31,16,47,31,16,47
24,2,4,4,5,9,8,17,9,8,17
25,4,3,3,5,23,19,42,23,19,42
26,4,3,3,3,14,14,28,14,14,28
27,2,3,3,5,5,13,18,5,13,18
28,4,3,1,5,11,13,24,11,13,24
29,4,4,3,3,17,18,35,17,18,35
30,2,6,1,4,8,1,9,8,1,9
31,4,4,4,2,16,10,26,16,10,26
32,3,3,4,3,23,25,48,23,25,48
33,3,3,3,4,28,24,52,28,24,52
34,3,3,3,4,19,32,51,19,32,51
35,3,4,3,5,26,12,38,26,12,38
36,3,2,3,3,16,16,32,16,16,32
37,3,6,3,2,25,15,40,25,15,40
38,3,3,3,4,27,16,43,27,16,43
39,4,3,5,4,30,15,45,30,15,45
40,3,5,2,3,15,8,23,15,8,23
41,4,3,3,4,12,18,30,12,18,30
42,4,3,3,3,19,22,41,19,22,41
43,3,5,5,4,20,9,29,20,9,29
44,4,3,3,4,15,15,30,15,15,30
45,3,4,3,2,15,16,31,15,16,31
46,5,3,6,2,18,14,32,18,14,32
47,5,3,3,4,12,17,29,12,17,29
48,3,5,5,3,26,21,47,26,21,47
49,4,4,2,3,19,11,30,19,11,30
50,2,2,5,3,17,15,32,17,15,32
51,2,5,2,2,11,14,25,11,14,25
52,4,3,2,5,12,15,27,12,15,27
53,2,2,5,4,15,11,26,15,11,26
54,3,3,2,5,14,18,32,14,18,32
55,3,4,2,5,15,13,28,15,13,28
56,2,6,2,5,15,18,33,15,18,33
57,3,3,3,4,15,14,29,15,14,29
58,5,3,5,3,22,16,38,22,16,38
59,3,3,3,5,25,11,36,25,11,36
60,3,4,5,2,20,25,45,20,25,45
61,1,3,2,5,2,3,5,2,3,5
62,2,5,6,4,18,7,25,18,7,25
63,3,5,5,2,11,16,27,11,16,27
64,3,4,3,4,28,25,53,28,25,53
65,3,3,2,5,14,12,26,14,12,26
66,4,4,3,4,21,21,42,21,21,42
67,5,3,4,3,19,21,40,19,21,40
68,1,4,5,4,15,14,29,15,14,29
69,3,4,4,3,16,16,32,16,16,32
70,5,3,2,3,18,16,34,18,16,34
71,4,3,3,3,16,17,33,16,17,33
72,3,4,5,3,14,14,28,14,14,28
73,4,5,2,3,17,20,37,17,20,37
74,3,5,4,3,21,22,43,21,22,43
75,4,4,2,3,10,7,17,10,7,17
76,4,4,3,3,22,24,46,22,24,46
77,3,3,5,4,24,23,47,24,23,47
78,3,3,4,3,17,18,35,17,18,35
79,4,4,6,3,16,16,32,16,16,32
80,5,4,2,3,6,7,13,6,7,13
81,3,3,4,3,13,17,30,13,17,30
82,3,4,2,3,18,13,31,18,13,31
83,3,3,4,4,11,23,34,11,23,34
84,4,4,3,3,42,18,60,42,18,60
85,4,3,4,3,13,18,31,13,18,31
86,4,4,2,3,22,14,36,22,14,36
87,2,5,3,3,17,19,36,17,19,36
88,3,3,4,4,18,19,37,18,19,37
89,3,4,2,5,18,23,41,18,23,41
90,2,5,3,3,16,13,29,16,13,29
91,3,4,3,3,22,17,39,22,17,39
92,4,4,3,4,27,22,49,27,22,49
93,2,2,3,4,19,11,30,19,11,30
94,4,4,2,3,12,13,25,12,13,25
95,3,4,5,5,17,22,39,17,22,39
96,1,3,5,3,12,15,27,12,15,27
97,2,4,2,4,20,13,33,20,13,33
98,1,3,4,4,11,11,22,11,11,22
99,4,4,4,2,16,18,34,16,18,34
