RN,ConPr,ConPrA,ConPrB
RN001,0.867805327153243,0.7899689329669016,0.8005729521216247
RN002,0.8294741733137149,0.7683291197425879,0.7536416071952292
RN003,0.6020051253636237,0.6920533711181958,0.6871401151631478
RN004,0.8558579994289521,0.8254253071978559,0.8224327134111123
RN005,0.824943719045475,0.7607292189329319,0.7632711146412496
RN006,0.8010123320449107,0.7301857365660003,0.7506796370901706
RN007,0.8962596664737755,0.8375635701954929,0.8224086921036523
RN008,0.7787881832797428,0.7409792571152919,0.7444433867973919
RN009,0.8387764099433649,0.8016691505216096,0.7723104297837394
RN010,0.8301033378454225,0.7614810562571757,0.7408470030561966
RN011,0.7567588504144396,0.7401023712524809,0.7525978223039825
RN012,0.7703786559556646,0.7069142952875571,0.7172934413740564
RN013,0.632373745121099,0.6540051029575592,0.6625424976341523
RN014,0.7704972441178214,0.7390224870539831,0.7535613807886393
RN015,0.6957233876299813,0.6202240199128811,0.6835446319773923
RN016,0.8663261230581657,0.7503262287951283,0.7788518790935519
RN017,0.6756534042321626,0.6399368456041217,0.6102482609738547
RN018,0.8950319810742137,0.8408384654500254,0.8483853606027987
RN019,0.80933208529408,0.7551173410273303,0.7348991637973439
RN020,0.709075845682486,0.7041054465371593,0.7267318317042074
RN021,0.8786281944176682,0.8455053869561642,0.8448354189897989
RN022,0.9054619353646789,0.8407957680528487,0.8491100129539894
RN023,0.8212599371576724,0.7886166716462504,0.7518501630949458
RN024,0.6966380372977057,0.6821164969132797,0.6822835565244472
RN025,0.8601382620122264,0.7337198067632851,0.7771617344699332
RN026,0.9000346860908776,0.8788997192517586,0.8622681447996269
RN027,0.8803849253083741,0.8757157691737131,0.866956742679286
RN028,0.8045230760371981,0.7713282034125125,0.7748126184004612
RN029,0.6763889776868487,0.6508736473176597,0.6679723614422656
RN030,0.6505310916029633,0.6711126389366334,0.6423515924836765
RN031,0.864405616481601,0.8797461488392276,0.8732201063647281
RN032,0.8554476604679064,0.8249343931844978,0.8387514888250543
RN033,0.7646369137670197,0.7360341880341881,0.7100202809284158
RN034,0.8282016520147032,0.7904898675602362,0.7894202239982893
RN035,0.7521651601745639,0.7744025075094685,0.750800657837791
RN036,0.8021054696439663,0.79017673001872,0.7851317542320564
RN037,0.7980495932568852,0.7836564479674021,0.7810143713346652
RN038,0.787643808557777,0.6969938813514233,0.7423368397240131
