,RN,BC A,STD A,BC B,STD B
0,RN001,0.5199602997062779,0.01069191597924742,0.5406012190166952,0.0069347637777501326
1,RN002,0.5427497034268794,0.0016904598708020243,0.6624166284492853,0.005933112604404261
2,RN003,0.43658630122316816,0.002828369906450045,0.3417462433344805,0.002664380051247738
3,RN004,0.46845549459219854,0.008875059626644874,0.4802159538513035,0.00863275533101068
4,RN005,0.408316789550837,0.0025977908644151584,0.47356836490852566,0.005203982649888896
5,RN006,0.34170825590944803,0.005905369258780192,0.5384228951389688,0.005436411615462346
6,RN007,0.5252356777517329,0.005098353479500372,0.8392632310076106,0.0010909280679151205
7,RN008,0.4778516463206309,0.0032349002549129785,0.5743091951844347,0.008776682204246617
8,RN009,0.6303302468188355,0.00509547691552481,0.40900983920899164,0.006784307018748846
9,RN010,0.8304392536561341,0.004565631001191249,0.45736501952169206,0.005547113020759063
10,RN011,0.3706668430681854,0.0012400048691087063,0.31117508969554425,0.004695505073244893
11,RN012,0.4822036660577445,0.002585447458225947,0.5119087469228754,0.007232403799616718
12,RN013,0.4789605171236722,0.004105447376996329,0.36711892865857804,0.003473857542283126
13,RN014,0.5438527197551194,0.002765327898542406,0.43732158294950435,0.007503386493042166
14,RN015,0.4134641837095912,0.009918880813804785,0.5051180572287687,0.010291024573084704
15,RN016,0.5201925508714783,0.01067690683685068,0.4369749403654814,0.007665231562520113
16,RN017,0.42169095851138266,0.004755063345943508,0.5097618385917224,0.0046871297326438206
17,RN018,0.8062638261076955,0.00531180934505162,0.48763770906360376,0.0028352049259973947
18,RN019,0.8583267456981623,0.00427625860549254,0.4327253899809789,0.0034083467156687673
19,RN020,0.8199118627276425,0.0017713443548250496,0.7672587885983004,0.002268202363699549
20,RN021,0.5048398344687303,0.0019012534814846352,0.4767178823660813,0.0038618271033683004
21,RN022,0.553277825229534,0.002776383072580854,0.46937756471736863,0.006702309527836787
22,RN023,0.8528654601095592,0.004545032901416385,0.41959336479052745,0.004009197439126176
23,RN024,0.7671709060653228,0.004809503599493804,0.3252571485714779,0.005056560391952746
24,RN025,0.2964162566607899,0.005953282609820661,0.6111665348220366,0.006798897556727337
25,RN026,0.473867696075889,0.008900237347823617,0.4870824419087052,0.0026996769293300095
26,RN027,0.45461897871388307,0.0031827588009411606,0.6546226263932652,0.005637702791333639
27,RN028,0.7849569932348525,0.0007257369175102133,0.38939594753921764,0.00524032794698878
28,RN029,0.5915567380574452,0.003416564088420127,0.366667659053268,0.0065838321087276705
29,RN030,0.5881394304660714,0.006070150878297095,0.6396517058033752,0.00691740648830623
30,RN031,0.48348864694269356,0.00501640737030905,0.4363885292900407,0.006091643240069055
31,RN032,0.4300638065440386,0.009577515062726197,0.4813937140104622,0.001996986338487695
32,RN033,0.6171490325406425,0.00701048647510902,0.4797328026167617,0.0028330220359759463
33,RN034,0.5072036544964665,0.004043808869416338,0.5066782207693864,0.0003693895026559905
34,RN035,0.42517616322146173,0.004637208315245263,0.5515551925686261,0.0017281452338058024
35,RN036,0.5214633249996362,0.006099425749819762,0.34448831435677224,0.002895570593132306
36,RN037,0.4557502216652649,0.000526178188959978,0.4599404516585766,0.009980654157241926
37,RN038,0.5122050668131708,0.006814196482579334,0.6957025858259325,0.0038576974150287156
38,RN039,0.4822557518726969,0.0032108948474136724,0.3748086743710803,0.0008973029121088321
39,RN040,0.5998775321358214,0.005929401163296372,0.5074138001506426,0.01259687711446127
40,RN041,0.556119534443838,0.007053086849525738,0.6813264890731352,0.009560021088592992
41,RN042,0.7611452832615287,0.007080116649162546,0.8219943394260051,0.007161200187700976
42,RN043,0.42092013865624195,0.004325447686865569,0.4594246461718657,0.01001026392333446
43,RN044,0.731063364428532,0.005056396877583391,0.4735502743164603,0.0023953718661673005
44,RN045,0.5633660336293992,0.005460389763345098,0.3651803082198943,0.0058595939038013165
45,RN046,0.4190935679929524,0.008007374491245767,0.45577863708824595,0.002901505462431568
46,RN047,0.5934912564401356,0.0059108947759603,0.456229165209725,0.003779122050718944
47,RN048,0.5058870743423244,0.008958198263669757,0.49634758834229054,0.009100658466665211
48,RN049,0.45855466481039237,0.004153170581051601,0.5007188289542975,0.0030432620972498316
49,RN050,0.49521712896760905,0.006183439030566392,0.6339040807355053,0.0018391125875526868
50,RN051,0.5541000084124323,0.006186536507514182,0.5540425061407076,0.003246066797269641
51,RN052,0.46052576609849316,0.0029830383539494916,0.5809504914443628,0.017235228541552867
52,RN053,0.41006926605255595,0.003922718648184776,0.5164857682054006,0.0031639301229028803
53,RN054,0.5526526182796965,0.005458412358098391,0.6181436841098701,0.0038093772822650534
54,RN055,0.34511374905852493,0.0016829932227115658,0.33838934792631625,0.009591486464878141
55,RN056,0.5239658853528072,0.004356892938698595,0.538152610965732,0.002308008513223004
56,RN057,0.3741980815366275,0.0040408707888110185,0.3917001876904688,0.0051382145677841
57,RN058,0.448927488559785,0.009142403524753895,0.4988382421707274,0.0004663454071812409
58,RN059,0.5277132394226033,0.003070618213281003,0.32174397600671406,0.004756023237004866
59,RN060,0.5735698292923249,0.0031233970816569043,0.4025652765541774,0.008080114982117893
60,RN061,0.6375504582981161,0.0026631487907248126,0.6352061132647826,0.007671903409815095
61,RN062,0.40014450103697513,0.005856273589867623,0.462817058498608,0.005745069122409471
62,RN063,0.5675711553603517,0.0004995628357680218,0.4815446892510187,0.005557249592078934
63,RN064,0.5082132485490539,0.004637952630971041,0.5596685969035762,0.004648614260276794
64,RN065,0.4733990478311328,0.0014685251008982438,0.6581817497355065,0.0105564926080895
65,RN066,0.723478423604357,0.0012897637216644586,0.47025043193894905,0.0014534619695821915
66,RN067,0.7641327173258609,0.006994205165410958,0.5856267774979713,0.005437959238151051
67,RN068,0.4063990409702331,0.0010192214192446915,0.4411780225995657,0.002375370962394364
68,RN069,0.47019506960335145,0.004995640173375352,0.46321204559145973,0.003719656608703058
