,InA,OutA,InB,OutB,PosL,NegL,TotL,MPosL,MNegL,MTotL
0,6,2,5,5,127903,128519,256422,127903,128519,256422
1,7,6,4,2,13654,13892,27546,13654,13892,27546
2,5,3,5,2,85987,86065,172052,85987,86065,172052
3,6,3,6,5,36107,36000,72107,36107,36000,72107
4,6,4,5,2,84949,84962,169911,84949,84962,169911
5,5,4,4,5,67697,69078,136775,67697,69078,136775
6,2,6,3,5,20977,20970,41947,20977,20970,41947
7,3,2,6,3,49877,49427,99304,49877,49427,99304
8,6,3,3,5,18233,18262,36495,18233,18262,36495
9,4,5,2,5,35097,34967,70064,35097,34967,70064
10,7,3,6,6,39252,39344,78596,39252,39344,78596
11,3,6,6,5,106407,105976,212383,106407,105976,212383
12,4,4,3,4,91597,91903,183500,91597,91903,183500
13,4,5,2,3,12725,12701,25426,12725,12701,25426
14,9,2,1,6,106092,105967,212059,106092,105967,212059
15,5,4,4,6,85598,85611,171209,85598,85611,171209
16,6,5,3,4,124109,123793,247902,124109,123793,247902
17,5,6,2,3,81426,81677,163103,81426,81677,163103
18,5,6,5,5,56505,56654,113159,56505,56654,113159
19,5,4,3,5,107996,107881,215877,107996,107881,215877
20,5,4,3,5,20208,20195,40403,20208,20195,40403
21,5,6,2,5,194625,194841,389466,194625,194841,389466
22,6,5,6,3,102221,101950,204171,102221,101950,204171
23,3,7,1,4,26426,26544,52970,26426,26544,52970
24,9,5,2,5,11742,11440,23182,11742,11440,23182
25,5,3,2,4,22551,22468,45019,22551,22468,45019
26,5,5,3,6,147254,146546,293800,147254,146546,293800
27,5,3,6,4,170646,170641,341287,170646,170641,341287
28,7,7,5,5,52585,52892,105477,52585,52892,105477
29,3,6,10,5,87234,87309,174543,87234,87309,174543
30,4,4,7,4,33274,33246,66520,33274,33246,66520
31,6,4,7,4,19618,19655,39273,19618,19655,39273
32,3,5,5,6,84720,84560,169280,84720,84560,169280
33,5,4,5,5,204033,203839,407872,204033,203839,407872
34,5,5,6,3,153344,153502,306846,153344,153502,306846
35,7,3,2,8,108607,108276,216883,108607,108276,216883
36,3,7,2,4,28565,28565,57130,28565,28565,57130
37,3,3,2,2,28935,29223,58158,28935,29223,58158
38,4,6,4,4,47144,47020,94164,47144,47020,94164
39,4,4,5,6,114171,114966,229137,114171,114966,229137
40,4,6,3,7,49082,49238,98320,49082,49238,98320
41,3,3,5,6,27665,27329,54994,27665,27329,54994
42,3,5,3,5,109367,109776,219143,109367,109776,219143
43,4,2,3,2,17650,17721,35371,17650,17721,35371
44,5,6,3,4,34195,34349,68544,34195,34349,68544
45,5,4,3,4,125908,126177,252085,125908,126177,252085
46,2,5,6,3,78120,78612,156732,78120,78612,156732
47,8,4,7,6,63950,63984,127934,63950,63984,127934
48,5,5,6,6,25039,25097,50136,25039,25097,50136
49,6,4,5,5,206272,205363,411635,206272,205363,411635
50,2,3,4,4,28127,28374,56501,28127,28374,56501
51,5,4,4,7,94515,94559,189074,94515,94559,189074
52,6,3,5,3,57106,57482,114588,57106,57482,114588
53,6,3,3,4,32126,31977,64103,32126,31977,64103
54,5,5,5,3,80482,80368,160850,80482,80368,160850
55,5,5,6,5,49496,49342,98838,49496,49342,98838
56,4,4,4,4,22493,22747,45240,22493,22747,45240
57,5,3,4,5,72627,72406,145033,72627,72406,145033
58,2,3,3,5,37402,36840,74242,37402,36840,74242
59,5,3,4,4,103344,103515,206859,103344,103515,206859
60,5,4,2,4,85022,85292,170314,85022,85292,170314
61,4,4,3,8,22045,22051,44096,22045,22051,44096
62,7,3,5,5,75762,75876,151638,75762,75876,151638
63,4,5,6,4,7126,7150,14276,7126,7150,14276
64,5,3,7,3,199150,199370,398520,199150,199370,398520
65,5,3,2,4,20719,20627,41346,20719,20627,41346
66,2,7,4,6,58860,58986,117846,58860,58986,117846
