,RN,Mono,Std
0,RN001,0.6291666666666667,0.002967041174863155
1,RN002,0.4554,0.0026664583251946768
2,RN003,0.7428666666666667,0.004880915214724933
3,RN004,0.5980666666666667,0.0023437861108329258
4,RN005,0.6736,0.0032078029864690883
5,RN006,0.5362666666666667,0.004827352621606726
6,RN007,0.5494,0.0008888194417315589
7,RN008,0.6443333333333333,0.0022052966542697454
8,RN009,0.6072333333333333,0.009108969938106797
9,RN010,0.6792333333333334,0.0038552993831002715
10,RN011,0.6455,0.007374957626996917
11,RN012,0.6540666666666667,0.003102149792213995
12,RN013,0.4133,0.0033151168908501553
13,RN014,0.5478,0.0030610455730027933
14,RN015,0.4396,0.0007810249675906654
15,RN016,0.6893,0.0028930952282978863
16,RN017,0.6057,0.00826559132790873
17,RN018,0.6965,0.00574543296888929
18,RN019,0.6016666666666667,0.010361627928724972
19,RN020,0.6490333333333334,0.002874601421646718
20,RN021,0.6536333333333333,0.003608785575970583
21,RN022,0.6649666666666667,0.004026578365477733
22,RN023,0.512,0.001752141546793523
23,RN024,0.6251666666666666,0.0022030282189144405
24,RN025,0.7168,0.0027184554438136376
25,RN026,0.6138666666666667,0.00803761987987323
26,RN027,0.6039,0.00750199973340442
27,RN028,0.6160333333333333,0.0015044378795195678
28,RN029,0.5301666666666667,0.0047247574893673995
29,RN030,0.6881333333333333,0.003493326972004386
30,RN031,0.7093333333333333,0.0020108041509140895
31,RN032,0.756,0.005
32,RN033,0.6708333333333333,0.0085594002905188
33,RN034,0.5130333333333333,0.006104370019365908
34,RN035,0.6607,0.0025514701644346145
35,RN036,0.6742666666666667,0.009089737803332576
36,RN037,0.7411333333333333,0.00947065643624207
37,RN038,0.5849333333333333,0.006274020507882751
38,RN039,0.5537333333333333,0.004903400180826905
39,RN040,0.5516666666666667,0.0019008769905844338
40,RN041,0.7774333333333333,0.0034530180036213727
41,RN042,0.5896333333333333,0.005783885660465058
42,RN043,0.6308666666666667,0.003982880029995045
43,RN044,0.7192333333333333,0.00266520793435209
44,RN045,0.7230333333333333,0.0064298781740662345
45,RN046,0.6744333333333333,0.002136195996001615
46,RN047,0.4878,0.000754983443527075
47,RN048,0.7141333333333333,0.0023094010767585028
48,RN049,0.5758333333333333,0.0013203534880225573
49,RN050,0.5109,0.0029
50,RN051,0.6934333333333333,0.0027061657993059725
51,RN052,0.6012666666666667,0.0007094598884597587
52,RN053,0.6218666666666667,0.0016921386861996077
53,RN054,0.5865,0.0025238858928247924
54,RN055,0.7066,0.0046486557196677835
55,RN056,0.6388333333333333,0.004645786621588785
56,RN057,0.5722666666666667,0.007000952316173375
57,RN058,0.7283666666666667,0.002371356854910988
58,RN059,0.6866,0.004886716689148246
59,RN060,0.5539666666666667,0.0029771350881902105
60,RN061,0.5646666666666667,0.00953117691228808
61,RN062,0.5319666666666667,0.0011372481406154654
62,RN063,0.6657333333333333,0.005012318159627671
63,RN064,0.5431,0.0007937253933193772
64,RN065,0.6724666666666667,0.006969457176375599
65,RN066,0.5233666666666666,0.005960145412096364
66,RN067,0.6506333333333333,0.003028751117760146
67,RN068,0.6348,0.004788527957525152
68,RN069,0.4802666666666667,0.005450076452063157
69,RN070,0.5556333333333333,0.002983845393671283
70,RN071,0.7098,0.0022538855339169286
71,RN072,0.6729,0.0030610455730027933
72,RN073,0.6640666666666667,0.004974267115197307
73,RN074,0.4696333333333333,0.004631774318048465
74,RN075,0.4157333333333333,0.006831056531264643
75,RN076,0.6320333333333333,0.0036692415201691657
76,RN077,0.6583666666666667,0.0038682468035704924
77,RN078,0.5292333333333333,0.004384442191811101
78,RN079,0.3942,0.00286879765755621
79,RN080,0.6642666666666667,0.0028431203515386634
80,RN081,0.5921666666666667,0.00785451038151541
81,RN082,0.5907333333333333,0.0027024680078279063
82,RN083,0.5232666666666667,0.0073548170156254285
83,RN084,0.6783,0.004912229636326055
84,RN085,0.5359,0.0037749172176353746
85,RN086,0.5879,0.004422668877499196
86,RN087,0.7660666666666667,0.004086971168644737
87,RN088,0.4744333333333333,0.0047899199714956965
88,RN089,0.5977333333333333,0.004301550108197431
89,RN090,0.6299,0.0014730919862656234
90,RN091,0.6740666666666667,0.0027970222261064232
91,RN092,0.566,0.001307669683062202
92,RN093,0.6159666666666667,0.0013503086067019395
93,RN094,0.6748333333333333,0.0065431898439013165
94,RN095,0.8201666666666666,0.0057352709904008314
95,RN096,0.6082,0.0035369478367654784
96,RN097,0.6507,0.004812483766206386
97,RN098,0.8128,0.0021071307505705476
98,RN099,0.6790333333333333,0.0024501700621249404
99,RN100,0.5483,0.006811020481543129
