,RN,CC(AB),Std(AB),CC(BC),Std(BC),CC(CA),Std(CA)
0,RN001,0.22385047866071475,0.00847487628012688,-0.5207282791951499,0.005025874395137884,0.4324227751473322,0.005878570101847769
1,RN002,0.49465742070214896,0.0038739452799672718,-0.22862671647558888,0.007353527069473294,0.4936900025406103,0.009187163829365776
2,RN003,0.19067853491412254,0.0019601039083784284,-0.368773677049762,0.0016694663178867149,0.5161462403372762,0.0005662013117129935
3,RN004,0.4341615386363091,0.008147242813166318,-0.3831210383186656,0.009023020219434281,0.30745969371186166,0.0044983267501506495
4,RN005,0.3463496918626175,0.004220874040559241,-0.5656924975039789,0.007531731547481396,0.3362474875870705,0.005100001918026051
5,RN006,0.3380115500511242,0.01106975510086511,-0.2560567335111004,0.010365390069955061,0.5363479341771874,0.00803809046421803
6,RN007,0.3811232618982517,0.007956787624288354,-0.5016509968484599,0.005091025516029092,0.34842485402918383,0.004530660097945462
7,RN008,0.44302775246495774,0.005686483924672231,-0.4619563837235406,0.005060240334774199,0.19244488998980455,0.011521649890530122
8,RN009,0.06517418335584567,0.0032194146126279777,-0.5257404351670855,0.0070319213327847034,0.6046206989136894,0.002523127068580461
9,RN010,0.4191223958872267,0.011108021588296626,-0.3556006052731153,0.010462572929770023,0.38987710796227387,0.009688006792454679
10,RN011,0.32383009833709187,0.0037152645551564493,-0.30977418580129784,0.005702957352905373,0.5264743622162573,0.01007454529329258
11,RN012,0.44657918961982274,0.0035182085762732033,-0.26547041161634083,0.013298921113401755,0.4760854616857097,0.012706565466024921
12,RN013,0.469419492825083,0.0028548983267245986,-0.4405853542341574,0.003682936224075496,0.19150167694052164,0.011404956679996744
13,RN014,0.5361503188795225,0.003622506033405651,-0.16402492200526309,0.0018233730041571743,0.4991210754787619,0.006411382655271913
14,RN015,0.2927596373330194,0.007872036332016247,-0.6284115986807152,0.004714209136381099,0.28539156519260767,0.005096372826489769
15,RN016,0.39582758072834684,0.006058218128086095,-0.4198731462751588,0.01659094938453994,0.4060865749065577,0.007618236329466529
16,RN017,0.4051266209965119,0.009288023489135676,-0.21834484393968742,0.008324105596620656,0.5135769192991674,0.013173596234293239
17,RN018,0.19825698936336314,0.012451466535350704,-0.3779226123688822,0.0056646866321746776,0.5630854557028327,0.011904386865209804
18,RN019,0.6572452262988334,0.0033319889243278037,-0.09735749547865173,0.02242672868286992,0.3105911588795929,0.025515624303225085
19,RN020,0.30041504123373725,0.007470903017239627,-0.4304483095273466,0.005511751461305993,0.47401653646615816,0.0026638356180554226
20,RN021,0.6257027210994365,0.008114662623419998,-0.07766260125405564,0.007457732614263834,0.49166883306679937,0.008665274099898168
21,RN022,0.36902739896838677,0.0010944362982636764,-0.4876307563362338,0.0014159007412602972,0.3956266288617806,0.0012538501459786015
22,RN023,0.42888131477794095,0.0066633755248108936,-0.4205603022024678,0.0044645521390642585,0.39008545567852465,0.0029324926464895534
23,RN024,0.14644606032291896,0.00757479765775094,-0.6706836846017975,0.004784067352726461,0.317393647929366,0.005180957506480972
24,RN025,0.3372608901772251,0.0039481039268173725,-0.3386512719550871,0.008783747219162863,0.5198754419258872,0.008677122076248225
25,RN026,0.3995407128000741,0.006482435601184224,-0.40138739036813686,0.006316153251652768,0.44753034134096975,0.006297181695554606
26,RN027,0.3566237924227049,0.013373566278216495,-0.34104823730070283,0.004595635978267543,0.511441512283585,0.015112418657769187
27,RN028,0.4533372057076382,0.005852306929715638,-0.4138878809561249,0.008854143118244817,0.28411701793224475,0.015211081957434298
28,RN029,0.33534238182255466,0.007250001928767715,-0.5325764239883634,0.014449895498697,0.3251260768697657,0.009960777082322483
29,RN030,0.08423713851680353,0.012320576016707073,-0.5156836219691935,0.001809589558094432,0.4536310220453544,0.007487085397531647
30,RN031,0.32633068535893983,0.00529118376942386,-0.4746265551069162,0.004359922873737928,0.430317327750664,0.008226709916836163
31,RN032,0.38118384768022756,0.004142207386664538,-0.4308484377594774,0.016754484569968402,0.41171264478221864,0.004300688701365306
32,RN033,0.510726116560622,0.007082153582846997,-0.31002084927757756,0.009370880535510457,0.41519813412911805,0.004855793693975861
33,RN034,0.3949964091061336,0.02180861880262704,-0.3598810976733862,0.005605240341988976,0.47941910104846125,0.015599776917362257
34,RN035,0.3706732579449183,0.006539201640407164,-0.2702879942986334,0.017869636033403042,0.5228510270657277,0.01082087924800799
35,RN036,0.025166133331880964,0.016301921930498793,-0.4827095793246387,0.006657529796341318,0.6401899454450727,0.006247567492009687
36,RN037,0.40366926223366223,0.007960275689581284,-0.1639997646232533,0.0006710824025307217,0.5940912981766139,0.006891369482441598
37,RN038,0.47038062384735047,0.009782570023788371,-0.22170284502239804,0.00873495296686549,0.5006374309559718,0.007713039865388915
38,RN039,0.49084153436236383,0.007134641562557497,-0.026360518142409802,0.009006446877373434,0.7007042236784828,0.0016229285031187938
39,RN040,0.3980772734553499,0.012926226944140045,-0.5673211933638718,0.006200084782026564,0.18568609151918455,0.01705709772390683
40,RN041,0.27496684712308467,0.006924297945593409,-0.34262489933600165,0.0025009253808401604,0.575224786158176,0.010455170484190694
41,RN042,0.34059493474832037,0.0038778409792962886,-0.4209475108199568,0.012841523076369704,0.4218122932276743,0.01846778962658828
42,RN043,0.6741313121621128,0.007322158897085789,-0.11644807650461947,0.011975768452590217,0.25668950391716705,0.00715819879176065
43,RN044,0.4798278144287993,0.011607345085927093,-0.4038700901071109,0.008109618564707525,0.24343758744614621,0.024186565623636823
44,RN045,0.3105433202273577,0.00804859990279464,-0.26382703683458647,0.010149490783357657,0.5922557302794883,0.003844898968334314
45,RN046,0.5208292611971003,0.010377357584219326,-0.05189994615178817,0.0074621256163950305,0.55482155865557,0.008349138261766888
46,RN047,0.3582008911628454,0.008665076131410609,-0.2921757764550623,0.017200144491269116,0.5093434669829386,0.008268439397270415
47,RN048,0.5474152725375785,0.002154486176945673,-0.1885054127790522,0.004520806965828705,0.4744946841753803,0.001343832049555054
48,RN049,0.4131360905088846,0.006484944991690677,-0.24031032170664277,0.01678353859731264,0.3263771147145785,0.0053088727531605965
49,RN050,0.26413281284327944,0.009115831848301543,-0.2727901760909381,0.009475813628971352,0.2904760716044527,0.005453259129933013
50,RN051,0.5316267490869756,0.003749027176356512,-0.10247150964830233,0.00887597596086966,0.4814285384242498,0.010666223212283943
51,RN052,0.3856149892013927,0.0053455947974612415,-0.30613574762785023,0.0032188727196949493,0.4434150381741322,0.014152433689128373
52,RN053,0.5539629779383739,0.00417506568809809,-0.3935780911978743,0.010839884691747756,0.23295485695891907,0.007322686140012191
53,RN054,0.5501461379920554,0.0019811180866678548,-0.21659745966225238,0.011500145636245377,0.4068476115133701,0.010804137038384322
54,RN055,0.32246350078855407,0.007471413158753919,-0.2635948204659339,0.01236773557743314,0.5705746747306976,0.009070240658574705
55,RN056,0.5397149846855555,0.0056576809640176695,-0.3470444122867333,0.01001058833404343,0.35123163467701984,0.009369409923802762
56,RN057,0.2593711091207856,0.004083535874804117,-0.5432388306456594,0.0027835197658972444,0.4178965948935331,0.0052161250180756905
57,RN058,0.4880785443549121,0.00925374584520663,-0.40656754470474615,0.008535747727812163,0.19243656387024854,0.006693895563918372
58,RN059,0.6077341301011697,0.005894581530905799,-0.061846520441097536,0.009385011015367045,0.4715664751228162,0.0055557718316006765
59,RN060,0.5607157717666597,0.0004658785643410907,-0.5807011355949107,0.0065269485964960985,0.043976749087710494,0.014271481321010259
60,RN061,0.0893143124249407,0.00622120811997189,-0.4814541679984045,0.0026095153206949365,0.6161792542431314,0.003030165397255067
61,RN062,0.1968430932935461,0.01532259776237099,-0.33514420199458916,0.007466091440290053,0.45279423753639475,0.010034525958248063
62,RN063,0.37581473669858356,0.012341938386979312,-0.35585494877137297,0.0037344500262509153,0.42793653759070144,0.009873430986047309
63,RN064,0.5104891049507049,0.011033088741483335,-0.4866041348098998,0.001423821247044085,0.19172761872601662,0.00564947364948985
64,RN065,0.14489479353172363,0.008041241611823461,-0.43905074211372025,0.008210820187288153,0.567447493544693,0.012721884421932157
65,RN066,0.5205714611852147,0.006363004561524417,-0.21411199864551675,0.010573051974187012,0.3261493995839175,0.008703657883745964
66,RN067,0.38591820962482104,0.014731756658983181,-0.4080501673663381,0.012068924979542369,0.4504735554600168,0.014535093868699759
67,RN068,0.5073345265698004,0.005703076286149932,-0.016099195249820734,0.007457706643119521,0.6770612699293596,0.0049475409352511745
68,RN069,0.39766962750342794,0.004631385820155997,-0.37468202036524784,0.01336648332712018,0.42125528408587276,0.016311792186154077
69,RN070,0.37660390825915985,0.009313052397879025,-0.33622512495415385,0.0031763132553015985,0.47094867503966115,0.006905354511052248
70,RN071,0.4921258445825565,0.007660087151351667,-0.2467730496600978,0.012907903751544318,0.44887220580049875,0.017039568563133337
71,RN072,0.3488062127874027,0.004900452845812638,-0.32658082432527363,0.009365511502598565,0.513359104332412,0.005964601294065008
72,RN073,0.518621879333201,0.00904775327585355,0.03238450910325733,0.0028005528315845716,0.5499221952540142,0.003464430688820115
73,RN074,0.4357952406561276,0.006006238361597554,-0.1351309411308004,0.012677469416532201,0.6402907976666783,0.004914334213258354
74,RN075,0.5331278500368314,0.014246129486930353,-0.40878795674289453,0.004463911377762023,0.261494238432321,0.01010783339269795
75,RN076,0.6171105993158629,0.006774189973921705,-0.21445641194543322,0.005613264495125199,0.4426915739349539,0.009234757917936062
76,RN077,0.38936165989706667,0.003549325394936933,-0.10386900489126584,0.00966525702689517,0.5905273784954449,0.004862866802363645
77,RN078,0.6480504398180053,0.0060101348793643525,0.15722822819036367,0.008740379728008764,0.6407847969491577,0.0047078617367427465
78,RN079,0.44483547878548263,0.011697195204739002,-0.187986981129747,0.011833071615942525,0.3653113345519358,0.00825092037241229
79,RN080,0.43066593076535736,0.015194633635401347,-0.3721228177259179,0.009150560890762613,0.3441637425073474,0.010744209109283729
80,RN081,0.5532018283329719,0.009261375010830545,-0.33868211487520394,0.007622423500237044,0.28382626220325163,0.008144983025984045
81,RN082,0.640557901406311,0.003121141091717337,0.11505447435041481,0.019311266857112302,0.507135488655068,0.012293400917259391
82,RN083,0.5255135577032862,0.0068167395916084545,-0.2908936016673656,0.0030925668421853997,0.3893722237594501,0.005577983554735233
83,RN084,0.11629491629316076,0.020458611425196685,-0.5789671029595767,0.0018292331596006114,0.3939723521477509,0.016768531581222868
84,RN085,0.5073700354749539,0.005092641985966409,-0.3299212668204785,0.008839003927684531,0.2927795772953517,0.004725727391556483
85,RN086,0.5388804445875723,0.007319793263589792,-0.07455910706366524,0.005432365788256428,0.41210314838983103,0.011509960614879966
86,RN087,0.3091709929821425,0.0009375497959079306,-0.5526693615087223,0.011923923527584923,0.3846241642251535,0.009381188293376403
87,RN088,0.42868858385975067,0.007079758349982468,-0.29052116340424083,0.010975263082762957,0.4629835293168887,0.010554471276210998
88,RN089,0.4778558817813301,0.01071757626783732,-0.21306927059093314,0.014580976650640091,0.5197533803897164,0.005172430402754386
89,RN090,0.506437051503715,0.011969306560671203,-0.5184437754802631,0.008904902589416196,0.10806544284869894,0.016087448518123028
90,RN091,0.5738806094197609,0.004705505652804736,-0.10686570664572005,0.006173500117390705,0.474486397258578,0.003042501488837074
91,RN092,0.3627980435794725,0.005458802714101736,-0.48295896970350044,0.005012738730824595,0.3484701767952192,0.004416792925241335
92,RN093,0.4599258081795416,0.006015587868798682,-0.36049502485238843,0.004343686283943879,0.4021222634699753,0.0012673445725332902
93,RN094,0.5800195823301756,0.010289590765279738,-0.2220656483262992,0.0019930964825307855,0.33928399525418396,0.012542047903284174
94,RN095,0.46745607700391084,0.005828569981430301,-0.2843607775593961,0.016736840003712703,0.49926931907210914,0.010013133827215559
95,RN096,0.5873298626130989,0.008319214077366854,-0.48241143029011635,0.005235398959107382,0.13590516486597048,0.00870589143616114
96,RN097,0.6159980014747152,0.009143023307021318,-0.5048102982146135,0.01013666712817005,0.03991478353292993,0.00875147018810328
97,RN098,0.27687610674987323,0.004857946374400919,-0.42613999286067167,0.010086468545165015,0.5331607390811614,0.012724666998662294
98,RN099,0.21020038223186832,0.00782618801755273,-0.33607094218153105,0.006305573631013878,0.6331979714325892,0.0114136172278451
99,RN100,0.3009158674218781,0.00406944253933305,-0.3653416881306875,0.012466233057476581,0.5041405704776895,0.010055732347807527
