,RN,CC(AB),Std(AB),CC(BC),Std(BC),CC(CA),Std(CA)
0,RN001,0.5215285681904012,0.005364018709261416,-0.6816375761791643,0.0004335652379143336,-0.10443285167941303,0.008226952942107865
1,RN002,0.49504358793288006,0.008672059366230549,-0.701725450523561,0.006007494293560046,-0.2559452843826642,0.008893253696733962
2,RN003,0.5839646431245253,0.012141797591650433,-0.8316111331661085,0.002752273454918575,-0.6437096633319787,0.008671263709685316
3,RN004,0.6309766188518678,0.003225110643563065,-0.8214028931836149,0.000646075376202283,-0.5395869232989684,0.008525119841945997
4,RN005,0.5547895079689783,0.007639946029328869,-0.6607213976105365,0.004613656393415935,-0.3130187186428586,0.003134385821406802
5,RN006,0.692709171653354,0.0025747479776950044,-0.8340305337944144,0.0017566892809169838,-0.6809464676184932,0.002013994786753662
6,RN007,0.5450403415562352,0.0031071254232626607,-0.674756073942398,0.0023270513151283857,-0.1136211895648742,0.00705295937332473
7,RN008,0.5555894217568095,0.005689775893118192,-0.7350938865255735,0.0005158601561477659,-0.26001809688638866,0.005267776126688723
8,RN009,0.5824986682565599,0.0018718055846078053,-0.6064720977941168,0.006038647270869682,-0.0800505326561191,0.001991031737785879
9,RN010,0.41078685455538705,0.007129320060241052,-0.7892687916687144,0.0028218177713707714,-0.21746345562437486,0.005135825833430822
10,RN011,0.5841465643053779,0.004834335228171631,-0.7529452375978921,0.0055590395420100375,-0.5727043762306923,0.003788253554502451
11,RN012,0.7521113652817655,0.0027739335956299366,-0.8189051652015576,0.0025536155725365494,-0.6414816103157707,0.007645175913384194
12,RN013,0.559172854639753,0.004402201081847259,-0.6388535684019748,0.007282462353650084,-0.2151801630659124,0.009277177247048081
13,RN014,0.6316173292488578,0.005660154848442978,-0.7760463556337719,0.0027472457325226746,-0.4737489691655005,0.01277878946203755
14,RN015,0.6108613797337203,0.004710659025633357,-0.6980168067040694,0.0027352115981224053,-0.47500626221865244,0.010004069037207405
15,RN016,0.5167984691109485,0.006170303367744844,-0.8296333925508718,0.002920548857774875,-0.4464047048932224,0.003031360405904746
16,RN017,0.5837479541970457,0.012166239677970942,-0.5918723112003502,0.005895247369250826,-0.21786292244989125,0.007720875227726422
