RN,f1,f2,f3
RN001,0.547905427905428,0.4300765900765901,0.022017982017982017
RN002,0.4623769502228826,0.4771429234769688,0.06048012630014859
RN003,0.5693318365140743,0.4003575734896678,0.030310589996257953
RN004,0.560617335397071,0.4163888558161686,0.022993808786760328
RN005,0.5428356033572901,0.4350203548273609,0.02214404181534905
RN006,0.5216681949720737,0.43846089721451453,0.03987090781341177
RN007,0.5828354155350353,0.3847170836194439,0.03244750084552079
RN008,0.5578764241693767,0.4115593659745753,0.03056420985604803
RN009,0.5249785723031714,0.4337271948083752,0.04129423288845353
RN010,0.47923097908021883,0.4846296322885408,0.036139388631240395
RN011,0.6344946098308772,0.34702304420927704,0.018482345959845714
RN012,0.49494964091152116,0.450616302761441,0.05443405632703784
RN013,0.55277357783912,0.4044748997794454,0.04275152238143458
RN014,0.5443742021761595,0.4225578992158531,0.03306789860798735
RN015,0.5830514988470408,0.3828497309761722,0.034098770176787085
RN016,0.54821531772023,0.3996615020502518,0.052123180229518125
RN017,0.538372040989842,0.4251875717844304,0.03644038722572754
RN018,0.4950181260147232,0.4533727731690501,0.051609100816226675
RN019,0.5357629281300627,0.4126965921635532,0.05154047970638414
RN020,0.5690217234515189,0.38518016328650145,0.045798113261979634
RN021,0.5500272805217075,0.41140325807373535,0.038569461404557144
RN022,0.5264423632789917,0.41156203029251937,0.06199560642848884
RN023,0.5505608511457731,0.423526863084922,0.025912285769304832
RN024,0.5211706102117061,0.4234361528882077,0.05539323690008621
RN025,0.5166121480341223,0.44766211275736,0.03572573920851774
RN026,0.5134247905170652,0.4244967300224811,0.06207847946045371
RN027,0.529829851389188,0.42310287888577786,0.047067269725034104
RN028,0.5035342082408569,0.44897713017465984,0.047488661584483255
RN029,0.5262482862323647,0.4318694440758923,0.041882269691742954
RN030,0.5704356068085779,0.3987599225938944,0.030804470597527743
RN031,0.5401442715331133,0.41802220164099085,0.04183352682589583
RN032,0.6463200909611619,0.3323502004736136,0.021329708565224453
RN033,0.6302837078944352,0.3396784713322706,0.030037820773294158
RN034,0.48216182442986566,0.46596152987905565,0.05187664569107868
RN035,0.47748800590478535,0.4683355886332882,0.05417640546192644
RN036,0.5613583372670186,0.4072437025275716,0.03139796020540989
RN037,0.592944192914983,0.37675867776641836,0.030297129318598574
RN038,0.6054384188073535,0.3730472946014793,0.021514286591167175
RN039,0.5981083224831261,0.38047561322378365,0.02141606429309029
RN040,0.569512777980826,0.4021947950931054,0.028292426926068582
RN041,0.49291946462016356,0.4545817916038555,0.052498743775980995
RN042,0.5510688836104513,0.4225932653346374,0.026337851054911276
RN043,0.5050378956754347,0.46104919007281914,0.033912914251746175
RN044,0.5624824901576254,0.4065232456981082,0.030994264144266356
RN045,0.6549830516711417,0.3214229306637184,0.0235940176651399
RN046,0.6329690346083788,0.3371379046947529,0.029893060696868205
RN047,0.5119536520973893,0.45766720445878556,0.03037914344382517
RN048,0.5423375715706567,0.4246391226042311,0.03302330582511223
RN049,0.5211333203958859,0.41731030467688723,0.061556374927226855
RN050,0.45785475604645914,0.4994466590022671,0.04269858495127376
RN051,0.6141283292978208,0.36328087167070217,0.022590799031476996
RN052,0.5301504545394398,0.408251842638049,0.06159770282251128
RN053,0.49880994618887115,0.45009165631837267,0.051098397492756194
RN054,0.5039585541543187,0.46960782192995737,0.026433623915723896
RN055,0.7030681870928811,0.2804845971747304,0.01644721573238848
RN056,0.52779284164859,0.42180947216196674,0.050397686189443236
RN057,0.5232325947544257,0.43488153296724397,0.04188587227833033
RN058,0.47603898655242777,0.4901836525177759,0.03377736092979632
RN059,0.5187272851950901,0.43475279434958514,0.046519920455324694
RN060,0.5103285014755002,0.45142199306028474,0.038249505464215065
RN061,0.4909870735660355,0.45594339249713406,0.053069533936830456
RN062,0.4531695156695157,0.4667670292670293,0.08006345506345507
RN063,0.5320214720404179,0.4362010563784591,0.03177747158112298
RN064,0.4488825573693141,0.48920667471213264,0.06191076791855327
RN065,0.5103250800067374,0.4298972545056426,0.05977766548762001
RN066,0.511819473413742,0.43901333091502676,0.04916719567123122
RN067,0.633565728478857,0.3399240104762256,0.02651026104491743
RN068,0.5448507579309267,0.4117049538990467,0.04344428817002657
RN069,0.542986840295291,0.40046540419093035,0.05654775551377871
RN070,0.5271651190250587,0.438082187786994,0.034752693187947346
RN071,0.45813143971038706,0.49775828460038984,0.04411027568922306
RN072,0.585827295087416,0.3841388021006448,0.030033902811939107
RN073,0.49492467603171986,0.4545154981840584,0.050559825784221725
RN074,0.5426730567810328,0.4161138794553591,0.04121306376360809
RN075,0.5788773850404069,0.38613771913970724,0.034984895819885876
RN076,0.5636772774392557,0.40760031351925363,0.028722409041490732
RN077,0.5703450556719215,0.39250358284643366,0.0371513614816448
RN078,0.5952083196208781,0.3798953465411703,0.024896333837951687
RN079,0.5456619526876153,0.4165399178020129,0.037798129510371835
RN080,0.43121973827034016,0.5113851182418011,0.05739514348785872
RN081,0.6000661992597719,0.37208497577708904,0.02784882496313905
RN082,0.50770897443949,0.4485021666771337,0.04378885888337625
RN083,0.5173082313370083,0.43999345977763243,0.04269830888535925
RN084,0.5613721346122582,0.40192458059471553,0.0367032847930263
RN085,0.5768739298218712,0.3922410488384574,0.030885021339671345
RN086,0.5927482306411324,0.37272325145711904,0.034528517901748546
RN087,0.5319606087735005,0.4394738654362647,0.028565525790234834
RN088,0.6339109350050269,0.34583949376071915,0.020249571234253947
RN089,0.6418687828322343,0.3324578070861741,0.025673410081591595
RN090,0.5099233417787306,0.45057818488923534,0.03949847333203404
RN091,0.4923032416218768,0.48738523379569715,0.020311524582426115
RN092,0.5986886907495684,0.37679552761192847,0.02451578163850308
