RN,ConPr
RN001,0.4369570629315654
RN002,0.41842623630645887
RN003,0.4234877794356489
RN004,0.4698489705864427
RN005,0.40243156632990046
RN006,0.4507974162570024
RN007,0.4070514627134885
RN008,0.4633492073060462
RN009,0.4472791838279169
RN010,0.4449895946746785
RN011,0.4263494472143941
RN012,0.31524988165280315
RN013,0.450551892732795
RN014,0.45849389652686273
RN015,0.370970719020052
RN016,0.42439087554222327
RN017,0.4239505946375615
RN018,0.37701467008749423
RN019,0.4887144259077527
RN020,0.38869227938053846
RN021,0.3819686475744138
RN022,0.43233652644731363
RN023,0.4659667373017402
RN024,0.42353754915397523
RN025,0.3886534996997398
RN026,0.3317453031765879
RN027,0.4276128480344325
RN028,0.3928800410335321
RN029,0.3401387649744038
RN030,0.4522048534761924
RN031,0.4091997388086774
RN032,0.43897699225509945
RN033,0.42317155306310394
RN034,0.4003018237862831
RN035,0.40500108181621486
RN036,0.40022729914375377
RN037,0.39757419537084443
RN038,0.441287920512877
RN039,0.40328522446375886
RN040,0.3821187433369747
RN041,0.44795868968855895
RN042,0.40405541231481884
RN043,0.4663246057496416
RN044,0.4022822630214597
RN045,0.4724687600912
RN046,0.5229154178884443
RN047,0.3803977947189322
RN048,0.45964570354644485
RN049,0.34080651712777
RN050,0.4840049535875152
RN051,0.3964187913753224
RN052,0.3737156926184877
RN053,0.3543332037045039
RN054,0.33775148344510375
RN055,0.37666382583094443
RN056,0.3945578231292517
RN057,0.3202715633116143
RN058,0.343582187930132
RN059,0.45297947268430566
RN060,0.3944898880915341
RN061,0.41426318659454997
RN062,0.4032265680333674
RN063,0.40228151340389123
RN064,0.35166385892751656
RN065,0.45319816741336977
RN066,0.44929525323027747
RN067,0.4736384861812456
RN068,0.3991421369927627
RN069,0.46848053707809806
RN070,0.4451741121576082
RN071,0.4094611771207516
RN072,0.4446020568417853
RN073,0.42770864984995544
RN074,0.36668062599848
RN075,0.4478300360477988
RN076,0.35893971367411076
RN077,0.4091810922077278
RN078,0.409894097607939
RN079,0.48229997250481166
RN080,0.4599229336259474
RN081,0.4748997900362665
RN082,0.44456690146469247
RN083,0.44001636537208494
RN084,0.363113860864063
RN085,0.46228183446494775
RN086,0.38314636752136755
RN087,0.45715526601520085
RN088,0.40943358793770457
RN089,0.428967116932733
RN090,0.34160700349496115
RN091,0.39033500641998364
RN092,0.41251870711939514
RN093,0.3793457576947473
RN094,0.47891259752216964
RN095,0.3979050337383786
RN096,0.387016410305865
RN097,0.4585413501193836
RN098,0.3896921504833273
RN099,0.35338518458505497
RN100,0.4086912761611557
