,InA,OutA,InB,OutB,InC,OutC,PosL,NegL,TotL,MPosL,MNegL,MTotL
0,10,9,5,6,4,9,950400,950771,1901171,649893,650740,1300633
1,5,7,10,6,5,7,1935002,1935871,3870873,1280352,1280869,2561221
2,8,4,5,8,9,8,890368,890050,1780418,643881,643192,1287073
3,7,8,7,5,5,7,4013775,4013157,8026932,2822281,2820321,5642602
4,5,3,9,9,5,6,2689845,2689805,5379650,1679631,1680221,3359852
5,5,6,6,7,6,10,2302983,2301100,4604083,1565391,1564126,3129517
6,9,7,6,8,5,5,2106780,2110063,4216843,1465809,1467557,2933366
7,9,6,9,7,8,8,2321529,2322134,4643663,1795084,1796194,3591278
8,6,7,4,7,10,4,933330,935281,1868611,635510,633991,1269501
9,8,5,6,7,5,9,620075,620329,1240404,460415,460958,921373
10,6,8,6,7,5,7,2581293,2580480,5161773,1777252,1777011,3554263
11,7,6,4,7,5,7,3184276,3192256,6376532,2117964,2125240,4243204
12,6,9,5,4,6,4,2037959,2038071,4076030,1341826,1341718,2683544
13,7,5,7,5,7,6,3081931,3083244,6165175,2058707,2059892,4118599
14,7,7,6,5,7,6,2462322,2462394,4924716,1713077,1712803,3425880
15,4,6,8,7,3,7,1162784,1163403,2326187,750840,751609,1502449
16,5,8,4,6,9,6,1250327,1248678,2499005,779612,778625,1558237
17,4,10,6,7,6,6,2660180,2657455,5317635,1917960,1914540,3832500
18,5,6,7,10,5,7,1355167,1354566,2709733,964247,964303,1928550
19,6,10,7,8,7,10,1205070,1205808,2410878,932454,933058,1865512
20,7,5,9,7,6,7,4344472,4338830,8683302,3075437,3072755,6148192
21,7,8,8,5,7,8,1338125,1324379,2662504,1094844,1085722,2180566
22,5,7,9,8,5,9,1035822,1034054,2069876,715542,714141,1429683
23,7,7,8,6,8,8,1751853,1752896,3504749,1377572,1377182,2754754
24,4,6,7,5,5,5,3324706,3323006,6647712,2050696,2050731,4101427
25,8,3,7,9,9,7,2971229,2971200,5942429,2053169,2056229,4109398
26,6,4,10,7,6,5,1330505,1330227,2660732,835112,835247,1670359
27,8,8,5,5,8,5,1573876,1573739,3147615,1017681,1018388,2036069
28,5,6,7,9,4,4,3049374,3047755,6097129,1834785,1834429,3669214
29,9,5,6,7,6,6,1674180,1675488,3349668,1131629,1134232,2265861
30,6,6,5,7,7,5,3991935,3991952,7983887,2658084,2658912,5316996
31,4,7,6,5,8,4,2938969,2938965,5877934,1907310,1909159,3816469
32,5,5,6,8,6,6,1969277,1969402,3938679,1254254,1253440,2507694
33,3,4,8,5,9,6,2702649,2704893,5407542,1491652,1495914,2987566
34,8,5,8,7,6,7,2757251,2757737,5514988,1988968,1989873,3978841
35,10,6,6,4,5,6,2244114,2243375,4487489,1427846,1428035,2855881
36,4,5,10,8,7,9,1492080,1494427,2986507,981764,982393,1964157
37,6,8,7,6,4,10,1876943,1878120,3755063,1328185,1330677,2658862
38,5,8,5,6,5,7,3547186,3547505,7094691,2291420,2290779,4582199
39,6,5,7,6,8,7,3750988,3753085,7504073,2507528,2510699,5018227
40,6,6,5,7,7,6,3864738,3866401,7731139,2654355,2654765,5309120
41,7,7,8,7,8,11,1217969,1217219,2435188,919322,918217,1837539
42,4,6,10,7,7,7,2559748,2562907,5122655,1701149,1704176,3405325
43,10,4,5,5,6,6,2767215,2767007,5534222,1794551,1794693,3589244
44,6,6,6,9,9,7,907560,911975,1819535,651679,656604,1308283
45,5,7,5,5,4,3,2157389,2156398,4313787,1253673,1252416,2506089
46,6,6,4,6,2,8,797701,798092,1595793,454162,454135,908297
47,7,6,7,6,7,8,4080489,4079967,8160456,2943433,2943109,5886542
48,9,7,6,5,8,6,1842747,1842473,3685220,1296891,1296505,2593396
49,4,6,6,10,6,7,2326560,2327603,4654163,1574445,1575454,3149899
50,8,7,7,9,3,8,402779,402597,805376,254298,254027,508325
51,9,6,6,4,7,9,1527603,1527938,3055541,1029661,1029862,2059523
52,8,8,5,10,9,4,828445,829048,1657493,604006,604668,1208674
53,7,8,9,9,4,6,1446314,1447525,2893839,1058082,1058874,2116956
54,8,9,7,7,9,5,1597909,1591744,3189653,1200638,1197887,2398525
55,7,5,4,5,6,8,1624881,1626022,3250903,1036569,1036736,2073305
56,7,5,6,7,5,8,866180,867589,1733769,580446,579591,1160037
57,5,9,7,7,4,7,2117271,2115941,4233212,1432405,1431259,2863664
58,6,6,8,7,6,7,2285207,2283830,4569037,1549967,1547666,3097633
59,5,7,5,6,7,8,1759342,1758761,3518103,1233372,1231871,2465243
60,4,6,8,6,4,5,3135332,3136300,6271632,1974331,1975896,3950227
61,7,6,8,6,8,7,2625089,2624753,5249842,1889158,1888946,3778104
62,7,7,6,8,6,8,4077527,4078145,8155672,2993593,2992645,5986238
63,9,10,6,7,6,8,2446827,2446631,4893458,1796748,1796706,3593454
64,8,9,6,7,6,8,1912616,1912505,3825121,1392052,1391951,2784003
65,9,7,7,5,3,4,2254652,2255561,4510213,1262730,1263423,2526153
66,5,7,4,7,8,10,1178426,1180275,2358701,819381,821591,1640972
67,8,11,7,7,6,9,1176813,1176623,2353436,876360,875923,1752283
68,8,6,6,7,6,7,2675207,2672768,5347975,1897763,1895951,3793714
69,6,8,6,7,4,7,2315626,2310333,4625959,1611114,1606245,3217359
70,7,5,5,6,9,7,2133023,2134231,4267254,1533666,1535195,3068861
71,7,4,7,9,6,8,3778946,3780045,7558991,2684578,2686745,5371323
72,11,7,8,6,6,4,1208626,1208351,2416977,758696,757979,1516675
73,8,6,6,7,6,5,2464538,2463698,4928236,1646537,1643842,3290379
74,5,8,6,5,5,8,1845960,1846429,3692389,1302079,1300805,2602884
75,5,7,7,7,6,4,1269463,1269486,2538949,825485,825811,1651296
76,7,6,7,7,5,7,2062477,2060833,4123310,1435493,1432521,2868014
77,7,12,7,8,8,5,1900070,1899515,3799585,1417598,1417490,2835088
78,7,5,9,4,7,7,2389232,2386297,4775529,1657374,1655174,3312548
79,6,6,9,6,8,6,3839801,3840214,7680015,2773344,2775338,5548682
80,6,7,8,4,7,5,1633164,1631356,3264520,1089042,1087543,2176585
81,8,8,5,5,7,8,2397400,2401459,4798859,1699864,1706686,3406550
82,5,6,4,8,4,7,1362644,1362762,2725406,921366,921652,1843018
83,5,8,7,8,4,9,1905195,1909689,3814884,1267527,1275032,2542559
84,6,8,5,7,5,4,2111710,2110870,4222580,1381945,1382440,2764385
85,7,5,10,8,7,9,2072516,2071911,4144427,1510392,1510012,3020404
86,3,8,9,5,4,8,2771553,2772023,5543576,1817646,1817394,3635040
87,7,3,6,6,8,8,1520583,1520540,3041123,1019570,1019204,2038774
88,9,6,4,7,8,8,2332145,2335352,4667497,1618180,1622457,3240637
89,4,4,13,5,5,9,1723246,1723303,3446549,1079396,1080007,2159403
90,7,6,4,8,6,6,3023026,3022697,6045723,2060554,2060236,4120790
91,3,6,5,8,8,7,1870923,1871525,3742448,1172439,1173631,2346070
92,6,9,9,8,6,5,2433335,2432557,4865892,1698124,1697917,3396041
93,5,7,7,7,10,4,760053,760153,1520206,542601,542622,1085223
94,5,6,9,3,8,6,1240278,1241326,2481604,867491,868110,1735601
95,8,8,5,5,6,8,2948026,2948722,5896748,2032487,2032007,4064494
96,6,6,6,7,6,8,1823921,1825223,3649144,1285850,1287143,2572993
97,7,5,6,7,9,7,651609,652150,1303759,451323,451079,902402
98,10,6,6,7,5,10,1860792,1860874,3721666,1391753,1392274,2784027
99,5,6,6,8,5,6,5599571,5598757,11198328,3646422,3645000,7291422
