,RN,PInA,NInA,PInB,NInB,PInC,NInC
0,RN001,1,2,1,2,1,4
1,RN002,3,4,1,2,1,3
2,RN003,1,3,1,3,0,2
3,RN004,1,3,1,2,2,3
4,RN005,0,3,2,3,1,3
5,RN006,0,4,0,2,0,3
6,RN007,1,2,0,3,0,3
7,RN008,0,3,1,3,2,6
8,RN009,0,3,0,3,3,2
9,RN010,2,5,1,2,1,2
10,RN011,2,2,0,3,1,2
11,RN012,1,4,0,2,0,2
12,RN013,1,3,1,2,0,5
13,RN014,1,3,0,4,1,2
14,RN015,0,2,1,2,1,3
15,RN016,2,3,0,2,1,3
16,RN017,2,3,1,3,0,2
17,RN018,1,2,1,2,0,2
18,RN019,1,3,0,4,1,4
19,RN020,0,2,1,3,1,2
20,RN021,1,4,0,2,0,4
21,RN022,0,3,1,3,1,3
22,RN023,3,2,0,4,1,2
23,RN024,2,2,3,2,0,3
24,RN025,3,3,1,2,0,3
25,RN026,0,2,0,2,2,2
26,RN027,1,2,0,3,1,2
27,RN028,1,2,0,3,1,3
28,RN029,0,2,0,2,1,3
29,RN030,0,3,2,2,0,4
30,RN031,2,3,0,2,0,3
31,RN032,1,2,0,3,0,3
32,RN033,1,3,1,2,1,3
33,RN034,0,2,1,3,1,3
34,RN035,1,4,0,2,2,3
35,RN036,2,3,0,2,0,3
36,RN037,0,3,2,4,0,3
37,RN038,0,4,1,2,1,2
38,RN039,1,2,2,3,0,3
39,RN040,0,3,0,2,1,5
40,RN041,0,5,0,3,1,3
41,RN042,1,2,2,3,0,2
42,RN043,0,4,0,4,1,2
43,RN044,1,4,0,4,0,2
44,RN045,1,4,1,2,0,2
45,RN046,0,4,1,2,1,2
46,RN047,0,2,1,4,0,3
47,RN048,1,3,0,2,1,2
48,RN049,0,3,0,2,0,2
49,RN050,1,3,1,4,1,3
50,RN051,0,3,0,2,0,5
51,RN052,0,4,0,2,0,3
52,RN053,0,2,1,2,0,4
53,RN054,0,2,1,3,0,2
54,RN055,0,2,1,3,1,2
55,RN056,2,2,1,3,0,2
56,RN057,0,2,0,2,1,4
57,RN058,1,2,0,2,1,3
58,RN059,0,3,0,3,0,4
59,RN060,1,2,1,3,1,2
60,RN061,0,3,0,4,2,3
61,RN062,0,2,0,4,2,3
62,RN063,0,2,2,4,2,2
63,RN064,1,3,0,2,0,2
64,RN065,1,2,1,3,3,2
65,RN066,1,3,1,3,1,2
66,RN067,2,2,0,4,1,2
67,RN068,0,2,0,3,1,3
68,RN069,1,2,1,2,1,2
69,RN070,0,4,0,3,1,2
70,RN071,1,4,1,2,0,3
71,RN072,2,3,1,2,0,3
72,RN073,0,2,1,4,1,2
73,RN074,0,3,1,2,0,2
74,RN075,1,3,2,2,0,3
75,RN076,0,3,3,2,0,2
76,RN077,0,2,0,2,1,3
77,RN078,2,2,3,3,2,2
78,RN079,1,2,1,2,0,4
79,RN080,3,2,2,3,1,3
80,RN081,0,3,1,4,1,2
81,RN082,2,2,0,3,0,4
82,RN083,1,3,1,2,0,3
83,RN084,1,3,1,4,0,4
84,RN085,0,3,0,4,1,2
85,RN086,0,2,1,2,0,3
86,RN087,1,3,1,2,2,2
87,RN088,0,2,0,3,1,2
88,RN089,0,6,0,4,1,2
89,RN090,0,3,0,2,0,2
90,RN091,0,3,3,2,0,3
91,RN092,1,3,0,2,1,2
92,RN093,0,4,0,2,0,3
93,RN094,0,5,0,3,2,3
94,RN095,3,2,0,2,1,2
95,RN096,0,2,2,3,1,2
96,RN097,0,3,1,2,1,5
97,RN098,0,5,0,2,0,4
98,RN099,1,3,0,2,0,3
99,RN100,0,2,0,3,0,4
