,InA,OutA,InB,OutB,InC,OutC,PosL,NegL,TotL,MPosL,MNegL,MTotL
0,5,6,4,3,5,6,3453,3468,6921,2031,2026,4057
1,7,4,6,6,6,5,3498,3460,6958,2341,2294,4635
2,7,5,4,5,6,6,12895,13006,25901,8260,8254,16514
3,5,5,3,5,6,5,20567,20656,41223,12683,12727,25410
4,6,7,4,4,4,4,18205,18234,36439,10467,10488,20955
5,4,4,5,6,6,4,1915,1881,3796,1107,1056,2163
6,5,5,5,6,6,3,7758,7890,15648,4597,4676,9273
7,4,3,7,7,3,5,13605,13641,27246,8434,8483,16917
8,6,5,3,5,5,5,6554,6546,13100,3798,3762,7560
9,6,3,5,6,6,5,18477,18359,36836,11576,11355,22931
10,6,8,7,4,5,4,2336,2299,4635,1429,1345,2774
11,5,6,4,5,6,5,13265,13286,26551,8843,8804,17647
12,4,4,6,6,3,6,14485,14281,28766,8700,8504,17204
13,4,3,2,3,3,6,9212,9159,18371,4648,4498,9146
14,3,7,5,5,4,5,11248,11225,22473,6607,6488,13095
15,5,4,5,5,3,7,10822,10764,21586,7457,7369,14826
16,4,3,5,4,8,6,13316,13314,26630,7566,7521,15087
17,4,5,6,5,5,6,11463,11414,22877,7157,7106,14263
18,3,6,5,7,5,5,6745,6739,13484,4264,4270,8534
19,5,5,5,4,2,5,6086,6190,12276,3361,3404,6765
20,4,6,5,5,6,3,7932,7871,15803,5298,5252,10550
21,3,3,6,7,9,6,1423,1429,2852,622,622,1244
22,7,3,7,6,6,4,10197,10227,20424,6366,6467,12833
23,6,4,5,6,7,6,17050,16999,34049,11353,11228,22581
24,6,5,4,8,4,4,3609,3550,7159,2400,2366,4766
25,4,4,4,7,5,7,2761,2619,5380,1888,1766,3654
26,6,7,9,6,5,6,5362,5298,10660,3939,3842,7781
27,3,6,4,4,4,3,16631,16618,33249,9506,9484,18990
28,5,4,5,6,3,4,5606,5591,11197,3159,3192,6351
29,7,5,4,3,7,4,6484,6490,12974,3678,3643,7321
30,7,7,4,4,7,3,7344,7329,14673,4361,4538,8899
31,5,4,4,4,4,5,11681,11566,23247,6746,6721,13467
32,7,7,5,6,3,4,19571,19478,39049,10705,10560,21265
33,7,3,7,4,6,7,1115,1115,2230,773,783,1556
34,4,5,5,5,7,5,1905,1868,3773,1199,1195,2394
35,9,5,4,7,5,4,9997,10110,20107,6293,6271,12564
36,5,6,5,4,4,5,13603,13575,27178,8207,8161,16368
37,4,4,5,4,6,3,21865,21960,43825,13945,14018,27963
38,7,4,5,4,4,4,14755,14756,29511,8652,8705,17357
39,5,4,8,7,5,3,10477,10289,20766,6307,6082,12389
40,6,3,6,6,5,6,12384,12382,24766,8274,8353,16627
41,4,4,6,3,6,6,11929,11898,23827,7500,7421,14921
42,6,6,4,5,8,7,8612,8590,17202,5504,5470,10974
43,6,8,5,6,3,5,6354,6424,12778,3817,3846,7663
44,5,6,2,5,3,6,15408,15474,30882,8477,8577,17054
45,8,6,6,5,5,4,10362,10297,20659,7205,7140,14345
46,4,5,6,6,4,3,11813,11664,23477,6565,6573,13138
47,7,5,4,4,4,5,27374,27408,54782,18146,18281,36427
48,6,5,2,3,6,4,8425,8361,16786,3908,3962,7870
49,2,6,7,7,4,4,2491,2418,4909,1701,1576,3277
50,10,5,10,3,2,4,2877,2752,5629,1683,1635,3318
51,2,3,4,7,4,6,5909,5931,11840,3119,3059,6178
52,5,5,3,5,5,5,20469,20537,41006,12375,12370,24745
53,7,7,3,5,6,6,21444,21371,42815,13859,13761,27620
54,7,7,3,4,6,3,1076,1035,2111,740,713,1453
55,5,5,5,7,7,3,1974,1961,3935,1199,1184,2383
56,6,4,7,6,6,5,9584,9559,19143,6327,6325,12652
57,6,6,6,5,5,4,10277,10100,20377,6499,6544,13043
58,5,6,6,4,2,3,6448,6500,12948,2865,2978,5843
59,7,4,4,5,5,5,20772,20638,41410,13521,13619,27140
60,4,6,4,5,4,6,29501,29308,58809,18161,17955,36116
61,4,7,7,6,6,4,5726,5712,11438,4042,3978,8020
62,9,4,3,4,3,3,4357,4362,8719,2455,2331,4786
63,4,4,6,7,5,4,10917,10921,21838,6986,6996,13982
64,5,4,5,8,5,4,6805,6781,13586,4070,4092,8162
65,4,6,5,7,6,6,9333,9360,18693,6525,6525,13050
66,6,3,4,7,5,5,9377,9384,18761,5714,5673,11387
67,6,6,4,3,5,3,3201,3209,6410,1734,1746,3480
68,6,3,5,9,4,4,4001,3968,7969,2495,2499,4994
69,3,6,7,4,4,5,15464,15482,30946,9584,9581,19165
70,7,7,3,5,3,4,11191,11181,22372,6558,6553,13111
71,7,5,6,5,5,5,20005,20224,40229,13471,13618,27089
72,5,7,5,3,5,4,9274,9102,18376,6281,6271,12552
73,4,5,6,8,6,5,3762,3806,7568,2428,2545,4973
74,5,5,5,4,5,4,1258,1260,2518,710,710,1420
75,6,5,7,4,7,4,7383,7367,14750,5127,5117,10244
76,6,5,4,4,4,4,16140,16162,32302,9894,9946,19840
77,5,7,3,5,7,7,6061,6056,12117,4054,4001,8055
78,3,6,5,7,5,4,12327,12469,24796,7728,7820,15548
79,3,4,7,5,3,5,10254,10242,20496,5873,5971,11844
80,4,4,3,6,5,4,8961,8849,17810,5327,5303,10630
81,6,4,4,8,6,3,11816,11700,23516,7100,7017,14117
82,5,3,4,7,7,7,6322,6417,12739,3732,3798,7530
83,3,8,7,4,6,4,20333,20219,40552,13527,13485,27012
84,4,6,5,4,8,5,13686,13535,27221,9064,8978,18042
85,5,5,6,4,3,5,6962,6846,13808,4208,4192,8400
86,7,7,3,3,4,3,7462,7489,14951,4345,4363,8708
87,5,5,3,5,6,4,6513,6516,13029,3670,3762,7432
88,5,6,4,9,5,7,10095,10090,20185,6885,6893,13778
89,6,4,5,4,4,7,26044,25937,51981,16177,16115,32292
90,5,6,4,4,6,5,15866,15843,31709,9825,9952,19777
91,4,7,6,4,6,5,11906,11804,23710,7888,7872,15760
92,10,5,4,5,3,8,7416,7373,14789,4728,4718,9446
93,4,5,3,5,8,3,7735,7801,15536,4680,4868,9548
94,4,6,6,3,3,3,8527,8518,17045,4222,4648,8870
95,4,4,6,6,5,5,1481,1512,2993,821,849,1670
96,5,6,5,5,3,5,6423,6463,12886,3869,3895,7764
97,7,5,3,3,3,3,12200,12259,24459,6781,6748,13529
98,5,3,6,6,6,4,11283,11344,22627,6919,6922,13841
99,2,4,4,6,6,3,8076,8060,16136,4615,4328,8943
