,InA,OutA,InB,OutB,InC,OutC,PosL,NegL,TotL,MPosL,MNegL,MTotL
0,4,4,4,3,3,3,72,66,138,40,39,79
1,5,3,4,4,4,5,35,41,76,17,24,41
2,3,3,4,3,2,3,16,15,31,6,9,15
3,3,5,3,4,3,4,23,26,49,3,25,28
4,6,4,4,4,3,3,50,49,99,25,36,61
5,3,3,7,5,3,3,59,60,119,31,35,66
6,3,4,3,4,3,4,9,8,17,4,4,8
7,3,3,3,3,3,5,23,21,44,12,14,26
8,3,3,6,5,5,4,21,20,41,10,11,21
9,3,3,4,3,4,4,9,7,16,4,4,8
10,2,3,4,3,3,3,50,49,99,23,29,52
11,2,3,4,3,4,3,73,73,146,39,39,78
12,6,3,2,4,3,3,10,9,19,4,5,9
13,3,3,7,3,3,3,7,6,13,3,3,6
14,3,3,3,3,2,4,29,26,55,18,10,28
15,3,4,5,3,5,5,28,27,55,17,17,34
16,3,4,4,3,5,4,118,110,228,67,56,123
17,3,5,4,4,3,3,81,75,156,45,42,87
18,3,4,3,3,6,4,11,12,23,6,6,12
19,3,5,3,3,4,4,61,60,121,29,31,60
20,5,3,5,3,3,5,43,43,86,24,20,44
21,3,5,3,6,4,4,5,5,10,2,3,5
22,4,4,7,3,4,3,94,78,172,64,54,118
23,3,4,3,3,4,3,19,18,37,12,7,19
24,4,3,5,3,3,4,21,19,40,10,10,20
25,4,3,4,4,3,4,29,26,55,14,16,30
26,5,3,5,3,3,5,18,21,39,8,12,20
27,3,3,3,3,3,4,16,15,31,5,10,15
28,3,3,4,3,4,3,41,40,81,22,23,45
29,5,6,3,3,2,4,16,15,31,4,13,17
30,4,3,3,4,4,5,62,60,122,35,32,67
31,2,3,3,3,5,3,18,19,37,6,12,18
32,2,3,5,4,3,4,37,33,70,11,14,25
33,6,4,3,3,3,3,31,30,61,17,14,31
34,4,3,3,5,4,3,91,88,179,56,53,109
35,2,5,5,4,3,3,29,28,57,11,17,28
36,4,4,3,3,2,5,18,17,35,8,12,20
37,3,3,2,5,3,3,25,25,50,10,16,26
38,3,4,2,4,3,4,57,56,113,25,28,53
39,3,5,3,3,3,3,10,11,21,3,7,10
40,5,4,3,3,3,3,37,41,78,20,22,42
41,4,3,4,3,4,3,19,24,43,9,17,26
42,7,4,4,4,4,3,91,72,163,64,47,111
43,3,4,2,3,3,3,43,42,85,20,22,42
44,2,4,4,3,2,3,30,29,59,14,15,29
45,2,4,3,4,4,5,7,5,12,2,4,6
46,4,3,5,3,4,3,22,21,43,10,12,22
47,2,4,4,4,3,3,33,39,72,18,22,40
48,5,4,2,3,4,4,39,40,79,18,21,39
49,5,4,5,4,5,3,18,19,37,10,9,19
50,3,4,2,4,4,3,8,7,15,2,5,7
51,4,5,5,5,3,4,7,6,13,3,3,6
52,5,6,3,5,5,3,39,46,85,20,32,52
53,4,4,3,5,6,5,37,36,73,14,22,36
54,2,4,2,5,3,4,3,2,5,0,2,2
55,3,4,2,3,5,4,29,29,58,13,13,26
56,4,3,4,5,4,3,64,72,136,40,40,80
57,4,5,4,4,3,3,64,56,120,36,34,70
58,3,5,6,3,2,4,18,17,35,8,9,17
59,4,3,3,5,3,5,7,6,13,3,4,7
60,4,3,5,3,3,3,8,8,16,4,4,8
61,4,3,3,6,4,3,17,14,31,9,8,17
62,4,4,3,3,3,5,43,44,87,24,32,56
63,3,3,4,4,3,3,62,60,122,33,32,65
64,4,3,3,5,6,3,21,19,40,10,10,20
65,5,4,3,4,4,5,38,36,74,22,21,43
66,4,3,2,5,2,3,46,45,91,24,21,45
67,3,3,4,3,3,3,58,60,118,33,30,63
68,3,3,5,4,3,3,18,17,35,11,7,18
69,4,3,3,3,3,4,16,16,32,6,11,17
70,4,3,3,4,4,6,46,50,96,26,28,54
71,3,4,2,4,4,4,57,56,113,29,32,61
72,5,4,3,3,4,5,36,30,66,16,16,32
73,2,4,4,5,6,4,6,7,13,1,4,5
74,2,4,4,3,4,3,34,35,69,20,21,41
75,8,4,3,4,5,3,46,50,96,19,39,58
76,3,3,7,4,2,5,21,22,43,8,13,21
77,5,3,2,3,4,4,72,65,137,36,36,72
78,3,3,7,4,3,5,26,27,53,12,16,28
79,5,3,4,4,5,3,14,13,27,5,9,14
80,2,5,3,3,3,3,32,30,62,18,16,34
81,4,3,3,5,4,3,16,15,31,7,9,16
82,5,3,3,3,3,4,40,41,81,16,26,42
83,2,4,3,3,5,5,72,73,145,34,42,76
84,2,3,4,4,3,5,15,15,30,7,9,16
85,2,4,4,3,6,4,77,76,153,39,40,79
86,7,4,3,3,3,3,78,76,154,38,44,82
87,2,4,4,4,3,3,37,37,74,18,20,38
88,4,4,2,5,2,3,9,8,17,4,4,8
89,4,4,3,4,4,3,30,29,59,8,19,27
90,4,4,3,5,3,4,11,11,22,3,9,12
91,4,4,4,3,2,4,20,19,39,10,13,23
92,2,4,3,4,3,3,19,14,33,8,9,17
93,4,3,4,4,2,4,53,53,106,25,29,54
94,4,4,2,5,5,5,10,9,19,4,5,9
95,5,3,4,3,4,4,31,30,61,18,18,36
96,3,3,3,4,2,3,10,9,19,2,7,9
97,2,6,4,3,3,3,21,20,41,10,10,20
