,InA,OutA,InB,OutB,InC,OutC,PosL,NegL,TotL,MPosL,MNegL,MTotL
0,3,5,3,5,5,7,444,449,893,252,245,497
1,4,6,3,3,4,6,1054,1025,2079,621,599,1220
2,4,5,4,7,4,7,315,340,655,207,206,413
3,4,3,6,4,4,8,688,665,1353,451,435,886
4,6,5,6,4,3,5,829,850,1679,469,557,1026
5,3,3,3,4,4,5,412,390,802,233,210,443
6,4,4,4,4,3,4,1105,1012,2117,643,564,1207
7,4,3,4,6,3,3,661,682,1343,335,394,729
8,5,4,4,6,5,4,649,651,1300,392,389,781
9,5,7,4,3,5,5,1111,1131,2242,685,623,1308
10,4,5,4,7,4,7,639,651,1290,400,409,809
11,4,4,3,4,7,6,672,650,1322,394,380,774
12,3,5,5,8,4,6,287,292,579,160,168,328
13,5,5,4,4,3,4,182,169,351,114,82,196
14,2,4,7,4,4,4,256,249,505,117,114,231
15,6,3,4,7,4,3,530,541,1071,304,318,622
16,4,6,3,3,5,6,382,392,774,197,223,420
17,4,4,6,3,3,6,430,411,841,253,217,470
18,4,5,3,7,6,7,250,251,501,149,136,285
19,6,5,4,6,4,3,803,798,1601,482,484,966
20,4,5,5,4,7,6,578,574,1152,355,372,727
21,4,6,6,6,3,6,277,271,548,164,155,319
22,5,3,4,5,6,5,654,635,1289,380,375,755
23,7,4,4,4,5,4,423,417,840,244,262,506
24,5,4,3,3,4,7,422,425,847,227,220,447
25,5,8,2,5,4,5,471,560,1031,265,317,582
26,5,5,5,4,5,4,665,664,1329,411,433,844
27,4,5,5,4,3,6,457,470,927,267,272,539
28,4,6,4,6,7,4,305,295,600,189,194,383
29,5,4,7,4,4,6,669,607,1276,439,408,847
30,5,6,5,5,4,5,365,372,737,234,236,470
31,6,7,4,6,5,4,1222,1200,2422,800,747,1547
32,3,3,3,4,4,5,689,664,1353,388,371,759
33,4,3,6,4,5,4,459,460,919,248,253,501
34,4,3,5,5,6,5,256,265,521,126,146,272
35,3,6,4,7,6,5,288,268,556,172,203,375
36,3,4,5,6,3,4,610,616,1226,325,332,657
37,6,4,4,3,3,4,438,430,868,230,219,449
38,5,4,6,6,6,4,1249,1253,2502,824,807,1631
39,9,3,2,5,6,5,444,418,862,256,248,504
40,5,6,5,6,4,8,611,625,1236,426,434,860
41,4,4,5,5,7,4,574,535,1109,351,284,635
42,2,5,5,4,5,4,851,854,1705,500,502,1002
43,4,5,4,3,3,5,664,643,1307,365,381,746
44,4,6,6,5,6,5,810,810,1620,533,545,1078
45,3,4,4,7,3,4,735,717,1452,371,378,749
46,4,5,3,6,5,3,629,622,1251,376,378,754
47,2,4,3,6,5,5,899,882,1781,448,470,918
48,5,4,6,5,6,5,858,852,1710,572,558,1130
49,5,5,3,4,2,8,406,391,797,236,244,480
50,6,4,5,4,4,7,1501,1497,2998,947,963,1910
51,3,4,3,4,4,5,358,355,713,196,194,390
52,3,6,7,5,4,7,419,456,875,279,267,546
53,4,7,3,8,5,5,357,369,726,219,251,470
54,5,4,4,6,4,8,395,371,766,241,231,472
55,7,4,5,6,4,3,944,1004,1948,551,614,1165
56,4,4,6,7,4,5,661,670,1331,408,429,837
57,5,5,6,5,4,4,486,475,961,301,298,599
58,3,4,4,4,3,9,533,556,1089,288,334,622
59,3,5,5,4,4,6,720,753,1473,428,450,878
60,4,5,3,4,6,5,1311,1308,2619,839,833,1672
61,6,4,4,5,6,4,943,910,1853,572,571,1143
62,4,4,6,8,3,6,712,699,1411,490,486,976
63,4,3,3,5,4,6,519,521,1040,291,318,609
64,5,7,4,3,6,4,481,493,974,271,287,558
65,5,3,5,5,5,5,643,640,1283,398,396,794
66,5,4,5,4,4,5,557,573,1130,350,371,721
67,5,5,6,5,4,3,508,512,1020,287,296,583
68,6,4,5,4,4,7,779,782,1561,506,528,1034
69,3,8,7,5,3,3,489,480,969,296,232,528
70,5,4,3,4,7,3,823,847,1670,496,494,990
71,6,5,4,4,6,5,569,550,1119,333,305,638
72,4,5,2,7,7,5,386,390,776,246,247,493
73,3,4,5,5,4,5,262,283,545,154,149,303
74,6,4,3,4,4,4,661,611,1272,372,358,730
75,2,5,4,5,5,5,855,847,1702,482,511,993
76,3,5,6,5,2,3,393,421,814,151,169,320
77,6,6,5,5,5,3,542,529,1071,278,334,612
78,4,5,5,7,4,6,1408,1402,2810,945,907,1852
79,5,5,4,4,3,7,446,450,896,258,261,519
80,3,5,3,3,4,3,360,375,735,188,206,394
81,6,5,5,5,5,4,172,206,378,95,109,204
82,6,3,3,7,5,6,777,753,1530,492,492,984
83,3,4,7,6,6,3,561,561,1122,319,330,649
84,4,4,4,5,8,4,605,572,1177,371,358,729
85,3,7,3,4,7,3,571,561,1132,358,357,715
86,5,3,5,4,3,3,410,394,804,212,217,429
87,4,5,5,5,4,6,705,687,1392,448,434,882
88,3,4,4,4,5,3,816,794,1610,483,457,940
89,6,5,6,4,4,5,819,814,1633,510,532,1042
90,4,5,4,5,7,3,239,251,490,117,190,307
91,5,4,6,5,4,3,826,828,1654,529,540,1069
92,6,7,3,5,7,5,512,519,1031,317,339,656
93,5,4,4,4,6,5,886,958,1844,558,598,1156
94,6,4,5,3,5,4,757,744,1501,434,424,858
95,3,7,8,4,5,5,201,224,425,115,148,263
96,4,5,5,5,5,6,978,902,1880,641,586,1227
97,2,5,6,6,6,4,366,365,731,197,209,406
98,6,4,6,4,3,5,877,901,1778,546,557,1103
99,5,6,5,6,7,5,1266,1251,2517,874,889,1763
