,InA,OutA,InB,OutB,InC,OutC,PosL,NegL,TotL,MPosL,MNegL,MTotL
0,4,6,5,6,4,3,348,341,689,199,204,403
1,4,5,5,6,6,5,404,391,795,256,248,504
2,5,6,5,5,3,5,348,337,685,203,197,400
3,6,5,4,3,7,6,309,298,607,180,175,355
4,6,4,5,4,5,5,292,289,581,165,176,341
5,4,6,6,5,5,3,313,321,634,191,191,382
6,5,5,4,5,4,7,252,242,494,160,131,291
7,5,5,5,4,4,6,338,322,660,198,193,391
8,4,5,5,4,6,5,354,355,709,220,210,430
9,3,5,4,5,6,6,264,258,522,150,146,296
10,5,7,5,3,6,5,310,321,631,192,196,388
11,4,6,3,5,5,5,233,215,448,134,114,248
12,4,5,4,7,5,6,214,223,437,112,155,267
13,4,6,5,3,6,6,355,358,713,219,201,420
14,3,5,6,4,3,7,282,274,556,157,164,321
15,6,5,5,6,6,5,345,361,706,218,238,456
16,5,5,4,4,6,6,294,307,601,159,188,347
17,4,6,5,4,5,5,425,449,874,237,284,521
18,5,4,6,6,6,5,390,371,761,250,236,486
19,6,5,5,5,5,5,388,386,774,243,247,490
20,4,5,6,5,4,4,380,386,766,219,221,440
21,6,6,5,4,4,6,389,354,743,273,181,454
22,3,7,6,6,5,5,313,313,626,186,198,384
23,5,6,4,5,5,5,452,455,907,275,282,557
24,6,6,5,4,3,5,312,315,627,174,193,367
25,5,5,6,5,4,6,313,315,628,203,199,402
26,4,4,5,5,5,6,389,386,775,236,220,456
27,4,6,6,5,6,4,248,248,496,154,153,307
28,7,4,6,4,3,5,367,375,742,214,221,435
29,5,3,5,6,6,5,414,449,863,271,262,533
30,4,6,4,7,6,5,426,412,838,271,265,536
31,5,5,5,5,5,6,335,332,667,210,211,421
32,5,6,5,6,4,7,346,340,686,229,225,454
33,4,4,5,5,6,5,281,264,545,167,148,315
34,6,3,7,4,5,5,249,242,491,141,150,291
35,5,6,3,6,5,4,397,388,785,226,240,466
36,7,4,4,4,5,6,360,345,705,208,211,419
37,4,5,4,3,7,5,257,259,516,148,139,287
38,4,6,5,4,6,6,454,455,909,284,286,570
39,3,5,6,7,4,5,250,245,495,147,151,298
40,6,5,3,4,4,5,355,351,706,178,222,400
41,5,5,5,5,7,5,289,275,564,185,185,370
42,6,5,4,6,5,4,276,263,539,174,160,334
43,5,3,5,5,7,6,229,245,474,132,142,274
44,5,5,5,4,6,5,379,388,767,229,229,458
45,4,5,4,4,4,5,364,366,730,220,204,424
46,5,4,6,6,4,6,375,380,755,228,238,466
47,5,5,6,5,5,5,282,302,584,170,174,344
48,3,7,6,6,6,4,300,274,574,191,177,368
49,4,3,5,5,6,5,369,369,738,202,211,413
50,5,6,5,7,4,5,348,363,711,214,222,436
51,7,4,6,5,2,5,283,273,556,161,154,315
52,3,5,5,6,3,5,282,270,552,158,158,316
53,4,5,5,4,5,6,321,313,634,191,188,379
54,6,4,5,6,5,5,295,309,604,176,197,373
55,5,5,5,5,4,6,458,443,901,279,265,544
56,2,5,6,6,6,3,262,217,479,164,124,288
57,5,5,7,5,4,5,298,306,604,184,200,384
58,4,5,5,6,5,5,375,370,745,227,223,450
59,3,5,6,6,2,6,231,246,477,113,149,262
60,3,6,3,5,7,4,290,298,588,166,173,339
61,4,4,5,6,6,4,354,349,703,218,207,425
62,4,6,4,4,6,4,448,454,902,266,273,539
63,7,5,2,6,4,6,266,253,519,162,137,299
64,6,5,5,5,6,5,475,425,900,282,283,565
65,4,5,5,5,7,5,349,349,698,224,217,441
66,7,5,4,5,6,5,346,403,749,206,266,472
67,5,6,4,6,7,5,330,319,649,224,206,430
68,5,6,5,5,5,5,221,214,435,134,131,265
69,4,5,7,5,4,5,292,296,588,182,174,356
70,3,5,6,4,5,6,411,405,816,244,243,487
71,5,5,5,5,5,5,427,428,855,275,254,529
72,7,4,4,4,5,5,339,289,628,172,194,366
73,3,6,5,6,4,5,349,338,687,211,202,413
74,5,6,5,4,4,5,331,341,672,198,206,404
75,6,5,4,5,5,5,444,437,881,277,261,538
76,5,7,5,4,4,5,292,298,590,169,174,343
77,7,6,5,6,5,4,307,302,609,195,202,397
78,6,4,5,4,4,5,381,346,727,250,181,431
79,5,7,5,5,3,5,388,405,793,234,261,495
80,4,5,6,4,4,5,322,332,654,189,200,389
81,3,3,6,3,6,6,315,298,613,184,169,353
82,4,5,5,5,5,5,385,380,765,229,237,466
83,4,6,5,5,7,5,443,441,884,290,269,559
84,6,5,4,5,3,5,278,306,584,149,186,335
85,4,7,5,6,2,6,206,244,450,110,136,246
86,4,4,4,3,6,7,314,314,628,180,183,363
87,4,7,7,5,4,4,393,428,821,237,264,501
88,5,5,5,4,5,6,446,426,872,277,256,533
89,5,4,5,7,5,6,324,357,681,207,226,433
90,7,6,4,6,4,7,326,294,620,223,185,408
91,5,5,4,6,6,4,334,353,687,199,213,412
92,6,5,5,4,5,4,379,362,741,243,222,465
93,3,6,5,6,5,5,318,296,614,188,182,370
94,6,6,6,6,4,6,363,348,711,237,236,473
95,5,6,4,6,6,5,322,315,637,208,194,402
96,5,7,4,4,4,6,273,271,544,165,158,323
97,4,6,4,4,4,5,358,355,713,202,198,400
98,6,6,5,6,6,4,311,309,620,203,201,404
99,7,5,5,4,5,4,409,414,823,238,245,483
