RN,ConPr
RN001,0.4405316012392056
RN002,0.41873204132787184
RN003,0.4531555050229267
RN004,0.4377525622947562
RN005,0.42070544333362003
RN006,0.4449692844612228
RN007,0.4491227268573517
RN008,0.4184239733629301
RN009,0.4687831972561993
RN010,0.4606466701580446
RN011,0.39336747544286793
RN012,0.4550918256629621
RN013,0.39993479659180026
RN014,0.39411658414947054
RN015,0.43367357918068417
RN016,0.44386642054035913
RN017,0.43916679004319253
RN018,0.4627730489180597
RN019,0.49005850462744427
RN020,0.3966983041698529
RN021,0.41020175586695934
RN022,0.46247279206938163
RN023,0.4332050890006187
RN024,0.45230884943491084
RN025,0.4363082153956102
RN026,0.4546671832412335
RN027,0.43835904494274625
RN028,0.47715329179386384
RN029,0.3895921415732044
RN030,0.4021271231546413
RN031,0.5328529733673841
RN032,0.38905579891291886
RN033,0.4345290973955469
RN034,0.5010423413212435
RN035,0.450850848378572
RN036,0.45918627886323266
RN037,0.44832110693624383
RN038,0.43459429073848527
RN039,0.4428951278642371
RN040,0.42433417054186456
RN041,0.4200858820436421
RN042,0.43315994968817145
RN043,0.41751172041910656
RN044,0.4415241881317337
RN045,0.4892838283227416
RN046,0.5258575371270864
RN047,0.451877227325202
RN048,0.5121588800555145
RN049,0.4546400738977141
RN050,0.42148818841890795
RN051,0.3449443558594842
RN052,0.4032399013943054
RN053,0.46558802738963107
RN054,0.45507324044301534
RN055,0.5316330209084354
RN056,0.5576269283812822
RN057,0.4690354053246842
RN058,0.5289011169513798
RN059,0.37388887414758404
RN060,0.48028500799767343
RN061,0.4487842156454078
RN062,0.4238027313490899
RN063,0.42985422141567015
RN064,0.44105410050004523
RN065,0.5237007051449465
RN066,0.39667611633592825
RN067,0.47200956526227056
RN068,0.4193818181818182
RN069,0.4790297396419623
RN070,0.43199411490777545
RN071,0.41882933835005903
RN072,0.4695336689593231
RN073,0.451501720157962
RN074,0.3995078603369767
RN075,0.443984532432874
RN076,0.4453122764855663
RN077,0.4667761453194511
RN078,0.4682261866877951
RN079,0.4519856528904256
RN080,0.45307701481856943
RN081,0.4448654858455788
RN082,0.41926378000586
RN083,0.48987768072312055
RN084,0.46123662959969236
RN085,0.46769261273078067
RN086,0.43463691600482446
RN087,0.39897437292562166
RN088,0.47485465532548615
RN089,0.47622463406520293
RN090,0.4901106791118577
RN091,0.4172601001198618
RN092,0.5216523174552967
RN093,0.4618616740604663
RN094,0.4423015465664675
RN095,0.437373188026858
RN096,0.44021871726058065
RN097,0.44037186100561193
RN098,0.4626081275774173
RN099,0.4588773304406864
RN100,0.42122321317271627
