,RN,PInA,NInA,PInB,NInB,PInC,NInC
0,RN001,0,2,2,2,1,2
1,RN002,0,2,0,2,1,3
2,RN003,0,2,0,3,1,4
3,RN004,1,2,1,2,0,2
4,RN005,1,2,0,3,1,3
5,RN006,0,2,1,3,0,3
6,RN007,1,2,1,2,0,2
7,RN008,1,2,1,2,0,2
8,RN009,0,2,0,4,0,4
9,RN010,0,2,2,2,1,2
10,RN011,1,2,1,2,0,5
11,RN012,0,2,1,2,0,2
12,RN013,0,3,0,3,0,3
13,RN014,0,2,1,3,0,2
14,RN015,0,3,1,2,2,3
15,RN016,0,3,1,2,0,3
16,RN017,0,4,1,2,0,3
17,RN018,0,3,1,2,1,3
18,RN019,0,2,2,2,1,2
19,RN020,0,4,0,3,0,2
20,RN021,2,3,0,2,0,2
21,RN022,0,3,1,2,1,3
22,RN023,0,2,0,2,2,2
23,RN024,2,2,0,3,0,2
24,RN025,1,2,0,2,1,3
25,RN026,0,2,0,2,2,2
26,RN027,0,2,1,3,0,2
27,RN028,0,3,0,2,1,2
28,RN029,0,2,1,3,1,2
29,RN030,0,3,0,2,0,2
30,RN031,0,2,0,3,1,2
31,RN032,0,2,1,4,1,3
32,RN033,1,3,0,2,1,2
33,RN034,1,3,0,2,2,2
34,RN035,0,2,1,3,0,3
35,RN036,0,2,0,2,0,3
36,RN037,0,2,0,2,0,2
37,RN038,1,2,0,3,1,2
38,RN039,1,2,2,2,0,2
39,RN040,0,3,0,3,0,2
40,RN041,0,3,1,3,0,2
41,RN042,0,5,0,4,0,2
42,RN043,0,2,2,2,1,3
43,RN044,0,2,0,3,2,2
44,RN045,0,2,0,2,0,3
45,RN046,0,2,0,2,1,2
46,RN047,0,3,0,2,0,2
47,RN048,2,3,2,2,0,2
48,RN049,0,2,0,5,0,2
49,RN050,1,3,0,3,1,2
50,RN051,0,2,0,3,1,2
51,RN052,0,3,0,2,0,2
52,RN053,0,4,0,3,2,3
53,RN054,2,3,0,2,0,2
54,RN055,0,3,1,3,1,2
55,RN056,0,2,1,3,1,2
56,RN057,1,4,0,3,0,2
57,RN058,1,2,1,3,1,2
58,RN059,0,3,1,2,1,3
59,RN060,0,2,1,5,1,2
60,RN061,0,2,0,2,0,4
61,RN062,0,2,1,2,2,2
62,RN063,1,2,0,3,0,2
63,RN064,0,3,1,2,0,2
64,RN065,0,3,1,2,0,5
65,RN066,1,3,1,2,0,2
66,RN067,0,2,0,2,2,3
67,RN068,0,2,1,4,0,4
68,RN069,0,3,0,3,2,2
69,RN070,0,3,0,2,0,3
70,RN071,1,3,0,3,0,3
71,RN072,1,2,2,2,0,3
72,RN073,0,2,0,2,1,3
73,RN074,0,2,1,2,0,4
74,RN075,0,2,0,3,1,3
75,RN076,1,2,0,2,1,3
76,RN077,0,3,1,2,0,2
77,RN078,0,2,2,2,0,3
78,RN079,1,2,0,3,0,2
79,RN080,1,2,0,3,0,3
80,RN081,0,3,0,2,0,2
81,RN082,0,2,0,2,0,2
82,RN083,0,3,0,2,3,2
83,RN084,0,3,1,2,0,4
84,RN085,1,2,0,3,0,3
85,RN086,0,2,0,3,0,3
86,RN087,0,2,0,2,0,2
87,RN088,0,3,0,3,0,3
88,RN089,0,2,0,2,1,2
89,RN090,0,2,0,2,0,3
90,RN091,0,2,1,3,1,2
91,RN092,2,2,0,2,0,2
92,RN093,0,2,0,2,2,2
93,RN094,0,3,0,2,1,2
94,RN095,2,3,0,2,1,2
95,RN096,0,2,0,2,1,4
96,RN097,1,2,1,2,0,2
97,RN098,1,2,1,3,0,2
98,RN099,0,4,0,3,0,2
99,RN100,0,3,1,2,1,3
