RN,ConPr
RN001,0.46505248446281483
RN002,0.6156577360382702
RN003,0.4828867362770998
RN004,0.4015802000482044
RN005,0.41666473214631167
RN006,0.49358515098445044
RN007,0.4283819314494161
RN008,0.46099087001647737
RN009,0.41989988884827417
RN010,0.528651287537481
RN011,0.49321810755156464
RN012,0.5972977888637722
RN013,0.5098807432971838
RN014,0.5043503041723372
RN015,0.38449782343177474
RN016,0.5161139059893758
RN017,0.47313753331141717
RN018,0.48001826765675787
RN019,0.42986373084918006
RN020,0.4887648900126784
RN021,0.4532411261446496
RN022,0.45797307312252966
RN023,0.49856910624174483
RN024,0.45789906129707586
RN025,0.4928332586797779
RN026,0.5763272254094001
RN027,0.5194007775237294
RN028,0.4356756850533036
RN029,0.520855455699153
RN030,0.4873257442016193
RN031,0.502897176569743
RN032,0.5054440918325345
RN033,0.5477790383104983
RN034,0.4850650930770167
RN035,0.4958223080407161
RN036,0.4745567381758211
RN037,0.5618882435194149
RN038,0.46668046714623335
RN039,0.47381583742820876
RN040,0.4730046365976966
RN041,0.48248884745988413
RN042,0.44773225551462364
RN043,0.43958028208574923
RN044,0.5222007878483311
RN045,0.5080267181855198
RN046,0.5111864237209709
RN047,0.6234599653727448
RN048,0.46545886111548584
RN049,0.48229498972891777
RN050,0.5324563131810672
RN051,0.4924238072809567
RN052,0.5886111373598018
RN053,0.47676863014286325
RN054,0.3849539118705036
RN055,0.4746424316145789
RN056,0.48149253731343283
RN057,0.5105739902875941
RN058,0.5668217651407379
RN059,0.4770730280642413
RN060,0.4676158257908415
RN061,0.49611846581624724
RN062,0.4955566887642359
RN063,0.5088078879454163
RN064,0.41767269042391486
RN065,0.469582502617863
RN066,0.458697943476236
RN067,0.5420303345212972
RN068,0.39832420238478894
RN069,0.47940500999447117
RN070,0.5043492460260138
RN071,0.469468275114924
RN072,0.5363984674329502
RN073,0.33041832174776564
RN074,0.46082674676892144
RN075,0.4976544377778066
RN076,0.5314951398362893
RN077,0.4815247756226101
RN078,0.4599923003667457
RN079,0.5316256745946799
RN080,0.5043541478987877
RN081,0.5001492827935354
RN082,0.5167401855538639
RN083,0.5178949796917024
RN084,0.5271512533279751
RN085,0.4726963451433631
RN086,0.5982391207664649
RN087,0.5322466527320944
RN088,0.45806849986240966
RN089,0.4793622987276688
RN090,0.49354414447539985
RN091,0.5525739416367956
RN092,0.5264923981937942
RN093,0.5237013947663577
RN094,0.4781659695123663
RN095,0.48466134160711005
RN096,0.4708177092041049
RN097,0.524077016426668
RN098,0.43976226403473656
RN099,0.4787387237283698
RN100,0.4916809887739057
