RN,ConPr
RN001,0.44463698969257776
RN002,0.40941336905377895
RN003,0.43853206243669324
RN004,0.4168884286823712
RN005,0.4645365390699146
RN006,0.4767064250811861
RN007,0.5140570542135907
RN008,0.45517277707543197
RN009,0.47762775506005195
RN010,0.4322011626562385
RN011,0.4313959190767951
RN012,0.4088482764860219
RN013,0.4483420633374213
RN014,0.4347056243246424
RN015,0.47800256658026186
RN016,0.412263181470844
RN017,0.4500745355731886
RN018,0.3980819833638869
RN019,0.4591026872798207
RN020,0.43204084278368016
RN021,0.41335151320714364
RN022,0.45796514267751737
RN023,0.4494104003766089
RN024,0.5079115822642828
RN025,0.4621632488942501
RN026,0.4681468392809634
RN027,0.4701146949544989
RN028,0.4590492048195519
RN029,0.39428545837252005
RN030,0.4137296253028073
RN031,0.42711119962536936
RN032,0.4530227566981209
RN033,0.456378684373955
RN034,0.42557682318207823
RN035,0.45005076023664775
RN036,0.409849275074369
RN037,0.4736376181425261
RN038,0.4149286259126076
RN039,0.44796086978002975
RN040,0.4658676564365016
RN041,0.5038717879570058
RN042,0.38511715062425916
RN043,0.4462388154043034
RN044,0.395048971553224
RN045,0.4474175296762
RN046,0.42522452805510746
RN047,0.43228551169936186
RN048,0.4610474927675988
RN049,0.40217071198710636
RN050,0.42523536703856335
RN051,0.4562385468396198
RN052,0.4901996248660236
RN053,0.43818724664417313
RN054,0.4496549180759707
RN055,0.45260353896579303
RN056,0.4512676734125967
RN057,0.429402266860706
RN058,0.402772582756686
RN059,0.4146125384334775
RN060,0.46231643413193024
RN061,0.4086087366589516
RN062,0.4546668046921396
RN063,0.4682881081809605
RN064,0.4303741178745207
RN065,0.43933715484714997
RN066,0.46983917023599564
RN067,0.4170755944392653
RN068,0.4009018185769194
RN069,0.43831049016243795
RN070,0.4533775124253696
RN071,0.458153739012592
RN072,0.4232349625986269
RN073,0.4348250304906652
RN074,0.46944462341343984
RN075,0.3988280504303512
RN076,0.4384525396523111
RN077,0.3941693490551877
RN078,0.382310997604556
RN079,0.49050954509195416
RN080,0.3997156571025962
RN081,0.4407896480616621
RN082,0.39557619782291936
RN083,0.4004305175435899
RN084,0.4918354243670502
RN085,0.4164765476973048
RN086,0.4288136670976494
RN087,0.43412931447746883
RN088,0.4110808480508876
RN089,0.4063311733075969
RN090,0.42209217264081933
RN091,0.4609789681746508
RN092,0.4875762434360658
RN093,0.44587791388845815
RN094,0.46103295551467943
RN095,0.445168671000865
RN096,0.4226663517742221
RN097,0.5508919500303655
RN098,0.43632797132491147
RN099,0.4908005173818654
RN100,0.4115262945080037
