RN,ConPr
RN001,0.05180964937062498
RN002,0.03957138375151842
RN003,0.02523235829777774
RN004,0.035740851611966835
RN005,0.04465441548939044
RN006,0.06459776468759178
RN007,0.07207706433841296
RN008,0.043373211941845784
RN009,0.0450628092881614
RN010,0.051057354609495474
RN011,0.04222832289706654
RN012,0.08763226315751356
RN013,0.02941525624936404
RN014,0.028555797227152027
RN015,0.031085658081557218
RN016,0.025643777646598847
RN017,0.021462327842290036
RN018,0.10426158623291448
RN019,0.08664446115826797
RN020,0.043849026998447976
RN021,0.0723047881400225
RN022,0.0794270448249687
RN023,0.09527911017389626
RN024,0.05010464957064335
RN025,0.07151060802587296
RN026,0.020742178025709435
RN027,0.13340977212812827
RN028,0.017137560252132
RN029,0.06992435780714219
RN030,0.0963960710674563
RN031,0.041885015569226094
RN032,0.03732531751403432
RN033,0.0216559155029418
RN034,0.05850466122856667
RN035,0.047300975571819885
RN036,0.028955596390663998
RN037,0.03967763715504734
RN038,0.03700864132070334
RN039,0.050674357581645846
RN040,0.05583549584469336
RN041,0.11043200667340423
RN042,0.03838957896661837
RN043,0.04538100898045431
RN044,0.04580365982179925
RN045,0.03159430766965206
RN046,0.085131748619255
RN047,0.05620149992187907
RN048,0.06503482095026167
RN049,0.038386841201175095
RN050,0.029709177539625757
RN051,0.038877332786452994
RN052,0.03561172588420283
RN053,0.05320073664825046
RN054,0.05273240499531961
RN055,0.048661205526347964
RN056,0.043207174378571515
RN057,0.0978950885399265
RN058,0.05952652766929039
RN059,0.0250562891742226
RN060,0.05763031684880887
RN061,0.021394642204657782
RN062,0.03512131274692779
RN063,0.03371780253194164
RN064,0.034225899092748514
RN065,0.12195651436518436
RN066,0.03492542144761613
RN067,0.058063108999487155
RN068,0.06636947020235272
RN069,0.05499542440637693
RN070,0.014307175610945501
RN071,0.04962646291401423
RN072,0.04152372239587304
RN073,0.017646042170757
RN074,0.04363998671537695
RN075,0.08824992988138645
RN076,0.05958904109589041
RN077,0.029484542229377218
RN078,0.02896636241375743
RN079,0.04974043221055173
RN080,0.06454124033073616
RN081,0.03597148232783789
RN082,0.06258278145695365
RN083,0.05303464657220083
RN084,0.04525234492749382
RN085,0.09470850619918943
RN086,0.05154623781152474
RN087,0.051291136997829646
RN088,0.041256071849836075
RN089,0.1162244250355103
RN090,0.03015780102924319
RN091,0.0648552360881128
RN092,0.08088476784773194
RN093,0.03538717735220649
RN094,0.04144966878623803
RN095,0.023911313600973615
RN096,0.025943825883815382
RN097,0.04150175901495163
RN098,0.049519541747521024
RN099,0.13389004655630524
RN100,0.030403405500681765
