RN,ConPr
RN001,0.4795256929403271
RN002,0.4789513060406896
RN003,0.4975759493129719
RN004,0.5050708467134745
RN005,0.4723152473687173
RN006,0.5149251153068805
RN007,0.4374818776378105
RN008,0.5256535660839541
RN009,0.49422154548915115
RN010,0.5432214500669126
RN011,0.5585536259600852
RN012,0.4416521216422721
RN013,0.5650035613743514
RN014,0.5712360390173603
RN015,0.5435667203401258
RN016,0.521093827860872
RN017,0.5335943829327572
RN018,0.46813604573551176
RN019,0.49180186956054583
RN020,0.5615012023945559
RN021,0.4794473378384195
RN022,0.4800126184209229
RN023,0.4672923565838519
RN024,0.5430823699704634
RN025,0.46531321246335905
RN026,0.5590104292990541
RN027,0.4614856812682821
RN028,0.49514275120504264
RN029,0.4944565929531086
RN030,0.4769536328181424
RN031,0.5892097668413457
RN032,0.5030988308051652
RN033,0.5857871978450415
RN034,0.4990115698351923
RN035,0.5537515013782436
RN036,0.4903047091412742
RN037,0.4888236054646536
RN038,0.5208867743368538
RN039,0.5429515671259285
RN040,0.4413625463981868
RN041,0.4486340375699825
RN042,0.5087709426477415
RN043,0.5567056259904913
RN044,0.5039121131798294
RN045,0.5359920746482456
RN046,0.5004744410111676
RN047,0.4860684339357325
RN048,0.46334528371863026
RN049,0.5331388867465486
RN050,0.5281566001135852
RN051,0.5095728473910878
RN052,0.542037929736234
RN053,0.5366482504604052
RN054,0.5395583742716368
RN055,0.474496771110049
RN056,0.5328845403026395
RN057,0.46660726881241416
RN058,0.4503514991287628
RN059,0.5606858151280959
RN060,0.5182940339792294
RN061,0.5418469585953576
RN062,0.47986200321561595
RN063,0.5221983451743999
RN064,0.5462274003002415
RN065,0.43187137478375903
RN066,0.535917814520457
RN067,0.5436003843365185
RN068,0.4909214941261393
RN069,0.555725913914621
RN070,0.6163175736792015
RN071,0.44266056995214986
RN072,0.525907854946507
RN073,0.5254580020739716
RN074,0.4484888741281966
RN075,0.46144381010974694
RN076,0.49617351598173515
RN077,0.5592622405072096
RN078,0.5480849573860245
RN079,0.4791600088061302
RN080,0.511771430174415
RN081,0.5677006365294368
RN082,0.487408940397351
RN083,0.4571463674338603
RN084,0.4725486179194896
RN085,0.4407659656106861
RN086,0.5694127133449806
RN087,0.44106096174572945
RN088,0.5824610612153917
RN089,0.4726872978935598
RN090,0.577577376161557
RN091,0.49888771806580023
RN092,0.45245824008798796
RN093,0.5112225319480144
RN094,0.5447913131998643
RN095,0.5117801251345743
RN096,0.5044097002689757
RN097,0.4811936565523307
RN098,0.49410179980128166
RN099,0.44809475486284867
RN100,0.5904885430177259
