RN,ConPr
RN001,0.05728694399244786
RN002,0.06831837728513362
RN003,0.0458103203408553
RN004,0.018983098076437447
RN005,0.05610433764026084
RN006,0.027015314413903424
RN007,0.027473380969864715
RN008,0.026598065851152184
RN009,0.08885583784398823
RN010,0.06407314576199385
RN011,0.0782879080265392
RN012,0.032371011828451174
RN013,0.03204431604336187
RN014,0.07255660100783813
RN015,0.035359933086448185
RN016,0.020306978216150642
RN017,0.04126853377265239
RN018,0.06679675662091344
RN019,0.029143948409952672
RN020,0.10942220920791684
RN021,0.04020730837120216
RN022,0.03743917641854667
RN023,0.017005484389837407
RN024,0.0542157592046009
RN025,0.07072444261661744
RN026,0.04322149893649151
RN027,0.03823428669292687
RN028,0.07310070367259257
RN029,0.04590227103051321
RN030,0.04432230303592858
RN031,0.045927851410781484
RN032,0.05470150504907208
RN033,0.04421006886407702
RN034,0.038816922978750557
RN035,0.03211282743615118
RN036,0.054490174374308184
RN037,0.025712817686963384
RN038,0.03770911877869214
RN039,0.061540071300981325
RN040,0.04894285116181704
RN041,0.03409791389546767
RN042,0.046877080836329736
RN043,0.03621666666666667
RN044,0.06913404147107138
RN045,0.037571698756704804
RN046,0.06513630521011585
RN047,0.05084565785514975
RN048,0.06918592533175011
RN049,0.12221928743323356
RN050,0.0413249084934142
RN051,0.05296632195646989
RN052,0.03816730417428904
RN053,0.180298427047009
RN054,0.03352782320003964
RN055,0.06226094684886286
RN056,0.030897749865606308
RN057,0.027101356201125762
RN058,0.03289255760338134
RN059,0.03626871564750343
RN060,0.07316950274970488
RN061,0.0550255355369556
RN062,0.03707584069897389
RN063,0.04199581891846891
RN064,0.08948861144410983
RN065,0.03240781708404523
RN066,0.04088057033381051
RN067,0.03676770027343068
RN068,0.06231543937086196
RN069,0.03952929367636959
RN070,0.06410544928468091
RN071,0.06395381113640149
RN072,0.054930034577024375
RN073,0.0910642268680374
RN074,0.05683531764809802
RN075,0.032163443500801525
RN076,0.03257040726023356
RN077,0.03975257853567189
RN078,0.03513156073630953
RN079,0.05374970808033629
RN080,0.06252999368553988
RN081,0.07648347272003186
RN082,0.12310657391513838
RN083,0.05760710952186888
RN084,0.02096024046028937
RN085,0.07066224943948064
RN086,0.09098091947705234
RN087,0.061998392129610704
RN088,0.0757128964457132
RN089,0.06454908382179265
RN090,0.04425414148270956
RN091,0.046700277251873756
RN092,0.06255247413479655
RN093,0.08541496573677403
RN094,0.028208607260923994
RN095,0.024775783232249222
RN096,0.039097415796547776
RN097,0.052156335052393796
RN098,0.025594274622163512
RN099,0.08760797499776013
RN100,0.03253538090936465
