,RN,PInA,NInA,PInB,NInB,PInC,NInC
0,RN001,1,4,0,5,0,4
1,RN002,3,5,2,4,2,2
2,RN003,2,5,2,3,2,4
3,RN004,1,4,0,2,1,3
4,RN005,1,4,1,3,3,4
5,RN006,1,4,1,4,1,2
6,RN007,2,5,0,3,0,4
7,RN008,5,5,0,2,0,4
8,RN009,4,3,1,4,2,6
9,RN010,1,3,1,3,2,3
10,RN011,1,4,2,7,0,3
11,RN012,1,6,2,3,2,6
12,RN013,1,4,1,2,3,3
13,RN014,7,2,1,5,4,2
14,RN015,1,5,1,3,0,4
15,RN016,1,3,0,4,2,5
16,RN017,1,3,4,4,2,4
17,RN018,3,3,2,3,0,4
18,RN019,1,2,0,5,0,2
19,RN020,3,3,4,6,4,3
20,RN021,0,3,3,3,3,5
21,RN022,2,6,2,2,0,5
22,RN023,2,3,2,3,1,8
23,RN024,4,4,2,5,1,5
24,RN025,1,2,2,4,1,3
25,RN026,1,3,1,2,1,5
26,RN027,1,8,3,3,0,3
27,RN028,3,4,2,3,2,4
28,RN029,1,4,0,3,1,3
29,RN030,1,4,0,4,3,4
30,RN031,1,4,3,7,0,3
31,RN032,2,4,0,5,2,4
32,RN033,1,5,2,4,4,2
33,RN034,1,5,2,3,1,4
34,RN035,1,4,2,3,1,3
35,RN036,2,4,2,3,2,5
36,RN037,1,3,0,2,1,4
37,RN038,2,3,0,3,2,5
38,RN039,1,3,2,5,3,7
39,RN040,2,3,1,8,2,3
40,RN041,1,3,1,4,3,4
41,RN042,1,5,1,2,2,4
42,RN043,3,4,1,2,0,3
43,RN044,1,5,0,5,2,3
44,RN045,1,2,1,4,3,2
45,RN046,2,2,1,7,3,3
46,RN047,1,2,1,4,2,4
47,RN048,2,4,4,2,1,5
48,RN049,3,2,5,4,1,2
49,RN050,2,3,0,4,2,4
50,RN051,2,5,1,2,3,3
51,RN052,4,3,0,3,1,4
52,RN053,3,3,3,3,4,4
53,RN054,2,5,2,4,2,4
54,RN055,3,3,3,2,0,2
55,RN056,4,3,0,4,2,5
56,RN057,1,5,0,2,1,4
57,RN058,2,4,1,2,3,4
58,RN059,3,3,1,3,1,2
59,RN060,6,4,1,3,3,4
60,RN061,2,2,0,3,1,4
61,RN062,0,3,2,4,1,3
62,RN063,0,2,2,5,1,4
63,RN064,2,4,2,5,2,3
64,RN065,1,3,2,3,4,3
65,RN066,3,3,1,5,2,5
66,RN067,2,4,1,4,0,4
67,RN068,3,5,2,2,2,4
68,RN069,0,4,1,3,1,5
69,RN070,1,3,3,3,4,3
70,RN071,4,3,1,4,1,3
71,RN072,3,3,0,2,2,5
72,RN073,3,7,4,3,1,5
73,RN074,3,3,2,3,0,6
74,RN075,1,4,3,2,1,3
75,RN076,0,2,1,2,2,2
76,RN077,0,4,3,2,1,5
77,RN078,1,5,0,4,3,3
78,RN079,3,4,3,4,1,5
79,RN080,5,3,4,3,0,3
80,RN081,2,3,0,3,4,3
81,RN082,2,2,1,6,3,3
82,RN083,1,5,1,2,2,3
83,RN084,1,5,1,4,3,3
84,RN085,1,2,1,2,1,4
85,RN086,1,4,4,4,3,3
86,RN087,3,3,0,3,3,3
87,RN088,1,4,5,3,2,4
88,RN089,0,4,1,2,3,2
89,RN090,0,3,0,3,1,3
90,RN091,1,4,3,4,0,4
91,RN092,3,2,2,4,3,3
92,RN093,1,4,3,3,3,4
93,RN094,0,3,1,2,0,2
94,RN095,1,5,1,5,3,2
95,RN096,2,6,2,5,1,2
96,RN097,5,2,0,2,3,3
97,RN098,1,3,3,5,1,4
98,RN099,3,4,2,2,4,7
99,RN100,2,5,3,2,0,2
