,InA,OutA,InB,OutB,InC,OutC,f1,f2,f3,NetP,NetS,f1/f2,f1/f3,log2(InTT)
18,2.0,4.0,4.0,3.0,3.0,3.0,0.5106175759578427,0.4524774343901633,0.0369049896519939,E:2N,5N,1.128492908482915,13.836003770028292,3.169925001442312
19,4.0,3.0,3.0,4.0,2.0,3.0,0.5758319790857062,0.3903412704020349,0.0338267505122588,E:2N,5N,1.4752013756901075,17.022976501305525,3.169925001442312
20,5.0,3.0,2.0,3.0,2.0,3.0,0.5556982041928261,0.4010270701883484,0.0432747256188254,E:2N,5N,1.3856875146404308,12.841172214182356,3.169925001442312
21,3.0,3.0,3.0,3.0,4.0,3.0,0.5806863634835804,0.4004403213337367,0.0188733151826829,E:2N,5N,1.4501196122046418,30.767586821015193,3.321928094887362
22,2.0,3.0,2.0,3.0,4.0,3.0,0.5835443569260041,0.3799264098940918,0.036529233179904,E:2N,5N,1.535940491972308,15.974722328609737,3.0
23,4.0,3.0,3.0,3.0,2.0,3.0,0.5855082352495214,0.3895301453725289,0.0249616193779496,E:2N,5N,1.503114052160374,23.45634016704634,3.169925001442312
24,3.0,4.0,2.0,3.0,4.0,3.0,0.5439237765266349,0.4059246427024686,0.0501515807708964,E:2N,5N,1.3399624445203142,10.8455958549223,3.169925001442312
25,2.0,3.0,2.0,3.0,4.0,3.0,0.5766914261184031,0.384296176811104,0.0390123970704928,E:2N,5N,1.500643152122402,14.782260753584561,3.0
26,2.0,3.0,4.0,3.0,2.0,3.0,0.6387387818213699,0.3336043230835445,0.0276568950950855,E:2N,5N,1.914659785932722,23.09510086455333,3.0
27,3.0,3.0,2.0,3.0,3.0,4.0,0.6347731239092496,0.3335951134380454,0.031631762652705,E:2N,5N,1.902825006539367,20.06758620689659,3.0
28,2.0,3.0,4.0,3.0,3.0,4.0,0.6458180752892925,0.3315198058130532,0.0226621188976542,E:2N,5N,1.9480527677838795,28.49769159741468,3.169925001442312
29,3.0,4.0,2.0,4.0,2.0,3.0,0.6554075262442018,0.3191852962717539,0.0254071774840442,E:2N,5N,2.0533763111888113,25.796156485930016,2.807354922057604
30,2.0,3.0,3.0,3.0,3.0,3.0,0.5300966283502261,0.4299813835288555,0.0399219881209184,E:2N,5N,1.2328362311868601,13.27831236121392,3.0
31,2.0,4.0,5.0,3.0,4.0,3.0,0.5822488594084075,0.3886260711459789,0.0291250694456135,E:2N,5N,1.4982238780107433,19.99132947976883,3.4594316186372973
32,4.0,3.0,2.0,3.0,3.0,3.0,0.560774230929403,0.4130257654493111,0.0262000036212859,E:2N,5N,1.3577221515935294,21.403593642017984,3.169925001442312
33,4.0,3.0,2.0,3.0,4.0,3.0,0.5341541189424163,0.4269658101325554,0.0388800709250282,E:2N,5N,1.2510465856190762,13.738506803972061,3.321928094887362
34,2.0,3.0,4.0,3.0,3.0,3.0,0.6279724369870775,0.3545904845460693,0.0174370784668531,E:2N,5N,1.770979381443299,36.013626834381554,3.169925001442312
35,2.0,3.0,2.0,3.0,3.0,3.0,0.6222068027981534,0.3480557364977767,0.0297374607040697,E:2N,5N,1.7876642662435416,20.923333333333392,2.807354922057604
36,2.0,4.0,2.0,4.0,2.0,3.0,0.6985005037833139,0.2804196218661714,0.0210798743505146,E:2N,5N,2.490911652811047,33.135895032802324,2.584962500721156
37,3.0,3.0,3.0,3.0,3.0,3.0,0.514211193699034,0.4263255017989505,0.0594633045020154,E:2N,5N,1.2061469265367317,8.647538141470186,3.169925001442312
38,3.0,3.0,4.0,3.0,2.0,3.0,0.5204017115381788,0.4199150112485112,0.05968327721331,E:2N,5N,1.2393024721619164,8.71938901207194,3.169925001442312
39,3.0,3.0,3.0,4.0,2.0,3.0,0.6248859142074841,0.3451137477605381,0.0300003380319778,E:2N,5N,1.8106665360693475,20.829295774647907,3.0
40,3.0,3.0,4.0,4.0,2.0,3.0,0.5343307695009307,0.4264566431356021,0.0392125873634671,E:2N,5N,1.2529544986617256,13.626511419614884,3.169925001442312
