RN,ConPr
RN001,0.44864421727303216
RN002,0.440144716947788
RN003,0.4176976487296828
RN004,0.3791133674100262
RN005,0.46331969115829924
RN006,0.42996985552319467
RN007,0.46526110656084957
RN008,0.38785737411844196
RN009,0.4413371044033745
RN010,0.4471846648074275
RN011,0.47889888238061795
RN012,0.45301879490094576
RN013,0.4809165363513478
RN014,0.43564383819275043
RN015,0.4515270715017365
RN016,0.45692019621288044
RN017,0.41385914332784185
RN018,0.43818879304610064
RN019,0.4064238465583571
RN020,0.4593510002528916
RN021,0.39381079355541365
RN022,0.46636104073671936
RN023,0.4453305168504486
RN024,0.43958118366008364
RN025,0.47686344886030835
RN026,0.423385619823027
RN027,0.40811782839527316
RN028,0.4354645478456051
RN029,0.4348272844768763
RN030,0.4386151020705842
RN031,0.45069443394943254
RN032,0.45566747056320045
RN033,0.4474493548171425
RN034,0.4202667347329462
RN035,0.4131937845294815
RN036,0.4782499317165735
RN037,0.37741174017618456
RN038,0.4247791721180123
RN039,0.4855417454540019
RN040,0.44954574000418673
RN041,0.43217727022029007
RN042,0.49744972699427353
RN043,0.404875
RN044,0.4475531834045563
RN045,0.42533097696338323
RN046,0.44623889094794617
RN047,0.44334652799490304
RN048,0.4842320008589817
RN049,0.3772084287139755
RN050,0.47188677228886694
RN051,0.4212415682581229
RN052,0.41918205000277176
RN053,0.4109283565559663
RN054,0.42723353649472273
RN055,0.4060927803964513
RN056,0.44041879634449155
RN057,0.37120622568093387
RN058,0.4875385899593232
RN059,0.4832131061237536
RN060,0.42784544067259794
RN061,0.4062219227313567
RN062,0.4642893426800772
RN063,0.4243612750448634
RN064,0.4273032952252858
RN065,0.47625400758292546
RN066,0.5358986959525387
RN067,0.4867575193437664
RN068,0.42084486027789003
RN069,0.48320038036874635
RN070,0.42041472432084875
RN071,0.4006643350173023
RN072,0.5217510703898341
RN073,0.45564070279494573
RN074,0.3795246477762425
RN075,0.45494730379617315
RN076,0.32326606396085306
RN077,0.48290683358031244
RN078,0.4420394605317791
RN079,0.39288007940214853
RN080,0.42023153020416754
RN081,0.43367184388689767
RN082,0.380261189909758
RN083,0.4575637267146069
RN084,0.422174991774195
RN085,0.4622360539437138
RN086,0.48539024773271566
RN087,0.4240417501260407
RN088,0.418248266775418
RN089,0.44708337257913766
RN090,0.4624166155372505
RN091,0.5427471335276224
RN092,0.44096122698575346
RN093,0.42416681191461253
RN094,0.461457732066957
RN095,0.5077610887233551
RN096,0.4507624161607066
RN097,0.4511650846033476
RN098,0.4990666493020025
RN099,0.447252336054558
RN100,0.4126543209876543
