,InA,OutA,InB,OutB,InC,OutC,PosL,NegL,TotL,MPosL,MNegL,MTotL
0,5,8,5,9,4,4,187040,187126,374166,123935,123371,247306
1,8,5,6,6,4,4,368290,368391,736681,234016,233664,467680
2,7,5,5,6,6,3,107831,108072,215903,72553,72796,145349
3,5,6,2,5,4,4,61557,61668,123225,38469,38800,77269
4,5,5,4,5,7,4,170057,170248,340305,117923,118030,235953
5,5,3,5,5,3,6,184395,184659,369054,112617,112696,225313
6,7,6,3,5,4,4,184586,184702,369288,109861,109933,219794
7,10,3,2,7,4,4,122987,122918,245905,78125,78375,156500
8,7,4,5,4,8,5,89482,89524,179006,57224,56838,114062
9,4,5,4,7,5,7,186842,186518,373360,119759,118588,238347
10,5,3,9,5,3,6,319831,319832,639663,204343,205548,409891
11,7,4,5,5,8,6,87138,87139,174277,61676,61708,123384
12,5,7,3,5,6,5,242716,242169,484885,139918,139495,279413
13,9,4,6,4,6,4,251126,251589,502715,168152,167966,336118
14,6,8,4,8,4,4,191037,191410,382447,118716,118958,237674
15,4,4,4,5,7,5,294413,294169,588582,194906,195012,389918
16,4,10,8,5,6,5,91415,92061,183476,66270,66725,132995
17,6,4,5,5,4,6,231618,232167,463785,148404,148891,297295
18,3,6,5,6,2,5,85597,85656,171253,44229,44569,88798
19,6,5,10,4,7,4,156510,156868,313378,101246,102138,203384
20,3,5,6,3,8,6,65932,66207,132139,39004,39167,78171
21,8,4,4,9,5,5,79864,79747,159611,53756,53726,107482
22,5,8,5,4,9,5,194538,193217,387755,129007,128352,257359
23,8,5,7,7,6,3,32633,32690,65323,20973,21009,41982
24,3,5,6,5,4,5,189637,189521,379158,112796,112453,225249
25,4,6,3,3,6,6,132546,132396,264942,70854,70834,141688
26,9,5,6,5,3,7,356907,356930,713837,253022,252983,506005
27,7,6,5,4,6,5,321439,321630,643069,198218,199230,397448
28,5,5,3,7,4,5,132705,132919,265624,82159,82322,164481
29,5,6,4,5,7,7,37251,37367,74618,25953,26060,52013
30,5,7,10,4,3,4,88562,88574,177136,43789,43847,87636
31,6,4,5,4,6,7,310461,309731,620192,196496,195561,392057
32,6,7,6,3,6,5,422171,422826,844997,265341,265834,531175
33,6,6,5,7,5,7,250667,251040,501707,175165,175326,350491
34,5,5,5,5,4,7,161615,161594,323209,106972,106124,213096
35,6,3,5,5,7,6,14835,14858,29693,9806,9706,19512
36,4,4,2,8,5,5,229631,229533,459164,150800,150612,301412
37,5,5,3,6,7,5,227050,226994,454044,147786,147712,295498
38,4,4,7,6,10,6,71258,70904,142162,45758,45451,91209
39,5,5,9,4,5,4,35077,35146,70223,21286,21581,42867
40,4,5,5,5,7,7,132768,132281,265049,84249,83291,167540
41,6,5,3,7,6,6,343010,342625,685635,226070,225717,451787
42,7,6,3,5,3,6,75349,75273,150622,48553,48420,96973
43,6,7,5,7,5,5,192374,192636,385010,139403,139812,279215
44,3,6,5,4,5,6,425919,426481,852400,272248,272708,544956
45,4,6,8,4,6,3,144996,145341,290337,94134,94280,188414
46,3,4,5,9,6,7,218985,218878,437863,136938,136413,273351
47,6,7,6,4,6,4,134573,135451,270024,88813,89180,177993
48,5,4,9,4,3,4,51818,52168,103986,27000,27267,54267
49,5,6,4,6,6,5,97265,96939,194204,62746,62307,125053
50,7,4,3,5,6,5,51635,51646,103281,31669,31714,63383
51,7,5,3,5,5,4,53804,54049,107853,31759,31726,63485
52,6,7,6,4,8,6,280740,280489,561229,192094,191849,383943
53,7,4,6,3,6,4,98807,98776,197583,64479,64487,128966
54,6,6,5,4,2,9,29485,29348,58833,18902,18841,37743
55,7,6,4,3,7,5,22383,22240,44623,12821,12681,25502
56,6,6,2,5,5,5,64649,64607,129256,37263,37340,74603
57,6,4,3,3,7,8,79688,80088,159776,42588,43023,85611
58,6,3,4,7,3,6,92449,92363,184812,57816,57895,115711
59,10,3,4,6,7,4,54047,53856,107903,36577,36311,72888
60,4,3,3,8,5,7,203108,202808,405916,126562,126567,253129
61,3,4,6,5,4,6,423512,424071,847583,253239,253713,506952
62,2,6,7,8,5,4,225056,225017,450073,133643,133310,266953
63,6,6,7,5,5,4,249019,249114,498133,155729,155690,311419
64,4,7,5,6,7,4,461955,462017,923972,305519,305679,611198
65,6,4,6,7,7,5,254048,253905,507953,165543,165697,331240
66,6,5,5,7,4,6,47850,48055,95905,32746,32981,65727
67,8,4,4,6,6,4,31629,31504,63133,20581,20554,41135
68,4,6,4,4,6,5,125351,125722,251073,77999,77598,155597
69,4,5,6,5,7,5,167115,167479,334594,113761,113567,227328
70,7,4,5,8,4,5,66660,66510,133170,41318,41239,82557
71,6,5,2,3,7,4,46554,46490,93044,21512,21434,42946
72,10,4,7,6,6,7,162325,162569,324894,118199,118293,236492
73,6,4,5,4,6,7,201033,201039,402072,131603,131571,263174
74,5,6,5,6,4,4,163415,164431,327846,97116,95836,192952
75,2,7,3,6,4,6,171715,171251,342966,98832,98667,197499
76,4,6,5,4,6,5,349111,349877,698988,223013,223555,446568
77,6,5,4,5,6,4,46100,46143,92243,26864,26745,53609
78,7,5,7,7,6,4,114285,114357,228642,84189,84284,168473
79,8,4,7,6,3,6,80457,80563,161020,53201,53197,106398
80,5,4,3,5,7,6,178188,178554,356742,106407,106913,213320
81,4,4,7,3,6,6,241132,241111,482243,145869,146282,292151
82,6,4,3,5,5,7,160589,160689,321278,98479,98272,196751
83,6,6,5,6,6,3,45477,45624,91101,28587,28738,57325
84,3,4,3,7,5,3,396655,396920,793575,224730,224700,449430
85,5,3,8,9,6,5,156989,157186,314175,83517,83933,167450
86,6,5,3,5,6,5,161943,161975,323918,99389,99236,198625
87,5,7,8,6,6,3,53203,53191,106394,34161,34143,68304
88,4,7,3,7,5,7,86807,86399,173206,58841,58488,117329
89,3,5,3,4,4,7,112183,112758,224941,63896,64402,128298
90,5,5,7,3,4,4,106474,104895,211369,64876,64620,129496
91,5,5,6,6,6,7,469427,469719,939146,316162,316364,632526
92,5,5,6,7,7,4,163264,163284,326548,110790,110889,221679
93,3,6,3,8,2,4,70908,70987,141895,36936,36821,73757
94,6,7,6,7,5,5,187438,187209,374647,131253,130932,262185
95,8,5,7,8,3,5,123933,123869,247802,64748,65318,130066
96,7,7,2,4,6,4,417193,417104,834297,263745,263795,527540
97,4,4,8,6,5,5,78689,79014,157703,43611,43558,87169
98,7,6,4,5,11,5,103369,104770,208139,69175,70170,139345
99,7,8,5,7,2,8,64030,64017,128047,39667,39597,79264
