,RN,PInA,NInA,PInB,NInB,PInC,NInC
0,RN001,1,2,0,3,1,4
1,RN002,2,2,0,3,2,2
2,RN003,1,3,1,3,0,4
3,RN004,1,3,2,4,1,3
4,RN005,1,5,2,4,1,2
5,RN006,1,2,1,2,0,4
6,RN007,1,3,1,3,1,2
7,RN008,1,3,1,3,1,2
8,RN009,1,4,1,3,2,3
9,RN010,2,3,2,2,2,3
10,RN011,0,4,1,3,1,3
11,RN012,1,3,1,2,1,6
12,RN013,1,2,1,4,1,3
13,RN014,2,3,1,3,0,3
14,RN015,0,2,2,5,1,3
15,RN016,1,5,1,3,1,3
16,RN017,2,2,1,2,2,3
17,RN018,0,4,1,5,1,2
18,RN019,1,3,0,3,2,4
19,RN020,1,5,1,3,0,4
20,RN021,1,3,2,3,2,5
21,RN022,1,3,1,5,1,2
22,RN023,2,3,0,4,4,2
23,RN024,3,4,2,2,2,3
24,RN025,0,5,0,3,1,3
25,RN026,2,3,0,2,0,4
26,RN027,1,4,3,2,3,2
27,RN028,0,4,2,3,0,3
28,RN029,0,4,1,3,3,4
29,RN030,2,3,3,4,0,4
30,RN031,1,4,1,4,1,3
31,RN032,2,4,2,2,2,3
32,RN033,0,3,1,2,0,4
33,RN034,1,3,2,4,2,3
34,RN035,1,3,1,4,2,4
35,RN036,0,3,1,3,3,3
36,RN037,0,3,2,3,0,3
37,RN038,3,3,0,4,1,2
38,RN039,3,2,2,4,1,5
39,RN040,4,5,0,2,3,3
40,RN041,1,4,1,4,1,3
41,RN042,0,4,1,4,3,4
42,RN043,0,2,1,4,1,4
43,RN044,0,4,0,4,1,2
44,RN045,1,3,3,3,2,4
45,RN046,1,2,2,2,0,3
46,RN047,1,3,0,3,1,4
47,RN048,0,2,0,3,0,5
48,RN049,1,4,3,3,4,2
49,RN050,3,2,1,2,0,2
50,RN051,2,4,3,2,0,4
51,RN052,0,3,1,2,1,3
52,RN053,0,3,2,5,2,2
53,RN054,2,2,0,3,1,4
54,RN055,1,4,2,2,1,3
55,RN056,2,5,2,3,1,3
56,RN057,1,3,0,6,0,4
57,RN058,1,4,1,5,1,3
58,RN059,1,2,2,2,1,2
59,RN060,1,2,0,5,1,3
60,RN061,1,3,1,2,1,5
61,RN062,2,4,1,3,2,4
62,RN063,1,3,2,4,0,3
63,RN064,1,3,1,2,1,3
64,RN065,1,4,1,3,1,5
65,RN066,2,3,1,4,1,4
66,RN067,1,4,1,4,2,2
67,RN068,0,5,1,5,2,2
68,RN069,2,4,1,4,1,3
69,RN070,0,3,3,4,0,3
70,RN071,3,2,0,3,3,4
71,RN072,2,4,1,3,2,4
72,RN073,1,3,0,2,2,5
73,RN074,1,2,2,3,0,4
74,RN075,2,4,1,2,0,4
75,RN076,0,2,2,2,1,4
76,RN077,0,3,2,4,0,2
77,RN078,4,2,2,3,2,3
78,RN079,1,3,1,4,2,2
79,RN080,1,4,0,4,1,2
80,RN081,1,2,1,2,1,3
81,RN082,2,4,2,3,3,2
82,RN083,2,4,0,3,2,3
83,RN084,0,3,2,5,3,3
84,RN085,0,4,1,3,2,6
85,RN086,0,3,0,3,4,3
86,RN087,3,2,1,4,1,2
87,RN088,1,3,2,3,1,3
88,RN089,0,3,1,3,2,3
89,RN090,2,4,1,5,1,3
90,RN091,1,3,1,3,3,4
91,RN092,2,3,3,3,2,2
92,RN093,2,4,1,2,1,6
93,RN094,2,3,2,2,3,3
94,RN095,3,3,0,5,0,5
95,RN096,0,3,1,7,2,3
96,RN097,2,2,1,4,1,4
97,RN098,0,2,2,4,2,4
98,RN099,3,3,1,5,0,3
99,RN100,2,3,2,3,3,4
