,InA,OutA,InB,OutB,InC,OutC
0,3,3,5,3,2,4
1,3,5,2,3,4,4
2,4,4,5,6,2,4
3,4,5,4,3,4,3
4,3,3,5,5,3,4
5,2,4,3,3,4,5
6,4,5,3,3,2,3
7,3,3,2,5,2,3
8,5,3,4,6,6,3
9,2,4,2,4,2,4
10,2,5,3,3,4,3
11,3,3,4,3,4,4
12,5,3,4,3,4,4
13,3,4,2,5,6,4
14,3,3,3,4,4,3
15,2,4,6,4,4,4
16,4,3,3,3,4,3
17,2,3,6,4,3,3
18,4,5,2,4,2,4
19,3,3,2,3,5,4
20,3,3,5,3,2,6
21,5,4,2,4,4,4
22,4,4,2,4,5,3
23,4,3,3,6,4,4
24,5,3,4,3,6,3
25,3,4,3,5,5,3
26,2,5,3,3,3,3
27,5,3,4,4,5,3
28,2,5,5,3,4,3
29,7,4,2,4,4,3
30,4,5,5,3,2,3
31,5,4,5,3,3,4
32,4,4,5,3,5,4
33,4,3,2,4,3,6
34,3,3,3,3,2,3
35,3,3,5,3,4,3
36,4,3,4,4,4,3
37,3,5,5,3,2,4
38,3,4,5,3,2,4
39,6,4,3,4,4,3
40,4,3,2,4,5,3
41,4,6,3,3,3,4
42,5,3,3,4,3,3
43,3,3,5,3,6,5
44,2,4,2,5,3,3
45,3,4,4,3,4,4
46,6,3,5,4,4,3
47,3,4,2,3,4,5
48,3,4,5,4,3,3
49,3,4,3,3,3,5
50,5,5,4,4,2,3
51,4,4,2,5,4,4
52,3,4,2,6,3,3
53,3,5,2,4,3,4
54,2,4,4,4,2,3
55,4,3,3,4,3,3
56,3,4,3,3,5,5
57,6,3,3,4,3,4
58,7,4,3,3,4,3
59,3,5,2,3,6,5
60,2,3,2,3,5,5
61,2,5,2,6,4,3
62,2,3,3,4,4,3
63,3,3,4,4,3,4
64,2,3,3,5,3,3
65,3,3,3,3,2,3
66,3,4,3,5,2,5
67,3,3,4,4,3,5
68,2,5,6,4,2,4
69,3,3,5,3,3,3
70,3,4,2,4,5,4
71,3,3,4,3,3,3
72,4,3,5,3,2,3
73,3,3,3,3,3,4
74,3,4,4,3,4,4
75,4,3,3,5,3,3
76,5,4,4,3,2,3
77,4,3,3,4,3,3
78,3,3,3,5,3,5
79,4,4,3,4,4,3
80,3,5,3,3,3,5
81,3,5,2,3,3,5
82,4,3,2,4,4,3
83,6,3,4,3,5,3
84,4,3,3,3,3,4
85,4,3,6,3,3,4
86,2,4,3,6,3,3
87,3,3,2,3,6,3
88,3,6,5,3,3,4
89,4,3,3,4,4,3
90,5,5,4,4,4,3
91,5,4,3,3,3,5
92,4,3,3,3,4,3
93,3,4,4,3,3,4
94,4,3,2,4,4,6
95,6,3,7,4,4,5
96,7,4,4,3,7,3
97,4,4,4,4,3,4
98,4,5,7,3,4,3
99,3,3,3,3,9,3
