,InA,OutA,InB,OutB,InC,OutC
0,3,4,3,5,5,3
1,3,3,4,5,4,4
2,2,3,4,3,4,5
3,4,3,4,4,3,4
4,4,4,2,4,5,4
5,2,3,4,3,3,3
6,2,3,4,5,5,4
7,3,3,3,3,3,4
8,2,3,5,3,3,3
9,3,4,3,3,2,3
10,2,4,3,4,3,3
11,2,3,4,3,3,6
12,4,4,4,4,2,4
13,4,4,3,3,4,4
14,2,3,4,4,4,3
15,2,3,3,5,6,4
16,3,5,4,3,3,3
17,5,3,2,5,5,3
18,6,3,3,5,6,3
19,5,4,3,3,3,4
20,4,4,4,4,5,4
21,6,4,4,3,2,3
22,4,4,5,4,4,3
23,3,5,4,4,4,5
24,3,5,4,4,5,4
25,6,5,3,4,2,3
26,2,4,4,3,5,3
27,4,4,5,4,5,3
28,3,4,4,4,5,4
29,3,3,3,3,5,5
30,4,4,4,3,4,4
31,5,3,4,4,2,4
32,2,4,3,4,3,3
33,5,5,4,5,3,3
34,4,3,4,3,4,4
35,2,3,2,3,3,4
36,6,4,3,3,3,6
37,4,3,3,3,4,3
38,2,6,4,4,2,3
39,2,3,4,3,3,5
40,3,3,3,3,3,3
41,7,5,4,4,3,5
42,4,3,3,5,3,4
43,3,3,4,3,3,3
44,5,3,3,5,6,4
45,4,3,2,6,3,3
46,3,4,2,6,2,4
47,2,4,3,3,2,5
48,2,3,3,4,6,4
49,2,4,6,3,3,3
50,3,4,3,4,4,4
51,4,3,7,3,3,4
52,3,3,3,4,4,4
53,3,3,3,3,3,3
54,4,3,5,3,6,4
55,3,4,3,3,3,5
56,5,3,2,4,4,4
57,3,4,4,4,5,4
58,4,3,3,3,3,5
59,4,3,4,4,3,4
60,4,4,3,3,2,4
61,5,3,2,4,4,5
62,2,3,2,5,3,3
63,3,3,3,6,3,3
64,2,4,3,4,4,3
65,5,4,5,3,2,4
66,4,4,2,4,2,3
67,2,3,4,3,7,4
68,4,4,6,4,4,3
69,7,3,3,4,3,3
70,4,3,4,4,4,3
71,3,4,4,4,3,3
72,3,4,3,4,2,3
73,3,5,3,3,6,3
74,4,3,3,4,4,3
75,3,3,2,3,3,4
76,2,3,3,5,4,5
77,6,3,3,5,3,4
78,4,5,5,3,2,3
79,4,4,3,4,4,3
80,3,4,3,4,3,4
81,3,4,4,4,2,4
82,3,3,3,3,3,4
83,5,3,2,3,4,3
84,2,4,6,3,2,3
85,2,4,6,3,2,4
86,3,3,3,3,3,4
87,3,3,3,4,3,4
88,4,3,7,4,5,4
89,3,3,3,3,4,3
90,3,3,4,5,3,5
91,3,3,4,3,3,3
92,8,3,4,4,2,4
93,4,4,4,3,3,4
94,4,5,4,3,2,5
95,4,3,7,3,2,4
96,4,5,4,4,2,4
97,5,4,2,5,2,5
98,2,4,2,3,5,4
99,5,5,3,4,4,4
