,RN,Mono,Std
0,RN001,0.5306666666666667,0.00836082133126485
1,RN002,0.37873333333333337,0.004366157731156003
2,RN003,0.33653333333333335,0.0003785938897200183
3,RN004,0.4907333333333333,0.0016921386861996077
4,RN005,0.4457,0.0016522711641858304
5,RN006,0.4370666666666667,0.0032005207909547055
6,RN007,0.4625333333333333,0.004614469994845923
7,RN008,0.3544333333333333,0.0025658007197234423
8,RN009,0.4357666666666667,0.008580404030891164
9,RN010,0.3059,0.005047771785649585
10,RN011,0.2923,0.004288356328478313
11,RN012,0.3831,0.0026664583251946768
12,RN013,0.4353333333333333,0.002516611478423583
13,RN014,0.4248,0.003328663395418648
14,RN015,0.31133333333333335,0.002055075018906447
15,RN016,0.31446666666666667,0.0018230011885167086
16,RN017,0.39396666666666663,0.004291076011134426
17,RN018,0.40076666666666666,0.006698009654616312
18,RN019,0.6622666666666667,0.001761628034896508
19,RN020,0.5712666666666667,0.0013279056191361394
20,RN021,0.5431333333333334,0.003617089069035117
21,RN022,0.4421333333333333,0.0011015141094572205
22,RN023,0.5627666666666667,0.00023094010767585034
23,RN024,0.4121666666666667,0.012320849537809207
24,RN025,0.5962666666666667,0.0016921386861996077
25,RN026,0.38523333333333337,0.004856267428111155
26,RN027,0.4838666666666667,0.005594938188517665
27,RN028,0.5537,0.006527633568147036
28,RN029,0.47583333333333333,0.0018502252115170557
29,RN030,0.5478666666666667,0.00696371548337045
30,RN031,0.4349,0.004095119045888654
31,RN032,0.5389,0.0012529964086141667
32,RN033,0.4111666666666667,0.003821430796617064
33,RN034,0.4840666666666667,0.0011846237095944573
34,RN035,0.4492666666666667,0.0016289055630494158
35,RN036,0.1675333333333333,0.0011015141094572205
36,RN037,0.5205333333333333,0.005810622456616274
37,RN038,0.4633666666666667,0.002683902631120088
38,RN039,0.2717333333333333,0.00226789182575654
39,RN040,0.372,0.002424871130596428
40,RN041,0.5173,0.0041581245772583575
41,RN042,0.37893333333333334,0.0062131580805040955
42,RN043,0.4658666666666667,0.007130451131123004
43,RN044,0.3282333333333333,0.0023352373184182657
44,RN045,0.4936,0.009681425514871247
45,RN046,0.4026,0.0072993150363578636
46,RN047,0.30373333333333336,0.005485739087245522
47,RN048,0.37026666666666663,0.004020364825899925
48,RN049,0.35316666666666663,0.0018823743871327334
49,RN050,0.46,0.005414794548272353
50,RN051,0.4726333333333333,0.0031895663237081827
51,RN052,0.4914333333333333,0.0038279672586548244
52,RN053,0.4463,0.0021377558326431947
53,RN054,0.38636666666666664,0.0020008331597945227
54,RN055,0.6227,0.00592536918681022
55,RN056,0.3186333333333333,0.002064784088793144
56,RN057,0.3727,0.005102940328869229
57,RN058,0.4653,0.005566866263886712
58,RN059,0.3892,0.004371498598878879
59,RN060,0.4958666666666667,0.004900340124249881
60,RN061,0.30246666666666666,0.004366157731156003
61,RN062,0.5734666666666667,0.0006658328118479392
62,RN063,0.3069,0.004521061822182926
63,RN064,0.3562,0.008626123115281858
64,RN065,0.4523,0.004887739763939975
65,RN066,0.4383,0.0046130250378683185
66,RN067,0.40043333333333336,0.010261741242758625
67,RN068,0.4251666666666667,0.005685361319505853
68,RN069,0.5434666666666667,0.006092892033618627
69,RN070,0.37926666666666664,0.009318977054019037
70,RN071,0.5668333333333333,0.003178574103797697
71,RN072,0.32986666666666664,0.0003785938897200183
72,RN073,0.38073333333333337,0.00801332224070225
73,RN074,0.5161666666666667,0.002871120571019847
74,RN075,0.5406666666666667,0.005034216258101486
75,RN076,0.3544,0.006464518543557594
76,RN077,0.36063333333333336,0.007211333672305931
77,RN078,0.5921666666666667,0.006361079572944622
78,RN079,0.4256666666666667,0.00177857620959388
79,RN080,0.4174666666666667,0.0026274195198584737
80,RN081,0.4128666666666667,0.004235957192103496
81,RN082,0.3242333333333334,0.005253887449625594
82,RN083,0.37166666666666665,0.007351417096950311
83,RN084,0.29046666666666665,0.0062131580805040955
84,RN085,0.4271333333333333,0.004691836882643442
85,RN086,0.32953333333333334,0.003189566323708183
86,RN087,0.3243,0.006708949247087803
87,RN088,0.4175,0.0026851443164195104
88,RN089,0.5076333333333333,0.003550117368951811
89,RN090,0.39036666666666664,0.00300055550412475
90,RN091,0.5778,0.005768882040742383
91,RN092,0.45206666666666667,0.005508478313775351
92,RN093,0.40396666666666664,0.00374477413649119
93,RN094,0.3784666666666667,0.003438507428134093
94,RN095,0.3252333333333334,0.0075797977105812875
95,RN096,0.4674666666666667,0.0026764404221527767
96,RN097,0.2715666666666667,0.0024542480178933283
97,RN098,0.2913,0.006702238432046415
98,RN099,0.318,0.00703420215802759
99,RN100,0.5289333333333333,0.0041004064839151415
