,InA,OutA,InB,OutB,InC,OutC
0,4,3,3,5,5,3
1,4,3,3,5,4,4
2,4,3,9,4,3,3
3,4,4,4,5,3,4
4,2,4,4,5,3,4
5,6,3,3,3,3,4
6,4,4,3,3,7,3
7,2,3,3,4,2,3
8,3,3,3,4,2,3
9,4,4,3,4,3,3
10,3,3,4,4,6,3
11,5,3,2,3,3,3
12,5,3,3,3,3,6
13,5,3,5,4,4,3
14,3,3,5,4,3,3
15,3,5,2,5,5,3
16,6,3,2,3,5,3
17,4,3,4,5,2,5
18,4,5,6,3,2,3
19,6,4,3,4,2,5
20,3,6,5,3,3,3
21,4,3,5,5,5,4
22,5,3,3,4,4,4
23,4,3,4,3,4,4
24,3,4,2,4,2,4
25,3,5,5,3,4,6
26,4,4,5,3,4,3
27,4,3,2,4,4,6
28,4,3,6,6,3,4
29,4,5,5,4,3,4
30,5,4,4,4,5,3
31,4,4,4,3,3,4
32,5,4,4,3,2,4
33,2,6,3,4,3,3
34,3,5,4,4,5,3
35,5,5,2,3,4,4
36,5,4,4,4,5,4
37,5,3,2,3,5,4
38,3,5,4,3,3,3
39,6,3,7,3,3,4
40,3,3,3,4,2,6
41,3,4,4,4,6,5
42,4,4,5,3,3,4
43,3,3,4,4,3,3
44,3,3,4,5,4,4
45,2,4,5,3,2,3
46,2,5,2,3,3,3
47,2,3,5,3,4,3
48,4,4,4,3,3,3
49,2,3,6,4,3,5
50,5,4,4,3,2,5
51,4,3,4,4,3,3
52,6,3,6,4,2,3
53,3,5,4,5,3,3
54,6,3,4,4,3,6
55,3,3,2,4,2,3
56,6,5,3,4,5,3
57,3,4,3,3,4,3
58,3,5,5,4,3,3
59,2,4,6,3,6,3
60,4,3,5,3,6,5
61,3,5,3,4,2,3
62,5,4,3,4,4,4
63,2,4,4,5,7,5
64,6,3,4,4,4,4
65,5,4,2,4,2,3
66,4,4,3,6,8,3
67,3,4,4,3,6,4
68,2,4,6,5,3,7
69,5,3,4,3,3,4
70,4,4,4,4,2,3
71,3,4,4,5,3,3
72,5,4,5,4,4,5
73,3,3,3,4,3,4
74,2,3,4,3,3,3
75,4,3,2,6,4,5
76,5,3,5,5,3,3
77,4,4,2,3,4,3
78,5,4,4,4,2,4
79,4,3,5,3,2,4
80,5,3,4,3,4,3
81,4,4,4,6,2,3
82,4,4,3,4,2,5
83,3,3,4,3,4,6
84,4,4,3,5,4,5
85,3,4,3,4,4,4
86,6,3,4,3,2,4
87,2,5,3,4,4,4
88,4,6,5,3,3,4
89,4,5,2,5,6,3
90,5,3,2,6,3,4
91,5,3,6,4,2,4
92,5,3,6,3,3,3
93,4,4,2,5,5,3
94,3,5,3,4,5,4
95,2,5,3,3,5,5
96,4,4,2,3,7,5
97,3,3,4,3,3,4
98,2,3,2,5,3,3
99,5,3,6,4,4,3
