,RN,BC A,Std(BC A),BC B,Std(BC B),BC C,Std(BC C)
0,RN001,0.4839610056190251,0.008649845930710505,0.25493507743378113,0.006718307446568476,0.46912473955180917,0.004390234646959198
1,RN002,0.5099369605564871,0.0037993735596808216,0.382961893573131,0.0029265382454414972,0.4921924267642817,0.0017119325082443901
2,RN003,0.38238093887629687,0.013945928801169285,0.37151952451280845,0.016654560410593447,0.38105980782663895,0.008415353521980778
3,RN004,0.38829443726727847,0.009340344857123595,0.32401270246230396,0.005105762001509149,0.4679866380484383,0.0052357086599299245
4,RN005,0.3965510695877002,0.0039013975478328434,0.3153026234145698,0.005037572484945712,0.41791873598636126,0.004296300246369323
5,RN006,0.4199387583437429,0.010271926338042992,0.3671846131403507,0.00876070949172359,0.3032546847050626,0.012980428077026838
6,RN007,0.5076989568794791,0.00435246168474156,0.28700184016346325,0.005951620473946151,0.5581572886944949,0.00576843308813704
7,RN008,0.42549158929085423,0.013278565313108306,0.43491393658149247,0.006060079581362131,0.2871851294585153,0.00763443171656708
8,RN009,0.35987482303656476,0.007547877312217117,0.2645966132072538,0.005617207563235297,0.4836033869475611,0.0024546970924977864
9,RN010,0.3725560994038741,0.0009499639351236799,0.31276308611300735,0.005446397133809321,0.4201962178593348,0.013480507975554754
10,RN011,0.4255487635408066,0.005740486512163579,0.38191784514179217,0.011185537766845074,0.41950959801243126,0.004827311344936664
11,RN012,0.3989398005852796,0.005693235924972428,0.3685157833965457,0.007612615674449695,0.36238206836092896,0.0048035128200313035
12,RN013,0.3495318110754074,0.0014044429119526001,0.41676713825539374,0.00667799573328674,0.5362417679920899,0.004307796802275734
13,RN014,0.47111262320235947,0.008947172955313243,0.30589248494983756,0.01401950628515302,0.49288555172391496,0.007589315459925196
14,RN015,0.4095643038246409,0.007610362699276909,0.37711488997876447,0.021761280126366547,0.394552827548397,0.009110847944875551
15,RN016,0.3030831489657502,0.00612649933314874,0.298790722070833,0.016890011974508328,0.43204739866944636,0.004906985934853719
16,RN017,0.4214351652789268,0.016859479859699305,0.39720538938840727,0.0031726660531126156,0.23575889145197804,0.013928204741992837
17,RN018,0.4691751796246837,0.004780096608804257,0.31310410593429566,0.008833737895738372,0.4954429348529165,0.00786704132182764
18,RN019,0.47614373839863294,0.008613324083786816,0.35754453117414564,0.0299814578842681,0.41105073909093964,0.005874064120194334
19,RN020,0.40875381155235546,0.011250793188073968,0.24272814846973645,0.00559321795932467,0.5022741780243565,0.0035423384208899153
20,RN021,0.4318283964665262,0.007946559474287273,0.24265283017859007,0.0039085561758214395,0.43616943406944797,0.007162825887647981
21,RN022,0.34479279857711465,0.003341809052192053,0.4316204185246606,0.004942262815259706,0.39254331154460614,0.0034496880000595372
22,RN023,0.4173022492719391,0.010944261521268497,0.5210566671406173,0.005404045717908971,0.5005056586065556,0.003425320530371205
