,InA,OutA,InB,OutB,InC,OutC
0,4,4,4,3,3,3
1,5,3,4,4,4,5
2,3,3,4,3,2,3
3,3,5,3,4,3,4
4,6,4,4,4,3,3
5,3,3,7,5,3,3
6,3,4,3,4,3,4
7,3,3,3,3,3,5
8,3,3,6,5,5,4
9,3,3,4,3,4,4
10,2,3,4,3,3,3
11,2,3,4,3,4,3
12,6,3,2,4,3,3
13,3,3,7,3,3,3
14,3,3,3,3,2,4
15,3,4,5,3,5,5
16,3,4,4,3,5,4
17,3,5,4,4,3,3
18,3,4,3,3,6,4
19,3,5,3,3,4,4
20,5,3,5,3,3,5
21,3,5,3,6,4,4
22,4,4,7,3,4,3
23,3,4,3,3,4,3
24,4,3,5,3,3,4
25,4,3,4,4,3,4
26,5,3,5,3,3,5
27,3,3,3,3,3,4
28,3,3,4,3,4,3
29,5,6,3,3,2,4
30,4,3,3,4,4,5
31,2,3,3,3,5,3
32,2,3,5,4,3,4
33,6,4,3,3,3,3
34,4,3,3,5,4,3
35,2,5,5,4,3,3
36,4,4,3,3,2,5
37,3,3,2,5,3,3
38,3,4,2,4,3,4
39,3,5,3,3,3,3
40,5,4,3,3,3,3
41,4,3,4,3,4,3
42,7,4,4,4,4,3
43,3,4,2,3,3,3
44,2,4,4,3,2,3
45,2,4,3,4,4,5
46,4,3,5,3,4,3
47,2,4,4,4,3,3
48,5,4,2,3,4,4
49,5,4,5,4,5,3
50,3,4,2,4,4,3
51,4,5,5,5,3,4
52,5,6,3,5,5,3
53,4,4,3,5,6,5
54,2,4,2,5,3,4
55,3,4,2,3,5,4
56,4,3,4,5,4,3
57,4,5,4,4,3,3
58,3,5,6,3,2,4
59,4,3,3,5,3,5
60,4,3,5,3,3,3
61,4,3,3,6,4,3
62,4,4,3,3,3,5
63,3,3,4,4,3,3
64,4,3,3,5,6,3
65,5,4,3,4,4,5
66,4,3,2,5,2,3
67,3,3,4,3,3,3
68,3,3,5,4,3,3
69,4,3,3,3,3,4
70,4,3,3,4,4,6
71,3,4,2,4,4,4
72,5,4,3,3,4,5
73,2,4,4,5,6,4
74,2,4,4,3,4,3
75,8,4,3,4,5,3
76,3,3,7,4,2,5
77,5,3,2,3,4,4
78,3,3,7,4,3,5
79,5,3,4,4,5,3
80,2,5,3,3,3,3
81,4,3,3,5,4,3
82,5,3,3,3,3,4
83,2,4,3,3,5,5
84,2,3,4,4,3,5
85,2,4,4,3,6,4
86,7,4,3,3,3,3
87,2,4,4,4,3,3
88,4,4,2,5,2,3
89,4,4,3,4,4,3
90,4,4,3,5,3,4
91,4,4,4,3,2,4
92,3,5,4,3,3,3
93,2,4,3,4,3,3
94,4,3,4,4,2,4
95,4,4,2,5,5,5
96,5,3,4,3,4,4
97,3,3,3,4,2,3
98,2,6,4,3,3,3
99,2,5,6,3,5,5
