,InA,OutA,InB,OutB,InC,OutC
0,4,4,5,4,4,3
1,4,3,5,3,4,3
2,5,5,3,6,3,3
3,3,4,2,3,3,3
4,2,3,3,5,3,4
5,5,3,2,3,4,4
6,5,3,5,3,2,3
7,5,4,5,3,4,3
8,3,3,3,4,3,6
9,3,4,4,3,4,3
10,3,3,7,3,7,3
11,3,4,2,5,5,3
12,4,3,2,3,5,5
13,2,3,3,3,3,5
14,2,3,3,5,3,3
15,5,3,3,3,4,4
16,6,3,3,5,3,3
17,4,4,8,4,4,3
18,3,4,3,3,3,4
19,4,4,4,4,4,3
20,3,3,4,4,5,4
21,6,3,3,4,4,3
22,4,4,6,4,3,4
23,4,3,3,3,4,4
24,7,3,4,3,3,3
25,5,4,6,3,5,3
26,3,4,2,3,2,4
27,3,5,2,5,3,3
28,3,3,3,3,4,3
29,3,3,5,5,3,3
30,3,4,3,4,3,3
31,5,4,3,4,2,3
32,4,3,5,3,3,4
33,3,4,3,3,3,3
34,4,5,4,3,6,5
35,4,4,3,4,3,4
36,4,3,3,4,6,3
37,5,3,5,3,2,3
38,4,3,5,4,4,3
39,3,3,2,3,3,4
40,2,5,5,7,6,3
41,4,5,3,4,3,3
42,4,4,3,3,2,3
43,2,3,2,3,2,3
44,4,4,3,3,4,3
45,4,3,4,4,2,3
46,3,4,4,3,3,4
47,3,4,2,3,4,4
48,2,5,3,4,6,3
49,3,4,5,4,4,3
50,4,4,5,4,2,5
51,4,6,3,3,3,4
52,3,3,5,5,2,4
53,4,3,5,3,3,4
54,3,3,3,4,6,3
55,4,4,3,4,6,3
56,5,4,3,4,2,3
57,3,3,4,5,3,4
58,3,4,2,5,4,5
59,3,4,5,3,5,4
60,4,4,3,3,6,4
61,2,4,3,4,4,3
62,4,3,8,3,2,6
63,2,3,2,4,5,3
64,5,4,2,4,2,4
65,4,4,4,3,3,4
66,3,3,3,3,4,3
67,3,4,5,3,4,4
68,2,5,3,3,3,5
69,2,3,3,3,4,3
70,4,4,4,3,2,3
71,2,3,4,4,7,3
72,3,3,3,5,2,3
73,6,5,2,4,2,3
74,5,3,6,4,2,5
75,4,3,3,4,2,5
76,5,5,4,5,4,3
77,3,5,3,3,4,6
78,3,3,2,4,2,4
79,4,3,4,3,4,3
80,5,4,2,6,4,3
81,5,3,4,4,3,3
82,3,3,4,3,3,3
83,4,3,4,3,3,4
84,2,5,4,3,4,4
85,7,4,6,5,2,5
86,4,3,4,4,2,3
87,5,4,2,3,4,3
88,4,5,2,4,4,4
89,3,4,5,4,4,3
90,2,4,2,3,5,4
91,3,4,2,3,5,5
92,3,3,3,5,4,3
93,5,3,3,4,4,4
94,4,3,2,4,3,6
95,5,4,3,3,4,3
96,4,3,3,3,2,3
97,4,5,3,3,3,4
98,2,3,2,3,3,4
99,3,4,5,3,2,3
