RN,f1,f2,f3
RN001,0.404924658959194,0.4167979314649152,0.17827740957589086
RN002,0.41600793609356235,0.42677387354461443,0.15721819036182322
RN003,0.3903286757330472,0.4299260537917843,0.17974527047516853
RN004,0.43580102323861186,0.3912963077112741,0.17290266905011403
RN005,0.36475514640071605,0.4125538081234284,0.2226910454758556
RN006,0.4055083244775062,0.4623922541031999,0.1320994214192939
RN007,0.4296994496228413,0.41921483011517396,0.15108572026198475
RN008,0.41733860342555995,0.40342555994729906,0.179235836627141
RN009,0.40694186900302415,0.41953629609348747,0.17352183490348835
RN010,0.3628708133971292,0.4036885602435842,0.23344062635928664
RN011,0.3741215138479385,0.4165498574121514,0.2093286287399101
RN012,0.38454470040201644,0.43569650947610233,0.17975879012188117
RN013,0.3613669859985262,0.41905142061737494,0.2195815933840989
RN014,0.4364758921620105,0.4060219804095526,0.15750212742843692
RN015,0.3796493504661692,0.4310196482220686,0.18933100131176214
RN016,0.3386858549517137,0.36970270782048853,0.29161143722779775
RN017,0.37037721513788785,0.4142179510872913,0.21540483377482084
RN018,0.38675789178080444,0.4336299000523353,0.17961220816686027
RN019,0.4300818646036907,0.42119293568810395,0.14872519970820539
RN020,0.3132631529032411,0.3965075752187211,0.2902292718780378
RN021,0.3868326628248342,0.43959986952267044,0.17356746765249537
RN022,0.3185920577617328,0.3920138550102449,0.28939408722802223
RN023,0.40995233843483947,0.40087274739370465,0.18917491417145588
RN024,0.47995344942592355,0.4269028256766154,0.093143724897461
RN025,0.4201699346405229,0.42826143790849674,0.1515686274509804
RN026,0.45778799183791247,0.42994208215676977,0.11226992600531772
RN027,0.43316608773961146,0.45069763634024534,0.11613627592014315
RN028,0.3909146692947061,0.4294055300396065,0.17967980066568734
RN029,0.3727678867339228,0.39973221269205783,0.22749990057401934
RN030,0.3879178166206685,0.4121596539647186,0.1999225294146129
RN031,0.4420947719512917,0.41981290335313504,0.13809232469557323
RN032,0.42631134221644457,0.40620084497887554,0.1674878128046799
RN033,0.44947242625626677,0.41994578523959425,0.13058178850413898
RN034,0.39704903663544727,0.44488450987712436,0.15806645348742837
RN035,0.38438016274511816,0.4513868223656532,0.16423301488922865
RN036,0.41730962764173096,0.4074735227871759,0.17521684957109313
RN037,0.4120492576711298,0.4115117709589957,0.17643897136987446
RN038,0.3792832266037524,0.4277529009581588,0.19296387243808882
RN039,0.362463963271909,0.42097224607097994,0.2165637906571111
RN040,0.4108761329305136,0.4339352209653622,0.15518864610412422
RN041,0.4471141501912188,0.436424816551575,0.11646103325720618
RN042,0.43823870506082363,0.4079132430231697,0.15384805191600662
RN043,0.4339203977787588,0.4285764074444109,0.13750319477683032
RN044,0.4595957569190845,0.4245756250250813,0.11582861805583423
RN045,0.3814288542666118,0.4356619606768097,0.1829091850565785
RN046,0.3979307000053888,0.4215228754647842,0.18054642452982703
RN047,0.39389399223854205,0.4126713169916982,0.19343469076975978
RN048,0.38681467522525176,0.460367469524763,0.15281785524998528
RN049,0.46918587159275527,0.41096335519586014,0.11985077321138456
RN050,0.4161540449728612,0.3974153528043422,0.1864306022227966
RN051,0.40983125027537487,0.44139288284451234,0.1487758668801128
RN052,0.42740107505990543,0.428728709280487,0.14387021565960753
RN053,0.3144302716818159,0.39701451313212477,0.28855521518605937
RN054,0.4747768913981472,0.4041950670442465,0.12102804155760624
RN055,0.4025872903120048,0.4430768810447517,0.15433582864324355
RN056,0.2878195673549656,0.3875983284169125,0.32458210422812195
RN057,0.3884415419731169,0.4343536013187928,0.17720485670809027
RN058,0.37942271366553626,0.4264031725341611,0.19417411380030267
RN059,0.3951971127151582,0.44284425319267073,0.161958634092171
RN060,0.4431358230753182,0.4359065303567703,0.12095764656791154
RN061,0.4002291424063709,0.4257165395740205,0.17405431801960858
RN062,0.4237963773483267,0.4373308194734361,0.13887280317823716
RN063,0.3917496802201636,0.41759370518237143,0.19065661459746502
RN064,0.4251641464385197,0.4164221050537206,0.15841374850775966
RN065,0.4172430257144806,0.41446013232385237,0.168296841961667
RN066,0.31885006937623744,0.3878209625368318,0.29332896808693076
RN067,0.39418596050003696,0.46219394925660184,0.1436200902433612
RN068,0.3698872243730012,0.4013774336531448,0.228735341973854
RN069,0.40106762823912046,0.42302117580514015,0.1759111959557394
RN070,0.4011122434857006,0.4140716415656966,0.18481611494860278
RN071,0.3400997714170704,0.4069782486809759,0.25292197990195375
RN072,0.32961215714106795,0.40470087254206155,0.26568697031687055
RN073,0.39100195609650074,0.4091798225682164,0.19981822133528285
RN074,0.4216528895458112,0.4419262422218573,0.13642086823233152
RN075,0.38428649610069776,0.4367674556482875,0.17894604825101473
RN076,0.4075558099599313,0.44044736030998194,0.15199682973008674
RN077,0.44255831624826164,0.43501698949088874,0.12242469426084962
RN078,0.41519811700428066,0.4161005890459407,0.16870129394977865
RN079,0.42422527710281926,0.41759311653296943,0.1581816063642113
RN080,0.42456522378836475,0.4191311341945482,0.15630364201708696
RN081,0.442183210591894,0.41061823191547553,0.14719855749263044
RN082,0.413515725476441,0.40749444639307847,0.17898982813048053
RN083,0.38741783455289597,0.43343048493116704,0.179151680515937
