,InA,OutA,InB,OutB,InC,OutC
0,3,3,4,5,6,3
1,3,3,2,3,4,3
2,4,5,4,4,4,3
3,3,3,4,3,4,3
4,4,3,2,3,5,3
5,4,4,4,3,5,3
6,4,3,2,3,5,3
7,3,4,4,4,4,3
8,4,4,4,3,4,4
9,3,3,3,3,6,3
10,3,3,7,3,3,4
11,5,3,4,3,5,5
12,4,6,3,3,4,4
13,2,3,5,3,4,3
14,3,3,3,3,5,3
15,2,4,3,4,3,3
16,3,4,3,4,2,3
17,4,3,5,4,2,3
18,6,3,3,4,4,4
19,3,3,4,3,2,4
20,5,3,2,3,4,4
21,4,4,2,4,4,3
22,2,6,4,4,5,4
23,5,3,5,3,4,3
24,4,3,6,4,2,4
25,3,3,2,3,3,4
26,2,3,3,3,3,4
27,2,3,5,4,4,4
28,4,3,4,4,4,3
29,5,3,4,3,3,3
30,4,3,3,5,2,3
31,2,3,4,5,4,5
32,5,4,3,3,5,5
33,3,3,5,3,2,4
34,3,6,4,6,2,3
35,6,3,5,3,3,4
36,2,4,5,4,2,4
37,6,4,5,4,3,3
38,2,5,3,3,4,3
39,3,5,3,3,4,4
40,4,3,4,3,2,5
41,5,4,5,3,2,3
42,3,3,3,4,4,3
43,3,3,4,4,4,4
44,4,4,3,4,3,5
45,3,3,2,3,4,5
46,4,3,3,3,4,3
47,4,3,2,4,3,4
48,3,4,5,3,6,5
49,5,3,4,3,4,4
50,5,4,3,4,3,4
51,4,3,3,3,4,4
52,4,4,4,4,4,3
53,3,3,6,5,6,4
54,5,6,4,3,3,4
55,3,4,2,4,3,4
56,5,3,4,3,3,6
57,5,4,4,3,4,4
58,4,3,3,3,4,4
59,2,4,3,3,6,4
60,5,3,5,3,3,4
61,5,3,7,5,6,3
62,3,4,3,6,4,4
63,2,4,3,3,4,4
64,3,3,4,3,2,4
65,5,3,4,4,5,3
66,3,3,3,3,3,3
67,4,5,3,5,4,4
68,2,5,7,4,4,3
69,4,3,4,3,4,3
70,2,3,5,3,2,4
71,4,3,6,3,2,3
72,4,4,5,4,5,3
73,3,3,2,4,3,4
74,2,3,3,3,4,4
75,3,3,4,5,3,3
76,3,3,4,5,6,3
77,3,3,4,4,3,4
78,5,3,6,3,5,4
79,6,4,4,3,4,4
80,7,3,7,4,4,4
81,4,3,7,4,5,3
82,2,4,4,3,3,3
83,3,3,4,6,4,3
84,3,3,3,3,3,4
85,3,3,4,3,4,4
86,3,4,2,3,7,3
87,4,5,3,4,3,4
88,4,5,5,4,2,3
89,4,3,4,5,3,3
90,4,5,3,4,5,3
91,4,3,4,5,2,3
92,2,6,2,3,3,5
93,3,3,5,4,5,3
94,2,5,3,6,7,3
95,4,4,5,4,4,5
96,2,6,4,3,5,4
97,4,3,4,3,5,3
98,5,4,5,3,2,4
99,3,3,5,4,3,3
