,InA,OutA,InB,OutB,InC,OutC
0,5,4,3,4,4,3
1,2,4,3,3,4,5
2,4,4,4,3,3,4
3,3,4,3,3,6,4
4,4,3,3,3,3,3
5,4,3,4,5,4,5
6,4,4,3,3,2,3
7,3,3,4,4,4,4
8,3,3,4,3,5,3
9,3,4,2,3,4,6
10,3,5,2,4,3,6
11,5,3,6,4,2,3
12,5,3,3,4,2,3
13,3,4,4,3,3,3
14,2,3,2,4,2,3
15,5,4,3,3,3,3
16,3,4,4,3,3,4
17,3,4,2,4,3,4
18,3,3,3,5,7,4
19,7,5,2,4,3,5
20,6,3,6,3,4,3
21,5,4,5,3,3,5
22,3,3,3,3,4,3
23,2,3,6,3,6,3
24,4,3,3,4,6,3
25,2,4,4,3,6,3
26,2,3,4,3,4,4
27,3,4,4,3,6,3
28,5,3,4,4,2,4
29,4,4,3,3,3,3
30,4,3,6,4,5,4
31,4,3,3,3,3,4
32,2,3,3,4,3,3
33,3,3,4,3,2,3
34,4,4,4,4,3,3
35,3,4,3,3,3,4
36,3,4,3,3,4,3
37,3,4,4,4,2,3
38,4,3,5,4,2,3
39,2,5,2,3,3,4
40,2,4,6,3,4,3
41,3,4,3,3,4,4
42,3,4,6,4,5,3
43,2,3,4,3,5,3
44,4,4,2,4,3,3
45,4,4,3,6,4,3
46,3,4,5,3,4,3
47,4,4,3,4,4,4
48,2,3,3,4,9,3
49,3,3,3,4,4,3
50,4,4,4,5,4,3
51,3,4,4,4,3,3
52,5,4,3,5,2,4
53,2,4,3,4,3,3
54,5,4,5,3,3,4
55,6,3,3,3,2,3
56,4,3,3,5,7,5
57,4,3,3,3,3,5
58,4,4,2,4,5,3
59,3,3,5,4,5,4
60,5,3,4,5,3,3
61,5,5,4,3,5,4
62,5,4,3,3,5,5
63,3,3,4,3,4,3
64,3,4,3,6,2,3
65,5,4,3,4,4,4
66,4,3,3,3,6,3
67,4,3,3,3,5,4
68,5,4,6,3,6,3
69,4,3,6,4,6,4
70,4,3,3,6,4,4
71,5,5,2,3,3,3
72,5,5,3,3,3,3
73,2,3,4,4,2,3
74,3,4,3,3,5,5
75,3,5,4,3,4,4
76,3,3,4,3,4,3
77,4,4,5,4,3,5
78,3,4,5,5,2,3
79,2,3,3,4,2,4
80,2,3,3,4,3,3
81,5,3,4,5,5,4
82,5,4,5,4,4,4
83,6,5,3,4,4,4
84,6,3,4,4,4,4
85,3,3,4,3,2,3
86,2,3,4,4,2,3
87,3,6,3,4,5,3
88,4,3,3,4,4,3
89,5,3,2,3,7,3
90,4,3,7,6,4,3
91,4,4,3,3,2,5
92,4,3,5,5,3,4
93,3,5,4,3,2,3
94,3,5,2,4,2,3
95,4,3,5,4,4,4
96,4,3,4,3,3,3
97,7,3,5,4,2,3
98,3,5,5,4,3,3
99,3,3,4,4,4,4
