,RN,BC A,Std(BC A),BC B,Std(BC B),BC C,Std(BC C)
0,RN001,0.5966687630441598,0.0025113491800165598,0.6290539727224266,0.004166964623865503,0.5152268541566967,0.004895057942303358
1,RN002,0.5721516594049848,0.00278666921126731,0.4052081482488739,0.0039471111082971825,0.5509647173084787,0.00525784271417712
2,RN003,0.7859958785311146,0.0016354433942231102,0.4999772490845192,0.0012500289313093535,0.6268977364796487,0.0013654439504005185
3,RN004,0.5331334047889373,0.009981422407805756,0.5229127317153964,0.005881392995316541,0.6093369030061612,0.00982297762313156
4,RN005,0.36944176871276707,0.003709597862350878,0.6972488338000359,0.00594021688823838,0.569952566828163,0.007180007919116174
5,RN006,0.8063506138284623,0.002566955167410898,0.5615686161075649,0.0021436138931119693,0.634612548041066,0.0022239387606787114
6,RN007,0.7401993781382243,0.005803317606110709,0.6904564885303185,0.00021903571802833467,0.3897846548399097,0.0029451959506792066
7,RN008,0.5850330377820372,0.0030273408187393297,0.5729118463211074,0.004249248399155741,0.621583732362919,0.0006135936715098036
8,RN009,0.7842481864118066,0.0022884828320571134,0.6616721678536605,0.00269153033659799,0.5660533981394632,0.007631490826716224
9,RN010,0.7274419686598019,0.0021026037065058033,0.7605082692473125,0.00403734739229769,0.8383366450618134,0.000944708594130022
10,RN011,0.7795842868875242,0.0017906973578526461,0.5882308463150139,0.004097546500033982,0.6314162747682567,0.006851814827763995
11,RN012,0.8089567341592486,0.0016091276200088792,0.5567636022770549,0.007328283469136148,0.683786214436585,0.002863048544877463
12,RN013,0.46370935464281576,0.005989561491764678,0.5560414769694312,0.006277127221578499,0.7668461594330044,0.002760086633061169
13,RN014,0.5295133609114785,0.0023445101477822822,0.6144466306956161,0.0031733980644724517,0.511292379866858,0.0022439691252511087
14,RN015,0.8070918005728401,0.005014789027669407,0.5315185627803521,0.004514540307997567,0.6291758248827005,0.0038755892099295976
15,RN016,0.8158766991857904,0.0011802164308948179,0.5698101755594204,0.001665001198695326,0.5600596761955107,0.003580833686400389
16,RN017,0.5955885379966308,0.003978766942632048,0.44501335196770536,0.0018920878385759582,0.6236760659008023,0.0008628999832326494
17,RN018,0.51662046302802,0.005485021034417105,0.7442232825150508,0.0013837014557351109,0.4464292824915222,0.005546875470131224
18,RN019,0.4980743979554525,0.00491910211787561,0.5347222678937519,0.0017640769734291884,0.3429165422750393,0.0012157279119635264
19,RN020,0.4777061364620703,0.004805505388442694,0.509566250331607,0.014522447947727746,0.5245158516381836,0.003932233205096353
20,RN021,0.6214599584838966,0.00402173756589099,0.47286899058192144,0.004823202059076346,0.444419351689512,0.005669365841660989
21,RN022,0.48684858254684454,0.006297105963399652,0.4866657567767301,0.003493520889950639,0.7559758627009295,0.002737567442250227
22,RN023,0.5196897929553668,0.0035738401552731173,0.5132100725891692,0.0034824439637400136,0.5214193709946665,0.002523652630550043
23,RN024,0.6474814216906793,0.0030266410992380644,0.6503348887229768,0.002519684106370509,0.6254050212620919,0.0017839409812565935
24,RN025,0.4551552446383244,0.0027515855470866706,0.5306363921396234,0.000919515850798562,0.33576998717347023,0.010524426507483435
25,RN026,0.3719435208503504,0.00426098049166536,0.5757478783880926,0.002379616946103399,0.735853224617221,0.001356981706859067
