,InA,OutA,InB,OutB,InC,OutC
0,3,3,4,5,2,3
1,2,4,3,3,3,3
2,3,3,4,3,5,4
3,4,5,3,3,4,3
4,3,5,4,6,5,4
5,2,3,2,4,4,4
6,2,4,5,4,4,4
7,3,4,2,3,4,3
8,4,3,4,3,4,5
9,5,3,4,5,5,3
10,3,4,3,3,5,3
11,3,4,3,3,5,3
12,4,3,4,3,4,3
13,4,5,4,4,6,3
14,6,5,3,3,7,3
15,3,3,2,4,4,4
16,3,3,7,5,4,3
17,5,4,3,3,2,3
18,4,3,7,4,6,4
19,6,4,3,5,4,6
20,4,4,3,3,3,5
21,5,3,4,4,3,3
22,5,3,3,3,2,5
23,5,3,4,3,4,4
24,4,3,3,3,5,5
25,2,3,3,5,4,4
26,6,3,4,4,2,3
27,4,3,5,3,2,3
28,4,5,5,3,3,4
29,2,4,4,4,3,3
30,5,4,6,3,5,3
31,3,4,6,5,5,3
32,3,3,5,3,3,3
33,4,4,2,3,2,4
34,4,5,2,5,4,4
35,3,3,4,4,3,4
36,2,3,3,3,3,4
37,2,3,5,4,2,4
38,4,4,3,4,5,5
39,4,3,3,4,2,3
40,4,3,4,4,7,3
41,4,4,3,3,4,3
42,5,4,3,3,5,3
43,4,3,5,3,3,6
44,2,3,3,4,4,3
45,4,3,2,4,3,4
46,3,4,6,4,5,3
47,7,3,4,3,3,3
48,4,5,3,4,3,4
49,4,4,2,3,4,4
50,5,3,3,4,2,3
51,4,3,5,3,3,3
52,2,3,3,4,2,4
53,3,4,3,3,3,5
54,3,3,2,3,3,4
55,3,3,4,3,3,3
56,3,3,4,4,7,5
57,4,5,4,3,6,3
58,4,3,2,3,7,3
59,3,4,6,4,2,3
60,2,5,3,3,3,3
61,6,4,3,5,3,4
62,3,5,5,3,2,5
63,4,3,4,3,3,5
64,2,4,3,3,2,4
65,4,5,5,4,2,3
66,6,4,2,3,2,3
67,3,5,6,3,2,4
68,4,3,6,4,3,4
69,4,4,5,3,2,3
70,4,4,2,3,5,4
71,3,3,4,3,3,4
72,4,3,2,3,2,4
73,4,4,4,3,4,4
74,2,4,3,4,2,3
75,4,4,4,3,4,5
76,2,4,3,3,3,3
77,3,4,4,5,4,4
78,3,3,2,4,2,4
79,3,3,4,3,4,4
80,4,4,3,4,4,3
81,4,5,3,4,5,5
82,4,4,4,3,3,4
83,4,4,5,3,2,4
84,6,4,2,4,2,3
85,4,6,5,3,4,3
86,6,6,4,3,2,3
87,3,3,2,4,4,5
88,2,3,2,3,4,3
89,3,6,3,3,5,5
90,2,3,2,4,6,6
91,4,3,3,3,4,4
92,4,3,2,3,3,3
93,5,5,2,3,4,4
94,4,5,4,3,5,3
95,3,3,3,4,2,4
96,3,3,3,3,5,5
97,4,5,2,3,4,3
98,6,3,2,3,3,3
99,6,3,3,3,5,3
