,InA,OutA,InB,OutB,InC,OutC
0,3,5,4,3,7,3
1,6,4,5,3,3,3
2,4,4,3,4,2,3
3,3,5,3,4,3,3
4,4,5,3,3,4,4
5,4,4,3,3,2,4
6,3,4,2,3,5,3
7,2,5,2,3,4,3
8,2,4,2,3,6,5
9,3,4,3,4,4,5
10,3,4,4,4,3,3
11,3,3,6,4,3,3
12,4,5,2,3,4,4
13,3,3,3,3,3,3
14,5,3,4,6,4,3
15,3,4,4,4,3,4
16,3,3,4,3,7,4
17,3,3,3,4,3,3
18,4,3,2,6,3,3
19,5,4,2,3,4,5
20,5,3,6,4,3,3
21,4,5,4,4,4,3
22,2,4,4,3,2,3
23,3,5,4,5,4,4
24,2,6,4,3,3,6
25,4,4,4,3,4,4
26,5,3,3,4,3,3
27,2,3,4,4,3,4
28,3,3,3,3,5,4
29,5,5,2,3,4,3
30,5,3,5,4,2,4
31,4,3,4,4,4,4
32,6,4,2,3,3,4
33,4,3,5,4,6,4
34,5,3,4,3,4,4
35,4,5,4,4,4,3
36,4,5,4,3,4,6
37,5,3,3,3,3,3
38,5,3,2,3,5,3
39,6,5,4,3,2,4
40,2,4,3,3,4,4
41,4,5,4,5,3,4
42,3,3,4,4,4,3
43,3,3,4,4,4,3
44,2,4,2,5,3,3
45,3,6,3,3,4,4
46,3,5,4,4,4,4
47,3,6,4,3,5,3
48,2,6,4,4,5,3
49,2,4,6,5,6,4
50,6,3,5,4,3,3
51,4,3,5,4,5,3
52,5,3,3,3,3,4
53,4,3,2,4,3,3
54,2,3,5,3,3,3
55,4,3,3,4,6,4
56,4,3,3,3,3,4
57,3,5,4,4,4,3
58,3,3,5,3,4,3
59,2,3,2,3,5,3
60,3,3,4,3,4,4
61,4,4,3,6,4,3
62,2,4,6,5,4,3
63,2,3,4,4,3,3
64,4,3,5,3,4,4
65,4,3,2,4,2,5
66,7,4,5,4,5,3
67,3,3,2,4,3,3
68,2,3,4,5,4,4
69,5,3,3,5,3,3
70,3,3,3,4,6,3
71,3,4,3,3,4,4
72,4,4,2,4,2,5
73,4,3,3,3,4,4
74,4,3,5,4,3,4
75,3,4,3,4,2,5
76,2,4,3,4,3,3
77,3,3,5,3,6,5
78,3,3,3,4,3,4
79,2,4,6,4,4,4
80,2,4,5,5,2,3
81,4,3,3,4,4,4
82,6,3,4,3,3,3
83,2,3,5,3,3,3
84,3,4,5,5,3,3
85,2,3,4,4,3,4
86,4,4,2,3,3,4
87,4,4,5,4,4,3
88,3,4,4,4,3,5
89,5,4,7,4,4,4
90,2,4,4,3,2,3
91,4,3,4,3,4,5
92,2,5,3,4,2,4
93,3,3,4,3,6,4
94,4,4,4,3,4,4
95,4,5,3,4,4,4
96,3,3,2,4,5,3
97,4,3,4,5,3,3
98,5,5,3,3,3,4
99,2,4,5,3,4,3
