,InA,OutA,InB,OutB,InC,OutC
0,3,3,5,3,4,4
1,5,5,5,4,4,3
2,2,4,3,3,6,3
3,2,4,3,3,4,4
4,5,3,5,4,4,5
5,3,5,2,3,4,4
6,5,4,5,4,2,3
7,2,4,2,4,5,4
8,3,4,3,4,2,4
9,3,4,3,6,4,3
10,3,3,3,3,2,3
11,2,5,3,5,4,4
12,2,4,3,4,7,4
13,2,4,4,5,3,5
14,3,3,4,5,2,3
15,4,5,6,4,3,3
16,2,3,2,5,6,4
17,3,3,4,3,2,3
18,3,3,3,4,2,3
19,4,4,5,3,2,4
20,4,3,5,4,3,3
21,4,4,2,4,5,3
22,4,3,2,3,4,4
23,5,3,3,4,5,4
24,3,4,3,4,3,4
25,2,3,4,5,2,3
26,3,3,5,5,3,5
27,5,5,3,3,4,3
28,4,5,6,3,3,3
29,4,4,4,4,2,3
30,5,4,3,5,5,5
31,3,3,2,4,5,3
32,2,3,5,4,5,3
33,4,3,4,3,4,3
34,3,5,2,4,4,3
35,4,5,3,3,4,3
36,2,5,6,4,4,3
37,2,4,4,4,2,3
38,2,5,3,3,5,4
39,2,3,2,5,3,4
40,4,3,2,3,5,3
41,3,6,3,4,5,3
42,4,4,2,7,3,5
43,7,4,5,4,2,3
44,3,5,3,4,3,4
45,5,5,4,4,3,5
46,2,3,6,3,4,4
47,2,3,5,4,4,3
48,2,4,6,3,5,5
49,4,3,3,4,4,5
50,3,3,5,5,4,4
51,3,4,3,4,3,3
52,3,3,2,5,3,4
53,2,3,4,3,3,5
54,5,4,3,4,3,3
55,3,3,4,3,4,4
56,5,3,3,5,2,3
57,2,4,3,4,3,4
58,5,4,4,4,6,3
59,3,4,5,3,3,3
60,5,4,4,4,5,4
61,4,3,3,3,3,4
62,3,4,2,4,3,4
63,3,4,3,5,2,3
64,4,3,5,5,3,4
65,4,3,6,3,3,4
66,4,3,3,4,3,3
67,3,5,4,3,4,3
68,3,3,4,3,4,3
69,3,3,6,4,2,4
70,2,3,4,4,2,4
71,2,3,3,3,4,4
72,4,3,6,4,2,4
73,4,3,6,4,2,3
74,5,4,4,4,4,3
75,4,3,5,3,4,4
76,4,4,4,3,3,3
77,4,3,3,3,4,5
78,2,3,4,3,3,4
79,4,4,3,5,4,5
80,5,3,3,5,3,3
81,3,3,3,6,2,4
82,2,3,5,4,3,3
83,5,4,4,3,6,5
84,3,3,6,3,2,4
85,3,4,6,5,5,4
86,2,3,3,5,5,3
87,6,4,6,3,2,4
88,4,5,4,3,3,4
89,5,4,5,3,5,4
90,3,3,6,3,2,4
91,3,4,3,4,4,3
92,3,4,2,4,2,5
93,3,6,4,3,4,3
94,3,4,2,4,4,3
95,5,3,4,3,2,3
96,5,3,2,6,6,4
97,6,4,5,3,5,3
98,7,3,2,4,3,4
99,4,4,4,4,4,3
