,RN,BC A,STD A,BC B,STD B,BC C,STD C
0,RN001,0.3919067037789281,0.0006433759696558107,0.43914184473034407,0.0036713385353273277,0.37942530124629564,0.02781883900962001
1,RN002,0.4269995686202533,0.0018985502239077102,0.4275875579332515,0.0012637828957525535,0.4391015322889191,0.0028977487602782704
2,RN003,0.39784849542573825,0.0002787094049395511,0.42684373834721195,0.00311930449444618,0.46912997966864395,0.002450854810792513
3,RN004,0.45447521962852916,0.0048695539564312775,0.37068195392862185,0.005254031125754594,0.43305323333259454,0.006319133900093547
4,RN005,0.3954429361733312,0.001544191268970462,0.4538033079995856,0.0011332706518585986,0.3999521034929551,0.006848557144797044
5,RN006,0.46604453510698657,0.004626045331784288,0.4181161218854618,0.004113476511940811,0.3721919445602848,0.00247168496363426
6,RN007,0.3507592333857132,0.0037735373967983797,0.43947490252319693,0.010772124657152913,0.49553378190442804,0.006149963547972938
7,RN008,0.5426973218156564,0.01104546975627166,0.4752153238463182,0.0039738424153703995,0.3580910597568674,0.002104289373803751
8,RN009,0.43086531455394733,0.0030000094737752457,0.3714258767992695,0.0017644355557955228,0.4153426608506841,0.0035547391751360805
9,RN010,0.4609555770474982,0.0008402554223278122,0.4405068807885382,0.0027939362415420623,0.41282271715246527,0.0010605656805549692
10,RN011,0.41224805126429703,0.008844143086615314,0.4465015487226409,0.0022824106472572503,0.3641094071650792,0.00032463089887781367
11,RN012,0.4184241606889012,0.0031756989846912697,0.3982512967658786,0.006364142011491872,0.5037517593873287,0.007702660942832056
12,RN013,0.4198098213096488,0.006824088548702114,0.5216272031337094,0.004941589780667507,0.44160446607900267,0.004594132466683096
13,RN014,0.46364250349758107,0.003408988045633765,0.4366580916196842,0.009412059399336302,0.4145080816313487,0.005487845094835473
14,RN015,0.44658653428553485,0.002449780768039091,0.4662442610288992,0.004689556125130893,0.4642689175522284,0.004275253552408838
15,RN016,0.48206688860725383,0.0014731210898101712,0.4790980649822069,0.003819344723415323,0.5384599405945721,0.003912359163246583
16,RN017,0.40645957166989016,0.0050290102359447615,0.4514241198721675,0.00381669456375654,0.32063806728481925,0.004770292981114675
17,RN018,0.5282211214796481,0.004112278070004195,0.4351928147416049,0.009064439003681608,0.41902954893307154,0.007642738990683531
