,RN,PInA,NInA,PInB,NInB,PInC,NInC
0,RN001,0,4,1,4,1,3
1,RN002,0,4,2,3,3,3
2,RN003,1,4,2,3,1,2
3,RN004,0,6,1,3,4,3
4,RN005,2,4,1,4,1,4
5,RN006,2,2,2,4,1,4
6,RN007,0,5,1,3,0,4
7,RN008,2,3,3,2,1,3
8,RN009,1,3,2,3,3,3
9,RN010,1,2,1,3,2,4
10,RN011,3,2,2,3,2,4
11,RN012,2,2,1,2,2,3
12,RN013,1,3,0,4,0,5
13,RN014,1,3,2,3,2,4
14,RN015,0,3,1,5,1,2
15,RN016,2,4,2,3,3,3
16,RN017,1,4,2,2,1,5
17,RN018,2,2,1,4,1,4
18,RN019,1,4,3,3,0,6
19,RN020,2,4,1,4,1,4
20,RN021,1,3,2,4,1,3
21,RN022,3,3,2,3,1,3
22,RN023,0,3,1,5,2,3
23,RN024,3,2,1,3,2,3
24,RN025,2,4,1,4,0,3
25,RN026,2,3,3,3,0,4
26,RN027,2,2,2,3,3,2
27,RN028,0,4,2,4,2,4
28,RN029,3,4,4,2,0,3
29,RN030,1,4,2,3,1,5
30,RN031,1,3,1,3,2,4
31,RN032,2,3,2,3,1,4
32,RN033,3,2,0,5,1,3
33,RN034,1,3,1,4,4,2
34,RN035,2,4,3,4,3,2
35,RN036,2,3,0,3,1,4
36,RN037,1,6,1,3,1,4
37,RN038,1,3,0,4,3,4
38,RN039,1,3,2,3,4,2
39,RN040,0,3,2,4,1,3
40,RN041,2,4,0,3,1,3
41,RN042,0,5,0,5,1,6
42,RN043,2,4,0,4,1,4
43,RN044,2,3,1,4,0,7
44,RN045,2,3,2,3,2,4
45,RN046,1,3,2,2,2,2
46,RN047,1,4,1,5,2,2
47,RN048,2,3,2,4,2,3
48,RN049,0,3,3,3,1,5
49,RN050,0,4,3,2,3,3
50,RN051,2,3,1,4,1,3
51,RN052,2,5,1,5,0,2
52,RN053,0,3,2,3,1,2
53,RN054,1,3,2,3,3,2
54,RN055,1,5,2,3,2,3
55,RN056,1,4,1,4,2,2
56,RN057,0,2,1,5,3,3
57,RN058,1,4,2,5,1,3
58,RN059,1,3,1,4,3,2
59,RN060,1,2,3,3,0,2
60,RN061,1,2,0,3,3,4
61,RN062,0,4,2,3,2,4
62,RN063,1,3,2,2,1,5
63,RN064,3,4,0,2,0,4
64,RN065,3,3,2,3,2,4
65,RN066,2,2,2,3,2,5
66,RN067,1,6,2,2,3,3
67,RN068,2,3,1,3,4,3
68,RN069,2,3,3,2,1,4
69,RN070,1,3,3,4,0,4
70,RN071,0,3,2,4,2,3
71,RN072,1,4,3,2,2,3
72,RN073,3,4,1,3,2,3
73,RN074,1,2,0,5,1,3
74,RN075,1,4,0,5,0,4
75,RN076,2,4,1,3,1,4
76,RN077,0,5,1,4,2,2
77,RN078,3,4,3,2,2,3
78,RN079,2,4,2,3,2,2
79,RN080,2,3,2,3,1,2
80,RN081,2,2,1,5,0,4
81,RN082,1,2,3,3,1,5
82,RN083,0,4,1,4,2,3
83,RN084,0,4,1,4,3,4
84,RN085,2,4,0,4,1,2
85,RN086,2,2,1,4,0,2
86,RN087,0,4,1,3,2,4
87,RN088,2,2,3,4,1,3
88,RN089,0,5,0,5,2,3
89,RN090,0,5,2,3,3,2
90,RN091,2,5,2,2,1,3
91,RN092,0,5,2,2,2,4
92,RN093,3,3,2,3,1,4
93,RN094,1,2,2,3,2,3
94,RN095,3,3,2,4,0,4
95,RN096,1,4,2,2,1,5
96,RN097,1,4,1,3,1,3
97,RN098,0,4,2,2,1,3
98,RN099,2,4,1,4,2,4
99,RN100,3,4,0,5,2,3
